非晶态装甲云	Armure de brume
研究磁场发射器	Rechercher Amplificateurs de champ magnétique
研究灵能增幅	Rechercher Amplificateurs psioniques
研究灵能奔涌	Rechercher Impulsion psionique
研究快速二次点火系统	Rechercher Système d’allumage auxiliaire
研究精调炸弹	Rechercher Explosifs recalibrés
研究智能伺服器	Rechercher Servoaccélérateurs
折跃护盾充能器	Transférer une batterie de boucliers
充能	Charge
构造失稳器	Déstabilisateurs tectoniques
研究构造失稳器	Rechercher Stabilisateurs tectoniques
升级精钢护甲	Amélioration Armure en NéoAcier
潜伏	Dissimulation
使附近的敌人陷入静滞状态，持续<d ref="Behavior,OracleStasisTrapTarget,Duration"/>秒。被困住的单位无法被攻击，也不会受到技能效果影响。	Plonge les ennemis proches en stase pendant <d ref="Behavior,OracleStasisTrapTarget,Duration"/> secondes. Les unités ainsi immobilisées ne peuvent plus être attaquées ni ciblées par des capacités.
使徒的攻击速度提高45%。	Augmente de 45% la vitesse d’attaque de l’adepte.
<c val="ffff8a">使徒</c>的攻击速度提高45%。	Augmente de 45% la vitesse d’attaque de l’<c val="ffff8a">adepte</c>.
制造一团遮蔽物，掩护下方的地面单位，使其受到空中单位的伤害降低<d ref="Behavior,AmorphousArmorcloud,DamageResponse.ModifyFraction*100" precision="1"/>%。持续<d ref="Effect,AmorphousArmorcloudCP,PeriodCount*Effect,AmorphousArmorcloudCP,PeriodicPeriodArray[0]"/>秒。	Crée un voile qui dissimule les unités terrestres qui se trouvent dessous et réduit les dégâts qu’elles subissent des unités aériennes de <d ref="Behavior,AmorphousArmorcloud,DamageResponse.ModifyFraction*100" precision="1"/>%. Dure <d ref="Effect,AmorphousArmorcloudCP,PeriodCount*Effect,AmorphousArmorcloudCP,PeriodicPeriodArray[0]"/> s.
<c val="ffff8a">凤凰战机</c>的攻击射程提高<d ref="$UpgradeEffectArrayValue:PhoenixRangeUpgrade:Weapon,IonCannons,Range$"/>。	Augmente de <d ref="$UpgradeEffectArrayValue:PhoenixRangeUpgrade:Weapon,IonCannons,Range$"/> la portée d’attaque du <c val="ffff8a">Phénix</c>.
为重工厂和星港制造的单位提供武器和护甲升级方案。<n/><n/><c val="ffff8a">开启：</c><n/>- 可以在重工厂中制造恶蝠<n/>- 可以在重工厂中制造雷神	Permet des améliorations d’armement et de blindage pour les unités issues de l’usine et du spatioport. <n/><n/><c val="ffff8a">Débloque :</c><n/>- Nettoyeur à l’usine<n/>- Thor à l’usine
步兵训练设施。<n/><n/><c val="ffff8a">开启：</c><n/>- 陆战队员<n/>- 收割者<n/>- 使SCV可以建造地堡<n/>- 使指挥中心可以升级为轨道控制基地	Site de production de l’infanterie.<n/><n/><c val="ffff8a">Débloque :</c><n/>- Marine<n/>- Faucheur <n/>- Bunker construit par un VCS<n/>- Station orbitale à partir du Centre de commandement
使星灵枢纽附近的目标护盾充能器超载，使其护盾恢复速度加快100%并且使其在<d ref="Behavior,BatteryOvercharge,Duration"/>秒内不消耗能量就可以恢复护盾。	Surcharge une batterie de boucliers ciblée près d’un Nexus, augmentant son taux de restauration de boucliers de 100% et lui permettant de restaurer des boucliers sans consommer d’énergie pendant <d ref="Behavior,BatteryOvercharge,Duration"/> secondes.
战车研发建筑。科技实验室可以同任何生产建筑相组合。<n/><n/><c val="ffff8a">开启：</c><n/>- 飓风<n/>- 攻城坦克<n/>- 建造军械库可开启雷神	Bâtiment de recherche sur les véhicules. Un laboratoire technique peut être associé à n’importe quel bâtiment de production.<n/><n/><c val="ffff8a">Débloque :</c><n/>- Chars de siège<n/>- Thor avec l’armurerie
使用一道光束集中攻击一个敌方单位，使目标的护甲降低3点。<n/>效果会在<d ref="Behavior,BypassArmorDroneTimedLife,Duration"/>秒后结束。	Concentre un rayon sur des unités ennemies et réduit leur armure de 3.<n/>L’effet disparaît après <d ref="Behavior,BypassArmorDroneTimedLife,Duration"/> secondes.
向目标矿脉投放试验性机械矿骡。矿骡的晶体矿采集效率高于SCV。<n/><n/>矿骡的系统在持续工作<d ref="Behavior,MULETimedLife,Duration"/>秒后会瘫痪。	Largue un mineur robotique expérimental MULE sur le gisement de minerai ciblé. Il récolte le minerai plus rapidement qu’un VCS.<n/><n/>Le MULE est opérationnel pendant <d ref="Behavior,MULETimedLife,Duration"/> secondes.
每艘航母的拦截机最大数量从8提高至10。	Fait passer le nombre maximal d’intercepteurs par porte-nef de 8 à 10.
<c val="ffff8a">拦截机</c>的约束范围扩大<d ref="$UpgradeEffectArrayValue:CarrierLeashRangeUpgrade:Abil,CarrierHangar,Leash$"/>。	Augmente la portée de déploiement des <c val="ffff8a">intercepteurs</c> de <d ref="$UpgradeEffectArrayValue:CarrierLeashRangeUpgrade:Abil,CarrierHangar,Leash$"/>.
使狂热者能拦截附近的敌人，同时还会提高狂热者的移动速度。该技能每<d ref="Abil,Charge,Cost.Cooldown.TimeUse"/>秒最多只能使用一次。	Permet aux zélotes d’intercepter les ennemis proches. Augmente également la vitesse de déplacement des zélotes. La capacité ne peut être utilisée qu’une fois toutes les <d ref="Abil,Charge,Cost.Cooldown.TimeUse"/> secondes.
对目标建筑进行时空提速，使其运作效率提高<d ref="(((Behavior,ChronoBoostEnergyCost,Modification.RateMultiplierArray[Progress])-1)*100)" precision="1"/>%，持续<d ref="Behavior,ChronoBoostEnergyCost,Duration"/>秒。	Place le bâtiment ciblé dans une poussée temporelle, ce qui le fait fonctionner <d ref="(((Behavior,ChronoBoostEnergyCost,Modification.RateMultiplierArray[Progress])-1)*100)" precision="1"/>% plus vite pendant <d ref="Behavior,ChronoBoostEnergyCost,Duration"/> secondes.
摧毁该路障可以开辟前往新区域的道路。	Une barrière qui peut être détruite pour donner accès à de nouvelles zones.
遭到摧毁后将阻挡通道或资源点的岩堆。	Tour pouvant être détruite pour empêcher l’accès à de nouvelles zones ou des emplacements de ressource.
为星灵空中单位提供武器和护甲升级方案，并提供折跃门升级方案。<n/><n/><c val="ffff8a">开启：</c><n/>- 可以在传送门中折跃机械哨兵<n/>- 可以在传送门中折跃追猎者<n/>- 可以在传送门中折跃使徒<n/>- 使探机可以折跃护盾充能器	Permet des améliorations d’arme et d’armure pour les unités aériennes protoss, et de transformer les portails en portes de transfert.<n/><n/><c val="ffff8a">Débloque :</c><n/>- Sentinelle au portail<n/>- Traqueur au portail<n/>- Adepte au portail<n/>- Batterie de boucliers avec une sonde
允许飓风的武器和锁定技能瞄准空中单位。	Permet aux armes du Cyclone et à sa capacité Verrouillage de cibler les unités aériennes.
提高锁定技能的前12发飞弹的发射速度。	Améliore la capacité Verrouillage, ce qui permet aux 12 premiers tirs de s’enchaîner rapidement.
使飓风的台风飞弹舱和锁定技能可以瞄准空中单位。	Permet aux silos à missiles Typhon du Cyclone et à sa capacité Verrouillage de cibler les unités aériennes.
提高<c val="ffff8a">飓风</c>的锁定伤害。对地面和空中单位在<d ref="Effect,LockOnCP,PeriodCount * Effect,LockOnCP,PeriodicPeriodArray[0]"/>秒内造成400点伤害（+400 vs. 重甲）。	Augmente les dégâts de la capacité Verrouillage du <c val="ffff8a">Cyclone</c>. Verrouillage inflige 400 (+400 aux unités blindées) points de dégâts en <d ref="Effect,LockOnCP,PeriodCount * Effect,LockOnCP,PeriodicPeriodArray[0]"/> secondes aux cibles terrestres et aériennes.
为黑暗圣堂武士提供升级方案。<n/><n/><c val="ffff8a">开启：</c><n/>- 可以在传送门中折跃黑暗圣堂武士<n/>- 黑暗圣堂武士可以融合为执政官	Permet une amélioration pour le templier noir.<n/><n/><c val="ffff8a">Débloque :</c><n/>- Templier noir au portail<n/>- Fusion en archonte à partir de templiers noirs
将黑暗圣堂武士传送至附近位置。该技能每 <d ref="Abil,DarkTemplarBlink,Cost[0].Cooldown.TimeUse"/>秒只能使用一次。	Téléporte le templier noir vers un emplacement ciblé proche. La capacité ne peut être utilisée qu’une fois toutes les <d ref="Abil,DarkTemplarBlink,Cost[0].Cooldown.TimeUse"/> secondes.
机械干扰型单位。可使用净化新星造成大量的范围伤害。	Unité robotique de disruption. Peut utiliser Nova purificatrice pour infliger d’importants dégâts de zone.
高浓度太阳能。<d ref="Behavior,PurificationNovaTargettedTarget,Duration"/>秒后爆炸，造成范围伤害。	Énergie solarienne hautement concentrée. Explose au bout de <d ref="Behavior,PurificationNovaTargettedTarget,Duration"/> secondes, infligeant des dégâts de zone.
该单位潜地的速度会更快。	Cette unité s’enfouit plus vite.
<c val="ffff8a">幽灵</c>的EMP弹的范围扩大+<d ref="$UpgradeEffectArrayValue:EnhancedShockwaves:Effect,EMPSearch,AreaArray[0].Radius$" precision="1"/>。	Augmente le rayon de Balle IEM du <c val="ffff8a">fantôme</c> de <d ref="$UpgradeEffectArrayValue:EnhancedShockwaves:Effect,EMPSearch,AreaArray[0].Radius$" precision="1"/>.
允许<c val="ffff8a">感染者</c> 使用微生物环绕云技能。	Permet aux <c val="ffff8a">infestateurs</c> d’utiliser la capacité Voile microbien.
提高<c val="ffff8a">雷兽</c>在菌毯外的移动速度。	Augmente la vitesse de déplacement de l’<c val="ffff8a">ultralisk</c> hors du mucus.
<c val="ffff8a">爆虫</c>移动速度提高，生命值增加5点。	Augmente la vitesse de déplacement des <c val="ffff8a">chancres</c> et leur confère +5 points de vie.
<c val="ffff8a">雷兽</c>护甲提高<d ref="$UpgradeEffectArrayValue:ChitinousPlating:Unit,Ultralisk,LifeArmor$"/>点。	Donne +<d ref="$UpgradeEffectArrayValue:ChitinousPlating:Unit,Ultralisk,LifeArmor$"/> points d’armure aux <c val="ffff8a">ultralisks</c>.
使<c val="ffff8a">潜伏者</c>潜地的时间从<d time="2.5" precision="1"/>降低至<d time="1" precision="1"/>并提高其移动速度。	Réduit le temps nécessaire à l’enfouissement des <c val="ffff8a">rôdeurs</c> de <d time="2.5" precision="1"/> à <d time="1" precision="1"/> et augmente leur vitesse de déplacement.
<c val="ffff8a">雷兽</c>的攻击范围+<d ref="$UpgradeEffectArrayValue:EvolveGroovedSpines:Weapon,NeedleSpines,Range$"/>。	Augmente de +<d ref="$UpgradeEffectArrayValue:EvolveGroovedSpines:Weapon,NeedleSpines,Range$"/> la portée d’attaque de l’<c val="ffff8a">hydralisk</c>.
提高<c val="ffff8a">刺蛇</c>的移动速度。	Augmente la vitesse de déplacement de l’<c val="ffff8a">hydralisk</c>.
提高<c val="ffff8a">虫道网络</c>和<c val="ffff8a">坑道虫</c>的装载与卸载速度。	Augmente les vitesses de chargement et de déchargement du <c val="ffff8a">réseau de Nydus</c> et du <c val="ffff8a">ver de Nydus</c>.
<c val="ffff8a">蟑螂</c>潜地时可以移动。	Permet aux <c val="ffff8a">cafards</c> enfouis de se déplacer.
自动机炮和猎杀飞弹的伤害提高30%。	Augmente les dégâts des tourelles automatisées et des missiles à tête chercheuse du Corbeau de 30%.
战车生产设施。<n/><n/><c val="ffff8a">开启：</c><n/>- 恶火<n/>- 寡妇雷<n/>- 飓风	Site de production de véhicules. <n/><n/><c val="ffff8a">Débloque :</c><n/>- Tourmenteur<n/>- Mine veuve<n/>- Cyclone
抽取目标所有能量。每点能量造成<d ref="(Effect,Feedback,VitalFractionCurrent[Energy])" Precision="2"/>点伤害。	Draine la totalité de l’énergie de la cible. Inflige <d ref="(Effect,Feedback,VitalFractionCurrent[Energy])" Precision="2"/> point de dégâts par point d’énergie drainé.
为凤凰、虚空辉光舰提供升级方案。<n/><n/><c val="ffff8a">开启：</c><n/>- 可以从星门折跃风暴战舰</n>- 可以从星门折跃航母<n/>- 可以从星灵枢纽折跃母舰	Permet des améliorations pour le Phénix et le Disloqueur.<n/><n/><c val="ffff8a">Débloque :</c><n/>- Tempête à la porte spatiale<n/>- Porte-nefs à la porte spatiale<n/>- Vaisseau mère à partir du Nexus
免疫减速、昏迷、精神控制和位移效果。	Immunisé contre les effets de ralentissement, d’étourdissement, de contrôle mental et de modification du déplacement.
目标单位在<d time="4"/>内受到<d ref="(Behavior,FungalGrowth,Duration / Behavior,FungalGrowth,Period) * Effect,FungalGrowthDamage,Amount"/>点伤害，并且移动速度降低<d ref="(1-Behavior,FungalGrowthSlowMovement,Modification.MoveSpeedMultiplier)*100"/>%。 暴露隐形和潜地的单位。受影响的单位无法闪现、或进入装载体或建筑。	Inflige <d ref="(Behavior,FungalGrowth,Duration / Behavior,FungalGrowth,Period) * Effect,FungalGrowthDamage,Amount"/> points de dégâts en <d time="4"/> aux unités ciblées et réduit leur vitesse de déplacement de <d ref="(1-Behavior,FungalGrowthSlowMovement,Modification.MoveSpeedMultiplier)*100"/>%. Révèle les unités camouflées et enfouies. Les unités affectées ne peuvent pas utiliser Transfert, ni monter à bord des transports ou entrer dans les bâtiments.
为医疗运输机、解放者、战列巡航舰提供升级方案。<n/><n/><c val="ffff8a">开启：</c><n/>- 可在星港中建造战列巡航舰	Permet des améliorations pour le Médivac, le croiseur et les cuirassés. <n/><n/><c val="ffff8a">Débloque :</c><n/>- Cuirassés au spatioport
狙击手。能够使用稳定瞄准、EMP弹，还可以在升级后使用隐形技能。能够对幽灵军校发动的聚变打击进行制导。<n/><n/><c val="#ColorAttackInfo">可以对地和对空。</c>	Tireur embusqué. Peut utiliser Visée stabilisée, Balles IEM et peut être amélioré pour utiliser Camouflage. Peut ordonner le lancement d’une bombe nucléaire tactique par l’Académie fantôme.<n/><n/><c val="#ColorAttackInfo">Peut attaquer les unités terrestres et aériennes.</c>
能够制造供幽灵使用的聚变弹头，并为幽灵提供升级方案。<n/><n/><c val="ffff8a">开启：</c><n/>- 可以在兵营中训练幽灵	Permet des améliorations pour les fantômes. Permet de construire des bombes nucléaires utilisables par les fantômes.<n/><n/><c val="ffff8a">Débloque :</c><n/>- Fantôme à la caserne
制造一个范围<d ref="Effect,GuardianShieldSearch,AreaArray[0].Radius" precision="1"/>的光环，使友方单位受到的远程伤害降低2。持续<d time="15"/>。	Crée une aura de portée <d ref="Effect,GuardianShieldSearch,AreaArray[0].Radius" precision="1"/> qui réduit les dégâts à distance infligés aux unités de 2. Dure <d time="15"/>.
治疗一个友方生物单位。<n/><n/><c val="f078ff">每1点能量恢复<d ref="Effect,MedivacHeal,RechargeVitalRate*Effect,MedivacHeal,DrainVitalCostFactor"/>点生命值。</c>	Soigne une cible biologique alliée.<n/><n/><c val="f078ff">Rend <d ref="Effect,MedivacHeal,RechargeVitalRate*Effect,MedivacHeal,DrainVitalCostFactor"/> points de vie pour 1 point d’énergie.</c>
增加医疗运输机的燃料储备，使后燃推进系统的持续时间延长50%。	Augmente les réserves de carburant du Médivac, ce qui permet de prolonger la durée d’Allumage de la post-combustion de 50%.
强大的灵能运用大师。能够使用能量反蚀技能，升级后可以使用灵能风暴技能。可以融合为执政官。<n/><n/><c val="ffff8a">可以对地。</c>	Puissant maître psionique. Peut utiliser Répercussion et être amélioré pour utiliser Tempête psionique. Peut fusionner en archonte.<n/><n/><c val="ffff8a">Peut attaquer les unités terrestres.</c>
为刺蛇提供升级方案。<n/><n/><c val="ffff8a">开启：</c><n/>- 使幼虫可以变异为刺蛇	Permet des améliorations pour les hydralisks.<n/><n/><c val="ffff8a">Débloque :</c><n/>- Hydralisk à partir d’une larve
吸收最多<d ref="Behavior,ImmortalOverload,DamageResponse.ModifyLimit"/>点伤害，持续<d ref="Behavior,ImmortalOverload,Duration"/>秒。该效果每<d ref="Abil,ImmortalOverload,Cost[0].Cooldown.TimeUse"/>秒只能触发一次。	Absorbe jusqu’à <d ref="Behavior,ImmortalOverload,DamageResponse.ModifyLimit"/> points de dégâts. Dure <d ref="Behavior,ImmortalOverload,Duration"/> secondes. Cet effet ne peut se produire qu’une fois toutes les <d ref="Abil,ImmortalOverload,Cost[0].Cooldown.TimeUse"/> secondes.
为感染者提供升级方案。<n/><n/><c val="ffff8a">开启：</c><n/>- 使幼虫可以变异为感染者<n/>- 使幼虫可变异为虫群宿主	Permet des améliorations pour les infestateurs.<n/><n/><c val="ffff8a">Débloque :</c><n/>- Infestateur à partir d’une larve<n/>- Essaimeur à partir d’une larve
孵化一名被感染的人类，持续<d ref="Behavior,InfestedTerranTimedLife,Duration"/>秒。<n/><n/><c val="ffff8a">可以在潜地时施放。</c>	Crée un Terran contaminé. Les Terrans contaminés survivent <d ref="Behavior,InfestedTerranTimedLife,Duration"/> secondes.<n/><n/><c val="ffff8a">Peut être utilisé en étant enfoui.</c>
善于感染的虫类。可以使用霉菌滋生、微生物环绕云以及神经寄生能力。	Spécialiste en contamination. Peut utiliser les capacités Croissance fongique, Voile microbien et Parasite neural.
把一个空中的目标单位拉到地面，持续<d ref="Behavior,InfestorEnsnare,Duration"/>秒，使其无法攻击，并使各单位把它视作地面单位进行攻击。	Cloue l’unité aérienne ciblée au sol pendant <d ref="Behavior,InfestorEnsnare,Duration"/> secondes, ce qui l’empêche d’attaquer et permet aux unités de l’attaquer comme s’il s’agissait d’une unité terrestre.
短暂延迟后发生爆炸，造成<d ref="Effect,KD8ChargeExplodeDamage,Amount"/>点伤害并击退附近的单位。	Explose après un court délai, infligeant <d ref="Effect,KD8ChargeExplodeDamage,Amount"/> points de dégâts aux unités proches en plus de les repousser et de les étourdir.
解放者在防卫模式下的射程增加<d ref="$UpgradeEffectArrayValue:LiberatorAGRangeUpgrade:Weapon,LiberatorAGWeapon,Range$"/>。	Augmente la portée des croiseurs en mode Défenseur de <d ref="$UpgradeEffectArrayValue:LiberatorAGRangeUpgrade:Weapon,LiberatorAGWeapon,Range$"/>.
将飓风的武器锁定在目标单位上，在<d ref="Effect,LockOnCP,PeriodCount * Effect,LockOnCP,PeriodicPeriodArray[0]"/>秒内造成<d ref="Effect,LockOnCP,PeriodCount*Effect,CycloneWeaponDamage,Amount"/>点伤害。前4次射击很快发射。可以在开火时移动。如果目标离开锁定范围，该技能将会取消。	Verrouille les armes du Cyclone sur l’unité ciblée et inflige <d ref="Effect,LockOnCP,PeriodCount*Effect,CycloneWeaponDamage,Amount"/> points de dégâts en <d ref="Effect,LockOnCP,PeriodCount * Effect,LockOnCP,PeriodicPeriodArray[0]"/> secondes aux cibles terrestres et aériennes. Fonctionne en mouvement. S’interrompt si la cible s’éloigne hors de portée.
使飓风的武器锁定目标空中单位，在<d ref="Effect,LockOnAirCP,PeriodCount * Effect,LockOnAirCP,PeriodicPeriodArray[0]"/>秒内造成<d ref="Effect,LockOnAirCP,PeriodCount*Effect,CycloneAirWeaponDamage,Amount"/>点伤害。开火时可以移动。如果目标离开射程后则取消。	Verrouille les armes du cyclone sur l’unité aérienne ciblée pour lui infliger <d ref="Effect,LockOnAirCP,PeriodCount*Effect,CycloneAirWeaponDamage,Amount"/> points de dégâts en <d ref="Effect,LockOnAirCP,PeriodCount * Effect,LockOnAirCP,PeriodicPeriodArray[0]"/> secondes. N’empêche pas de se déplacer. S’interrompt si la cible s’éloigne hors de portée.
