Amorphous Armorcloud	Аморфное бронеоблако
Restore	По умолчанию
Recharge	Перезарядка
Tectonic Destabilizers	Тектонические дестабилизаторы
Research Tectonic Destabilizers	Разработать тектонические дестабилизаторы
Upgrade Neosteel Armor	Укрепить обшивку неосталью
Concealment	Скрытность
Traps nearby enemies in stasis for <d ref="Behavior,OracleStasisTrapTarget,Duration"/> seconds. Trapped units cannot be attacked or affected by abilities.	Помещает ближайших противников в стазис на <d ref="Behavior,OracleStasisTrapTarget,Duration"/> сек. Пойманные цели нельзя атаковать или использовать на них способности.
Increases the attack speed of Adepts by 45%.	Повышают скорость атаки адептов на 45%.
Increases the attack speed of <c val="ffff8a">Adepts</c> by 45%.	Повышают скорость атаки <c val="ffff8a">адептов</c> на 45%.
Creates a shroud that obscures ground units underneath, reducing damage taken from air units by <d ref="Behavior,AmorphousArmorcloud,DamageResponse.ModifyFraction*100" precision="1"/>%. Lasts <d ref="Effect,AmorphousArmorcloudCP,PeriodCount*Effect,AmorphousArmorcloudCP,PeriodicPeriodArray[0]"/> seconds.	Создает завесу, под которой наземные боевые единицы получают на <d ref="Behavior,AmorphousArmorcloud,DamageResponse.ModifyFraction*100" precision="1"/>% меньше урона от воздушных войск. Время действия – <d ref="Effect,AmorphousArmorcloudCP,PeriodCount*Effect,AmorphousArmorcloudCP,PeriodicPeriodArray[0]"/> сек.
Increases <c val="ffff8a">Phoenix's</c> attack range by <d ref="$UpgradeEffectArrayValue:PhoenixRangeUpgrade:Weapon,IonCannons,Range$"/>.	Увеличивает дальность атаки <c val="ffff8a">«Фениксов»</c> на <d ref="$UpgradeEffectArrayValue:PhoenixRangeUpgrade:Weapon,IonCannons,Range$"/>.
Contains weapon and armor upgrades for Factory and Starport units. <n/><n/><c val="ffff8a">Enables:</c><n/>- Hellbat at the Factory<n/>- Thor at the Factory	Позволяет улучшать броню и оружие боевых единиц, производимых на заводе и в космопорте. <n/><n/><c val="ffff8a">Открывает возможности:</c><n/>– производство «Геллитронов» на заводе<n/>– производство «Торов» на заводе
Infantry-production facility.<n/><n/><c val="ffff8a">Enables:</c><n/>- Marines<n/>- Reapers<n/>- Bunkers from SCVs<n/>- Orbital Commands from Command Centers	Тренировочный комплекс пехоты.<n/><n/><c val="ffff8a">Открывает возможности:</c><n/>– обучение морпехов<n/>– обучение головорезов<n/>– постройка бункеров с помощью КСМ<n/>– переоборудование командных центров в станции наблюдения
Overcharges a target Shield Battery near a Nexus, increasing its shield restoration rate by 100% and allowing it to restore shields without consuming energy for <d ref="Behavior,BatteryOvercharge,Duration"/> seconds.	Перегружает указанную батарею щитов рядом с нексусом, повышая скорость перезарядки щитов на 100% и позволяя восстанавливать щиты без затрат энергии в течение <d ref="Behavior,BatteryOvercharge,Duration"/> сек.
Vehicle-research structure. A Tech Lab can fit onto any production structure.<n/><n/><c val="ffff8a">Enables:</c><n/>- Cyclones<n/>- Siege Tanks<n/>- Thor with Armory	Позволяет разрабатывать улучшения для наземной техники. Построенную лабораторию можно состыковать с любым производственным строением.<n/><n/><c val="ffff8a">Открывает возможности:</c><n/>– производство «Циклонов»<n/>– производство осадных танков<n/>– производство «Торов» (требуется арсенал)
Focuses a beam on enemy units and reduces their armor by 3.<n/>Times out after <d ref="Behavior,BypassArmorDroneTimedLife,Duration"/> seconds.	Фокусирует на цели луч, ослабляя ее броню на 3.<n/>Эффект прерывается после <d ref="Behavior,BypassArmorDroneTimedLife,Duration"/> сек.
Drops an experimental robotic MULE miner onto the target Mineral Field. MULEs collect minerals more quickly than SCVs.  <n/><n/>MULEs last <d ref="Behavior,MULETimedLife,Duration"/> seconds before their systems fail.	Десантирует к месторождению экспериментального шахтерского робота, который добывает минералы быстрее, чем обычный КСМ. <n/><n/>МУЛ функционирует в течение <d ref="Behavior,MULETimedLife,Duration"/>, после чего происходит системный сбой.
Increases the maximum number of Interceptors per Carrier from 8 to 10.	Увеличивает максимальное число перехватчиков на каждом авианосце с 8 до 10.
Increases the <c val="ffff8a">Interceptor's</c> leash range by <d ref="$UpgradeEffectArrayValue:CarrierLeashRangeUpgrade:Abil,CarrierHangar,Leash$"/>.	Увеличивает дальность самостоятельного полета <c val="ffff8a">перехватчиков</c> на <d ref="$UpgradeEffectArrayValue:CarrierLeashRangeUpgrade:Abil,CarrierHangar,Leash$"/>.
Allows Zealots to intercept nearby enemies. Also increases the movement speed of Zealots. Ability can only be used once every <d ref="Abil,Charge,Cost.Cooldown.TimeUse"/> seconds.	Повышает скорость передвижения зилотов и позволяет им перехватывать находящихся рядом противников. Можно использовать не чаще раза в <d ref="Abil,Charge,Cost.Cooldown.TimeUse"/> сек.
Places target structure in a Chrono Boost, causing it to operate <d ref="(((Behavior,ChronoBoostEnergyCost,Modification.RateMultiplierArray[Progress])-1)*100)" precision="1"/>% faster for <d ref="Behavior,ChronoBoostEnergyCost,Duration"/> seconds.	Окружает указанное строение темпоральным полем, ускоряющим его работу на <d ref="(((Behavior,ChronoBoostEnergyCost,Modification.RateMultiplierArray[Progress])-1)*100)" precision="1"/>% на <d ref="Behavior,ChronoBoostEnergyCost,Duration"/> сек.
A barrier that can be destroyed to allow access to new areas.	Препятствие, которое можно разрушить, чтобы получить доступ к новым территориям.
A tower that can be destroyed to prevent access to new areas or resource locations.	Разрушаемая груда камней, уничтожив которую, можно закрыть доступ к новым областям и месторождениям.
Contains weapon and armor upgrades for Protoss air units and the Warp Gate upgrade.<n/><n/><c val="ffff8a">Enables:</c><n/>- Sentries at the Gateway<n/>- Stalkers at the Gateway<n/>- Adepts at the Gateway<n/>- Shield Batteries from Probes	Позволяет улучшать броню и оружие воздушных войск протоссов и разрабатывать врата искривления.<n/><n/><c val="ffff8a">Открывает возможности:</c><n/>– вызов часовых во вратах<n/>– вызов сталкеров во вратах<n/>– вызов адептов во вратах<n/>– вызов батарей щитов зондами
Mobile assault vehicle. Can use Lock On to quickly fire while moving.<n/><n/><c val="#ColorAttackInfo">Can attack ground units.</c>	Мобильная штурмовая машина. Может использовать способность «Захват цели», чтобы вести огонь во время движения.<n/><n/><c val="#ColorAttackInfo">Атакует только наземные цели.</c>
Allows the Cyclone's weapon and Lock On ability to target air units.	Позволяет «Циклонам» использовать оружие и способность «Захват цели», чтобы атаковать воздушные цели.
Improves the Lock On ability to fire the first 12 shots quickly.	Улучшают «Захват цели», позволяя производить первые 12 выстрелов в ускоренном режиме.
Allows the Cyclone's Typhoon Missile Pods and Lock On ability to target air units.	Позволяет «Циклонам» использовать ракетный модуль «Тайфун» и способность «Захват цели», чтобы атаковать воздушные цели.
Increases <c val="ffff8a">Cyclone</c> Lock On damage. Deals 400 damage (+400 vs. Armored) over <d ref="Effect,LockOnCP,PeriodCount * Effect,LockOnCP,PeriodicPeriodArray[0]"/> seconds to ground and flying targets.	Увеличивает урон от «Захвата цели» <c val="ffff8a">«Циклонов»</c>. Он наносит 400 ед. урона за <d ref="Effect,LockOnCP,PeriodCount * Effect,LockOnCP,PeriodicPeriodArray[0]"/> сек. наземным и воздушным целям (+400 ед. урона бронированным целям).
Mobile assault vehicle. Can use Lock On to quickly fire while moving.<n/><n/><c val="#ColorAttackInfo">Can attack ground and air units.</c>	Мобильная штурмовая машина. Может использовать способность «Захват цели», чтобы вести беглый огонь в движении.<n/><n/><c val="#ColorAttackInfo">Атакует наземные и воздушные цели.</c>
Contains an upgrade for Dark Templar.<n/><n/><c val="ffff8a">Enables:</c><n/>- Dark Templar at the Gateway<n/>- Archon Merge from Dark Templar	Позволяет улучшать темных тамплиеров.<n/><n/><c val="ffff8a">Открывает возможности:</c><n/>– вызов темных тамплиеров во вратах<n/>– перерождение темных тамплиеров в темных архонтов
Teleports the Dark Templar to a nearby target location. Ability can only be used once every <d ref="Abil,DarkTemplarBlink,Cost[0].Cooldown.TimeUse"/> seconds.	Телепортирует темных тамплиеров на небольшое расстояние. Время восстановления: <d ref="Abil,DarkTemplarBlink,Cost[0].Cooldown.TimeUse"/> сек.
Robotic disruption unit. Can use Purification Nova to deal heavy area damage.	Роботизированная боевая единица. Может использовать способность «Взрыв очищения», наносящую значительный урон по области.
Highly concentrated solar energy. Explodes after <d ref="Behavior,PurificationNovaTargettedTarget,Duration"/> seconds, dealing area damage.	Концентрированная солнечная энергия. Взрывается через <d ref="Behavior,PurificationNovaTargettedTarget,Duration"/> сек., нанося урон в области поражения.
This unit burrows faster.	Эта боевая единица закапывается быстрее.
Increases the radius of <c val="ffff8a">Ghost's</c> EMP Round by +<d ref="$UpgradeEffectArrayValue:EnhancedShockwaves:Effect,EMPSearch,AreaArray[0].Radius$" precision="1"/>.	Увеличивает радиус действия ЭМИ-патронов <c val="ffff8a">призраков</c> на <d ref="$UpgradeEffectArrayValue:EnhancedShockwaves:Effect,EMPSearch,AreaArray[0].Radius$" precision="1"/>.
Allows <c val="ffff8a">Infestors</c> to use the Microbial Shroud ability.	<c val="ffff8a">Заразители</c> получают возможность использовать способность «Микробная завеса».
Increases the movement speed of <c val="ffff8a">Ultralisks</c> off creep.	Скорость передвижения <c val="ffff8a">ультралисков</c> вне слизи повышается.
<c val="ffff8a">Banelings</c> gain increased movement speed and +5 life.	<c val="ffff8a">Гиблинги</c> получают прибавку к скорости передвижения и +5 ед. к запасу здоровья.
Gives +<d ref="$UpgradeEffectArrayValue:ChitinousPlating:Unit,Ultralisk,LifeArmor$"/> armor to <c val="ffff8a">Ultralisks</c>.	Усиливает броню <c val="ffff8a">ультралисков</c> на <d ref="$UpgradeEffectArrayValue:ChitinousPlating:Unit,Ultralisk,LifeArmor$"/>.
Reduces the time <c val="ffff8a">Lurkers</c> take to burrow from <d time="2.5" precision="1"/> to <d time="1" precision="1"/> and increases their movement speed.	Повышают скорость передвижения <c val="ffff8a">скрытней</c> и сокращают время, необходимое им, чтобы закопаться, с <d time="2.5" precision="1"/> до <d time="1" precision="1"/>
Increases <c val="ffff8a">Hydralisk</c> attack range by +<d ref="$UpgradeEffectArrayValue:EvolveGroovedSpines:Weapon,NeedleSpines,Range$"/>.	Увеличивают дальность атаки <c val="ffff8a">гидралисков</c> на <d ref="$UpgradeEffectArrayValue:EvolveGroovedSpines:Weapon,NeedleSpines,Range$"/>.
Increases the movement speed of <c val="ffff8a">Hydralisks</c>.	Скорость передвижения <c val="ffff8a">гидралисков</c> повышается.
Increase the <c val="ffff8a">Nydus Network</c> and <c val="ffff8a">Nydus Worm's</c> load and unload speeds.	Повышает скорость загрузки и выгрузки войск при использовании <c val="ffff8a">сети нидуса</c> и <c val="ffff8a">червей нидуса</c>.
Enables <c val="ffff8a">Roaches</c> to move while burrowed.	Позволяют <c val="ffff8a">тараканам</c> передвигаться в закопанном состоянии.
Increases the damage of Raven Auto-Turrets and Seeker Missiles by 30%.	Урон, наносимый автотурелями «Ворона» и ракетами «Гончая», увеличивается на 30%.
Vehicle-production facility. <n/><n/><c val="ffff8a">Enables:</c><n/>- Hellions<n/>- Widow Mines<n/>- Cyclones	Завод по производству бронетехники.<n/><n/><c val="ffff8a">Открывает возможности:</c><n/>– производство «Геллионов»<n/>– производство мин «Вдова»<n/>– производство «Циклонов»
Drains all energy from the target. Deals <d ref="(Effect,Feedback,VitalFractionCurrent[Energy])" Precision="2"/> damage per point of energy.	Полностью лишает цель энергии, нанося <d ref="(Effect,Feedback,VitalFractionCurrent[Energy])" Precision="2"/> ед. урона за каждую единицу энергии.
Contains upgrades for Phoenixes and Void Rays.<n/><n/><c val="ffff8a">Enables:</c><n/>- Tempests at the Stargate</n>- Carriers at the Stargate<n/>- Mothership from the Nexus	Позволяет улучшать «Фениксы» и излучатели Пустоты.<n/><n/><c val="ffff8a">Открывает возможности:</c><n/>– вызов «Ураганов» в звездных вратах</n>– вызов авианосцев в звездных вратах<n/>– создание материнского корабля в нексусе
Immune to snare, stun, mind control, and movement altering effects.	Невосприимчивость к парализации, оглушению, подчинению и замедлению.
Target units take <d ref="(Behavior,FungalGrowth,Duration / Behavior,FungalGrowth,Period) * Effect,FungalGrowthDamage,Amount"/> damage over <d time="4"/> and have movement speed reduced by <d ref="(1-Behavior,FungalGrowthSlowMovement,Modification.MoveSpeedMultiplier)*100"/>%. Reveals cloaked and burrowed units. Affected units cannot Blink or load into transports or buildings.	Указанные боевые единицы получают <d ref="(Behavior,FungalGrowth,Duration / Behavior,FungalGrowth,Period) * Effect,FungalGrowthDamage,Amount"/> ед. урона в течение <d time="4"/> При этом их скорость передвижения снижается на <d ref="(1-Behavior,FungalGrowthSlowMovement,Modification.MoveSpeedMultiplier)*100"/>%. Замаскированные или закопанные войска становятся видимыми. Пораженные цели не могут использовать «Скачок» и загружаться в транспорт и строения.
Contains Medivac, Liberator, and Battlecruiser upgrades. <n/><n/><c val="ffff8a">Enables:</c><n/>- Battlecruisers at the Starport	Позволяет улучшать медэваки, «Освободители» и крейсеры.<n/><n/><c val="ffff8a">Открывает возможности:</c><n/>– производство крейсеров в космопорте
Sniper. Can use Steady Targeting, EMP Round, and be upgraded to use Cloak. Can call down Tactical Nukes built at the Ghost Academy.<n/><n/><c val="#ColorAttackInfo">Can attack ground and air units.</c>	Снайпер. Может использовать «Точное прицеливание», ЭМИ-патроны и маскировку (после соответствующего улучшения). Указывает цели для ядерных ракет, производимых в академии призраков.<n/><n/><c val="#ColorAttackInfo">Атакует наземные и воздушные цели.</c>
Contains upgrades for Ghosts. Can build Nukes for Ghosts.<n/><n/><c val="ffff8a">Enables:</c><n/>- Ghosts at the Barracks	Позволяет улучшать призраков. Служит для строительства ядерных ракет, используемых призраками.<n/><n/><c val="ffff8a">Открывает возможности:</c><n/>– обучение призраков в казармах
Creates a range <d ref="Effect,GuardianShieldSearch,AreaArray[0].Radius" precision="1"/> aura that reduces incoming ranged damage to friendly units by 2. Lasts <d time="15"/>.	Создает ауру радиусом <d ref="Effect,GuardianShieldSearch,AreaArray[0].Radius" precision="1"/>, уменьшающую урон, получаемый союзниками в дальнем бою, на 2 ед. Время действия – <d time="15"/>.
Heals a friendly biological target.<n/><n/><c val="f078ff">Heals <d ref="Effect,MedivacHeal,RechargeVitalRate*Effect,MedivacHeal,DrainVitalCostFactor"/> life per 1 energy.</c>	Применяется к союзным органическим войскам.<n/><n/><c val="f078ff">Восполняет <d ref="Effect,MedivacHeal,RechargeVitalRate*Effect,MedivacHeal,DrainVitalCostFactor"/> ед. здоровья за 1 ед. энергии.</c>
Increases the Medivac's fuel reserves, allowing Ignite Afterburners to last 50% longer.	Увеличивает топливный резерв медэвака, в результате чего время действия способности «Форсаж» увеличивается на 50%.
Potent psionic master. Can use Feedback and be upgraded to use Psionic Storm. Can transform into an Archon.<n/><n/><c val="ffff8a">Can attack ground units.</c>	Могущественный воин-псионик. Может использовать способности «Противодействие» и «Псионный шторм» (после соответствующего улучшения). Может переродиться в архонта.<n/><n/><c val="ffff8a">Атакует только наземные цели.</c>
Contains upgrades for Hydralisks.<n/><n/><c val="ffff8a">Enables:</c><n/>- Hydralisks from Larvae	Позволяет улучшать гидралисков.<n/><n/><c val="ffff8a">Открывает возможности:</c><n/>– мутация личинок в гидралисков
Absorbs up to <d ref="Behavior,ImmortalOverload,DamageResponse.ModifyLimit"/> damage. Lasts for <d ref="Behavior,ImmortalOverload,Duration"/> seconds. This effect can only occur once every <d ref="Abil,ImmortalOverload,Cost[0].Cooldown.TimeUse"/> seconds.	Поглощает до <d ref="Behavior,ImmortalOverload,DamageResponse.ModifyLimit"/> ед. урона. Время действия – <d ref="Behavior,ImmortalOverload,Duration"/> сек. Срабатывает не чаще одного раза в <d ref="Abil,ImmortalOverload,Cost[0].Cooldown.TimeUse"/> сек.
Contains upgrades for Infestors.<n/><n/><c val="ffff8a">Enables:</c><n/>- Infestors from Larvae<n/>- Swarm Hosts from Larvae	Позволяет улучшать заразителей.<n/><n/><c val="ffff8a">Открывает возможности:</c><n/>– мутация личинок в заразителей<n/>– мутация личинок в роевиков
Spawn an Infested Terran. Infested Terrans last <d ref="Behavior,InfestedTerranTimedLife,Duration"/> seconds.<n/><n/><c val="ffff8a">Can cast while burrowed.</c>	Порождает зараженного террана. Зараженные терраны существуют <d ref="Behavior,InfestedTerranTimedLife,Duration"/> сек.<n/><n/><c val="ffff8a">Можно использовать в закопанном состоянии.</c>
Infestation specialist. Can use the Fungal Growth, Microbial Shroud, and Neural Parasite abilities.	Заражает войска противника. Может использовать способности «Микоз», «Микробная завеса» и «Нейропаразит».
Brings a target air unit to the ground for <d ref="Behavior,InfestorEnsnare,Duration"/> seconds, rendering it unable to attack, and allowing units to attack it as if it were a ground unit.	Опускает воздушную боевую единицу на землю на <d ref="Behavior,InfestorEnsnare,Duration"/> сек. и не позволяет ей атаковать. Связанные боевые единицы можно атаковать как наземные цели.
Explodes after a short delay, dealing <d ref="Effect,KD8ChargeExplodeDamage,Amount"/> damage and knocking back nearby units.	После небольшой паузы взрывается и отбрасывает ближайших противников, нанося им <d ref="Effect,KD8ChargeExplodeDamage,Amount"/> ед. урона.
Increases the range of Liberators in Defender Mode by <d ref="$UpgradeEffectArrayValue:LiberatorAGRangeUpgrade:Weapon,LiberatorAGWeapon,Range$"/>.	Увеличивает дальность атаки «Освободителей» в защитном режиме на <d ref="$UpgradeEffectArrayValue:LiberatorAGRangeUpgrade:Weapon,LiberatorAGWeapon,Range$"/>.ref="$UpgradeEffectArrayValue:LiberatorAGRangeUpgrade:Weapon,LiberatorAGWeapon,Range$"/>.
Locks the Cyclone's weapons on the target unit, dealing <d ref="Effect,LockOnCP,PeriodCount*Effect,CycloneWeaponDamage,Amount"/> damage over <d ref="Effect,LockOnCP,PeriodCount * Effect,LockOnCP,PeriodicPeriodArray[0]"/> seconds to ground and flying targets. Can move while firing. Cancels if target moves out of range.	Фокусирует огонь «Циклона» на заданной цели, нанося <d ref="Effect,LockOnCP,PeriodCount*Effect,CycloneWeaponDamage,Amount"/> ед. урона воздушным и наземным целям в течение <d ref="Effect,LockOnCP,PeriodCount * Effect,LockOnCP,PeriodicPeriodArray[0]"/> сек. «Циклон» может перемещаться во время стрельбы. Прекращает стрельбу, когда цель выходит из зоны досягаемости.
Locks the Cyclone's weapons on the target flying unit, dealing <d ref="Effect,LockOnAirCP,PeriodCount*Effect,CycloneAirWeaponDamage,Amount"/> damage over <d ref="Effect,LockOnAirCP,PeriodCount * Effect,LockOnAirCP,PeriodicPeriodArray[0]"/> seconds. Can move while firing. Cancels if target moves out of range.	«Циклон» сосредотачивает огонь на воздушной цели, нанося ей <d ref="Effect,LockOnAirCP,PeriodCount*Effect,CycloneAirWeaponDamage,Amount"/> ед. урона в течение <d ref="Effect,LockOnAirCP,PeriodCount * Effect,LockOnAirCP,PeriodicPeriodArray[0]"/> сек. Можно атаковать, не прерывая движение. Действие прекращается, когда цель выходит за пределы досягаемости.
