Amorphous Armorcloud	Nube de blindaje amorfa
Contains weapon and armor upgrades for Factory and Starport units. <n/><n/><c val="ffff8a">Enables:</c><n/>- Hellbat at the Factory<n/>- Thor at the Factory	Tiene mejoras de armas y blindaje para las unidades de la fábrica y el puerto estelar. <n/><n/><c val="ffff8a">Permite:</c><n/>- Murciélago infernal en la fábrica<n/>- Thor en la fábrica
Infantry-production facility.<n/><n/><c val="ffff8a">Enables:</c><n/>- Marines<n/>- Reapers<n/>- Bunkers from SCVs<n/>- Orbital Commands from Command Centers	Instalación de producción de infantería.<n/><n/><c val="ffff8a">Permite:</c><n/>- Soldados<n/>- Segadores<n/>- Búnkeres construidos por el VCE<n/>- Comandos orbitales desde centros de mando
Overcharges a target Shield Battery near a Nexus, increasing its shield restoration rate by 100% and allowing it to restore shields without consuming energy for <d ref="Behavior,BatteryOvercharge,Duration"/> seconds.	Sobrecarga una batería de escudos cercana a un nexo, lo que aumenta un 100% su ritmo de restauración de escudo y le permite restaurar los escudos sin consumir energía durante <d ref="Behavior,BatteryOvercharge,Duration"/> segundos.
Vehicle-research structure. A Tech Lab can fit onto any production structure.<n/><n/><c val="ffff8a">Enables:</c><n/>- Cyclones<n/>- Siege Tanks<n/>- Thor with Armory	Estructura de investigación de vehículos. El laboratorio tecnológico se acopla a cualquier estructura de producción.<n/><n/><c val="ffff8a">Permite:</c><n/>- Ciclones<n/>- Tanques de asedio<n/>- Thor con arsenal
Focuses a beam on enemy units and reduces their armor by 3.<n/>Times out after <d ref="Behavior,BypassArmorDroneTimedLife,Duration"/> seconds.	Concentra un haz en unidades enemigas y reduce su armadura en 3.<n/>Se agota tras <d ref="Behavior,BypassArmorDroneTimedLife,Duration"/> segundos.
Drops an experimental robotic MULE miner onto the target Mineral Field. MULEs collect minerals more quickly than SCVs.  <n/><n/>MULEs last <d ref="Behavior,MULETimedLife,Duration"/> seconds before their systems fail.	Deja un minero MULA robótico experimental en el campo de minerales seleccionado. Las MULAs recolectan minerales más deprisa que los VCE. <n/><n/>Las MULAs duran <d ref="Behavior,MULETimedLife,Duration"/> segundos y luego sus sistemas fallan.
Increases the maximum number of Interceptors per Carrier from 8 to 10.	Aumenta el máximo de interceptores por portanaves de 8 a 10.
Increases the <c val="ffff8a">Interceptor's</c> leash range by <d ref="$UpgradeEffectArrayValue:CarrierLeashRangeUpgrade:Abil,CarrierHangar,Leash$"/>.	Aumenta el alcance de restricción del <c val="ffff8a">interceptor</c> en <d ref="$UpgradeEffectArrayValue:CarrierLeashRangeUpgrade:Abil,CarrierHangar,Leash$"/>.
Allows Zealots to intercept nearby enemies. Also increases the movement speed of Zealots. Ability can only be used once every <d ref="Abil,Charge,Cost.Cooldown.TimeUse"/> seconds.	Permite a los fanáticos interceptar enemigos cercanos. También aumenta la velocidad de movimiento de los fanáticos. La habilidad solo puede usarse una vez cada <d ref="Abil,Charge,Cost.Cooldown.TimeUse"/> segundos.
Places target structure in a Chrono Boost, causing it to operate <d ref="(((Behavior,ChronoBoostEnergyCost,Modification.RateMultiplierArray[Progress])-1)*100)" precision="1"/>% faster for <d ref="Behavior,ChronoBoostEnergyCost,Duration"/> seconds.	Aplica aceleración cronos a la estructura seleccionada, lo que hace que funcione un <d ref="(((Behavior,ChronoBoostEnergyCost,Modification.RateMultiplierArray[Progress])-1)*100)" precision="1"/>% más rápido durante <d ref="Behavior,ChronoBoostEnergyCost,Duration"/> segundos.
A barrier that can be destroyed to allow access to new areas.	Una barrera que se puede destruir para acceder a nuevas áreas.
A tower that can be destroyed to prevent access to new areas or resource locations.	Una torre que se puede destruir para impedir el acceso a nuevas áreas o ubicaciones de recursos.
Contains weapon and armor upgrades for Protoss air units and the Warp Gate upgrade.<n/><n/><c val="ffff8a">Enables:</c><n/>- Sentries at the Gateway<n/>- Stalkers at the Gateway<n/>- Adepts at the Gateway<n/>- Shield Batteries from Probes	Tiene mejoras de armas y blindaje para las unidades aéreas protoss y la mejora del portal de distorsión.<n/><n/><c val="ffff8a">Permite:</c><n/>- Centinelas en el acceso<n/>- Acechadores en el acceso<n/>- Adeptas en el acceso<n/>- Baterías de escudos desde sondas
Mobile assault vehicle. Can use Lock On to quickly fire while moving.<n/><n/><c val="#ColorAttackInfo">Can attack ground units.</c>	Vehículo de asalto móvil. Puede utilizar fijar objetivo para disparar rápidamente mientras se mueve.<n/><n/><c val="#ColorAttackInfo">Puede atacar a unidades terrestres.</c>
Allows the Cyclone's weapon and Lock On ability to target air units.	Permite seleccionar objetivos aéreos para el arma y la habilidad fijar objetivo del ciclón.
Improves the Lock On ability to fire the first 12 shots quickly.	Mejora la habilidad fijar objetivo para que los primeros 12 disparos sean más rápidos.
Allows the Cyclone's Typhoon Missile Pods and Lock On ability to target air units.	Permite seleccionar objetivos aéreos para las plataformas de misil tifón y la habilidad fijar objetivo del ciclón.
Increases <c val="ffff8a">Cyclone</c> Lock On damage. Deals 400 damage (+400 vs. Armored) over <d ref="Effect,LockOnCP,PeriodCount * Effect,LockOnCP,PeriodicPeriodArray[0]"/> seconds to ground and flying targets.	Aumenta el daño de fijar objetivo del <c val="ffff8a">ciclón</c>. Inflige 400 de daño (+400 contra unidades blindadas) durante <d ref="Effect,LockOnCP,PeriodCount * Effect,LockOnCP,PeriodicPeriodArray[0]"/> segundos a objetivos terrestres y aéreos.
Mobile assault vehicle. Can use Lock On to quickly fire while moving.<n/><n/><c val="#ColorAttackInfo">Can attack ground and air units.</c>	Vehículo de asalto móvil. Puede utilizar fijar objetivo para disparar rápidamente mientras se mueve.<n/><n/><c val="#ColorAttackInfo">Puede atacar a unidades aéreas y terrestres.</c>
Contains an upgrade for Dark Templar.<n/><n/><c val="ffff8a">Enables:</c><n/>- Dark Templar at the Gateway<n/>- Archon Merge from Dark Templar	Tiene una mejora para los templarios tétricos .<n/><n/><c val="ffff8a">Permite:</c><n/>- Templarios tétricos en el acceso<n/>- Fusionar arcontes desde templarios tétricos
Teleports the Dark Templar to a nearby target location. Ability can only be used once every <d ref="Abil,DarkTemplarBlink,Cost[0].Cooldown.TimeUse"/> seconds.	Teletransporta al templario tétrico a una ubicación seleccionada cercana. La habilidad solo puede usarse una vez cada <d ref="Abil,DarkTemplarBlink,Cost[0].Cooldown.TimeUse"/> segundos.
Robotic disruption unit. Can use Purification Nova to deal heavy area damage.	Unidad de disrupción robótica. Puede utilizar nova de purificación para infligir un gran daño de área.
Highly concentrated solar energy. Explodes after <d ref="Behavior,PurificationNovaTargettedTarget,Duration"/> seconds, dealing area damage.	Energía solar de alta concentración. Explota tras <d ref="Behavior,PurificationNovaTargettedTarget,Duration"/> segundos, lo que inflige daño de área.
This unit burrows faster.	Esta unidad se entierra más rápido.
Increases the radius of <c val="ffff8a">Ghost's</c> EMP Round by +<d ref="$UpgradeEffectArrayValue:EnhancedShockwaves:Effect,EMPSearch,AreaArray[0].Radius$" precision="1"/>.	Aumenta +<d ref="$UpgradeEffectArrayValue:EnhancedShockwaves:Effect,EMPSearch,AreaArray[0].Radius$" precision="1"/> el radio del proyectil PEM del <c val="ffff8a">fantasma</c>.
Allows <c val="ffff8a">Infestors</c> to use the Microbial Shroud ability.	Permite que los <c val="ffff8a">infestadores</c> usen la habilidad velo microbiano.
Increases the movement speed of <c val="ffff8a">Ultralisks</c> off creep.	Aumenta la velocidad de movimiento de los <c val="ffff8a">ultraliscos</c> fuera de la biomateria.
<c val="ffff8a">Banelings</c> gain increased movement speed and +5 life.	Los <c val="ffff8a">pesteling</c> obtienen más velocidad de movimiento y +5 de vida.
Gives +<d ref="$UpgradeEffectArrayValue:ChitinousPlating:Unit,Ultralisk,LifeArmor$"/> armor to <c val="ffff8a">Ultralisks</c>.	Aporta +<d ref="$UpgradeEffectArrayValue:ChitinousPlating:Unit,Ultralisk,LifeArmor$"/> de armadura a los <c val="ffff8a">ultraliscos</c>.
Reduces the time <c val="ffff8a">Lurkers</c> take to burrow from <d time="2.5" precision="1"/> to <d time="1" precision="1"/> and increases their movement speed.	Reduce el tiempo que los <c val="ffff8a">merodeadores</c> tardan en enterrarse de <d time="2.5" precision="1"/> a <d time="1" precision="1"/> y aumenta su velocidad de movimiento.
Increases <c val="ffff8a">Hydralisk</c> attack range by +<d ref="$UpgradeEffectArrayValue:EvolveGroovedSpines:Weapon,NeedleSpines,Range$"/>.	Aumenta el alcance de ataque del <c val="ffff8a">hidralisco</c> en <d ref="$UpgradeEffectArrayValue:EvolveGroovedSpines:Weapon,NeedleSpines,Range$"/>.
Increases the movement speed of <c val="ffff8a">Hydralisks</c>.	Aumenta la velocidad de movimiento del <c val="ffff8a">hidralisco</c>.
Increase the <c val="ffff8a">Nydus Network</c> and <c val="ffff8a">Nydus Worm's</c> load and unload speeds.	Aumenta la velocidad de carga y descarga de la <c val="ffff8a">oruga nydus</c> y la <c val="ffff8a">red nydus</c>.
Enables <c val="ffff8a">Roaches</c> to move while burrowed.	Permite que las <c val="ffff8a">cucarachas</c> se muevan mientras están enterradas.
Increases the damage of Raven Auto-Turrets and Seeker Missiles by 30%.	Aumenta un 30% el daño infligido por las torretas automáticas y los misiles rastreadores del cuervo.
Vehicle-production facility. <n/><n/><c val="ffff8a">Enables:</c><n/>- Hellions<n/>- Widow Mines<n/>- Cyclones	Instalación de producción de vehículos. <n/><n/><c val="ffff8a">Permite:</c><n/>- Erebiones<n/>- Minas viudas<n/>- Ciclones
Drains all energy from the target. Deals <d ref="(Effect,Feedback,VitalFractionCurrent[Energy])" Precision="2"/> damage per point of energy.	Drena toda la energía del objetivo. Inflige <d ref="(Effect,Feedback,VitalFractionCurrent[Energy])" Precision="2"/> de daño por cada punto de energía.
Contains upgrades for Phoenixes and Void Rays.<n/><n/><c val="ffff8a">Enables:</c><n/>- Tempests at the Stargate</n>- Carriers at the Stargate<n/>- Mothership from the Nexus	Tiene mejoras para los fénix y los rayos de vacío.<n/><n/><c val="ffff8a">Permite:</c><n/>- Tempestades en el portal estelar<n/>- Portanaves en el portal estelar</n>- Nave nodriza desde el nexo
Immune to snare, stun, mind control, and movement altering effects.	Inmune a los efectos de frenado, aturdimiento, control mental y alteración de movimiento.
Target units take <d ref="(Behavior,FungalGrowth,Duration / Behavior,FungalGrowth,Period) * Effect,FungalGrowthDamage,Amount"/> damage over <d time="4"/> and have movement speed reduced by <d ref="(1-Behavior,FungalGrowthSlowMovement,Modification.MoveSpeedMultiplier)*100"/>%. Reveals cloaked and burrowed units. Affected units cannot Blink or load into transports or buildings.	Las unidades seleccionadas reciben <d ref="(Behavior,FungalGrowth,Duration / Behavior,FungalGrowth,Period) * Effect,FungalGrowthDamage,Amount"/> de daño durante <d time="4"/> y se reduce su velocidad de movimiento un <d ref="(1-Behavior,FungalGrowthSlowMovement,Modification.MoveSpeedMultiplier)*100"/>%. Revela a las unidades invisibles y enterradas. Las unidades afectadas no pueden usar traslación ni entrar en transportes o edificios.
Contains Medivac, Liberator, and Battlecruiser upgrades. <n/><n/><c val="ffff8a">Enables:</c><n/>- Battlecruisers at the Starport	Tiene mejoras para las medevacs, los liberadores y los cruceros de batalla.<n/><n/><c val="ffff8a">Permite:</c><n/>- Cruceros de batalla en el puerto estelar
Sniper. Can use Steady Targeting, EMP Round, and be upgraded to use Cloak. Can call down Tactical Nukes built at the Ghost Academy.<n/><n/><c val="#ColorAttackInfo">Can attack ground and air units.</c>	Francotirador. Puede utilizar selección estable de objetivo y proyectil PEM; con una mejora, también puede utilizar invisibilidad. Puede solicitar bombas nucleares construidas en la academia fantasma.<n/><n/><c val="#ColorAttackInfo">Puede atacar a unidades aéreas y terrestres.</c>
Contains upgrades for Ghosts. Can build Nukes for Ghosts.<n/><n/><c val="ffff8a">Enables:</c><n/>- Ghosts at the Barracks	Tiene mejoras para los fantasmas. Puede construir bombas nucleares para que las utilicen los fantasmas.<n/><n/><c val="ffff8a">Permite:</c><n/>- Fantasmas en el barracón
Creates a range <d ref="Effect,GuardianShieldSearch,AreaArray[0].Radius" precision="1"/> aura that reduces incoming ranged damage to friendly units by 2. Lasts <d time="15"/>.	Crea un aura de alcance <d ref="Effect,GuardianShieldSearch,AreaArray[0].Radius" precision="1"/> que reduce en 2 el daño a distancia que reciben las unidades amistosas. Dura <d time="15"/>.
Heals a friendly biological target.<n/><n/><c val="f078ff">Heals <d ref="Effect,MedivacHeal,RechargeVitalRate*Effect,MedivacHeal,DrainVitalCostFactor"/> life per 1 energy.</c>	Sana a un objetivo biológico amistoso.<n/><n/><c val="f078ff">Sana <d ref="Effect,MedivacHeal,RechargeVitalRate*Effect,MedivacHeal,DrainVitalCostFactor"/> de vida por cada 1 de energía.</c>
Increases the Medivac's fuel reserves, allowing Ignite Afterburners to last 50% longer.	Aumenta las reservas de combustible de la medevac, lo que permite que iniciar postcombustión dure un 50% más.
Potent psionic master. Can use Feedback and be upgraded to use Psionic Storm. Can transform into an Archon.<n/><n/><c val="ffff8a">Can attack ground units.</c>	Puede utilizar retroalimentación y, con una mejora, tormenta psiónica. Puede transformarse en un arconte.<n/><n/><c val="ffff8a">Puede atacar a unidades terrestres.</c>
Contains upgrades for Hydralisks.<n/><n/><c val="ffff8a">Enables:</c><n/>- Hydralisks from Larvae	Tiene mejoras para los hidraliscos.<n/><n/><c val="ffff8a">Permite:</c><n/>- Hidraliscos desde larvas
Absorbs up to <d ref="Behavior,ImmortalOverload,DamageResponse.ModifyLimit"/> damage. Lasts for <d ref="Behavior,ImmortalOverload,Duration"/> seconds. This effect can only occur once every <d ref="Abil,ImmortalOverload,Cost[0].Cooldown.TimeUse"/> seconds.	Absorbe hasta <d ref="Behavior,ImmortalOverload,DamageResponse.ModifyLimit"/> de daño. Dura <d ref="Behavior,ImmortalOverload,Duration"/> segundos. Este efecto solo puede producirse una vez cada <d ref="Abil,ImmortalOverload,Cost[0].Cooldown.TimeUse"/> segundos.
Contains upgrades for Infestors.<n/><n/><c val="ffff8a">Enables:</c><n/>- Infestors from Larvae<n/>- Swarm Hosts from Larvae	Tiene mejoras para los infestadores.<n/><n/><c val="ffff8a">Permite:</c><n/>- Infestadores desde larvas<n/>- Gestadores desde larvas
Spawn an Infested Terran. Infested Terrans last <d ref="Behavior,InfestedTerranTimedLife,Duration"/> seconds.<n/><n/><c val="ffff8a">Can cast while burrowed.</c>	Engendra un terran infestado. Los terran infestados duran <d ref="Behavior,InfestedTerranTimedLife,Duration"/> segundos.<n/><n/><c val="ffff8a">Se puede lanzar mientras la unidad está enterrada.</c>
Infestation specialist. Can use the Fungal Growth, Microbial Shroud, and Neural Parasite abilities.	Especialista en infestación. Puede utilizar las habilidades crecimiento fúngico, Velo microbiano y parásito neural.
Brings a target air unit to the ground for <d ref="Behavior,InfestorEnsnare,Duration"/> seconds, rendering it unable to attack, and allowing units to attack it as if it were a ground unit.	Derriba una unidad aérea seleccionada durante <d ref="Behavior,InfestorEnsnare,Duration"/> segundos, lo que impide que la unidad ataque y permite a las unidades atacarla como si fuese una unidad terrestre.
Explodes after a short delay, dealing <d ref="Effect,KD8ChargeExplodeDamage,Amount"/> damage and knocking back nearby units.	Explota tras un breve retraso, lo que inflige <d ref="Effect,KD8ChargeExplodeDamage,Amount"/> de daño y repele a las unidades cercanas.
Increases the range of Liberators in Defender Mode by <d ref="$UpgradeEffectArrayValue:LiberatorAGRangeUpgrade:Weapon,LiberatorAGWeapon,Range$"/>.	Aumenta el alcance de los liberadores en modo defensor en <d ref="$UpgradeEffectArrayValue:LiberatorAGRangeUpgrade:Weapon,LiberatorAGWeapon,Range$"/>.ref="$UpgradeEffectArrayValue:LiberatorAGRangeUpgrade:Weapon,LiberatorAGWeapon,Range$"/>.
Locks the Cyclone's weapons on the target unit, dealing <d ref="Effect,LockOnCP,PeriodCount*Effect,CycloneWeaponDamage,Amount"/> damage over <d ref="Effect,LockOnCP,PeriodCount * Effect,LockOnCP,PeriodicPeriodArray[0]"/> seconds to ground and flying targets. Can move while firing. Cancels if target moves out of range.	Marca a la unidad seleccionada como objetivo de las armas del ciclón, lo que inflige <d ref="Effect,LockOnCP,PeriodCount*Effect,CycloneWeaponDamage,Amount"/> de daño durante <d ref="Effect,LockOnCP,PeriodCount * Effect,LockOnCP,PeriodicPeriodArray[0]"/> segundos a objetivos aéreos y terrestres. Puede moverse mientras dispara. Se cancela si el objetivo queda fuera de alcance.
Locks the Cyclone's weapons on the target flying unit, dealing <d ref="Effect,LockOnAirCP,PeriodCount*Effect,CycloneAirWeaponDamage,Amount"/> damage over <d ref="Effect,LockOnAirCP,PeriodCount * Effect,LockOnAirCP,PeriodicPeriodArray[0]"/> seconds. Can move while firing. Cancels if target moves out of range.	Fija a la unidad voladora seleccionada como objetivo del ciclón, lo que le inflige <d ref="Effect,LockOnAirCP,PeriodCount*Effect,CycloneAirWeaponDamage,Amount"/> de daño durante <d ref="Effect,LockOnAirCP,PeriodCount * Effect,LockOnAirCP,PeriodicPeriodArray[0]"/> segundos. Puede moverse mientras dispara. Se cancela si el objetivo queda fuera de alcance.
