Amorphous Armorcloud	Amorphe Deckungswolke
Incoming damage from air units reduced by <d ref="Behavior,AmorphousArmorcloud,DamageResponse.ModifyFraction*100" precision="1"/>%.	Von Lufteinheiten eingehender Schaden um <d ref="Behavior,AmorphousArmorcloud,DamageResponse.ModifyFraction*100" precision="1"/>% verringert.
Restoration rate increased. Not consuming energy.	Schildwiederherstellungsrate erhöht. Verbraucht keine Energie.
This unit's armor is reduced.	Die Panzerung dieser Einheit ist verringert.
This unit is carefully aiming.	Diese Einheit zielt sehr sorgsam.
This structure is in an accelerated state.	Dieses Gebäude wird beschleunigt.
Target is affected by Fungal Growth. Target is detected and has restricted movement.	Das Ziel leidet unter Pilzbefall. Das Ziel ist aufgedeckt und seine Beweglichkeit ist eingeschränkt.
This unit is grounded and weapons are disabled.	Diese Einheit wurde auf den Boden gezwungen und kann nicht mehr angreifen.
This unit's movement speed is increased.	Die Bewegungsgeschwindigkeit dieser Einheit ist erhöht.
This unit is being controlled by an Infestor.	Diese Einheit wird von einem Verseucher kontrolliert.
This Pylon restores shields of friendly units nearby.	Dieser Pylon lädt die Schilde verbündeter Einheiten in der Nähe auf.
Unit's shields are being restored.	Die Schilde dieser Einheit werden aufgeladen.
This unit is invulnerable and is able to move through other units.	Diese Einheit ist unverwundbar und kann sich durch andere Einheiten hindurchbewegen.
This Pylon has a powerful long-ranged attack.	Dieser Pylon verfügt über einen mächtigen Langstreckenangriff.
Weapons and abilities are disabled.	Waffen und Fähigkeiten sind deaktiviert.
This unit has reduced armor.	Die Panzerung dieser Einheit ist verringert.
This unit is being targeted by an Anti-Armor Missile.	Diese Einheit wird von einer Panzerabwehrrakete anvisiert.
Adept's attack speed increased by <d ref="(Behavior,ResonatingGlaivesPhaseShift,Modification.AttackSpeedMultiplier-1)*100"/>%.	Die Angriffsgeschwindigkeit des Adepten ist um <d ref="(Behavior,ResonatingGlaivesPhaseShift,Modification.AttackSpeedMultiplier-1)*100"/>% erhöht.
This unit is stunned.	Diese Einheit ist betäubt.
This unit's attack and movement speeds are reduced by 50%.	Die Angriffs- und Bewegungsgeschwindigkeit dieser Einheit sind um 50% verringert.
This unit is regenerating health.	Die Einheit regeneriert Trefferpunkte.
Stasis Trap	Stasisfalle
Research Resonating Glaives	Resonanzgleven erforschen
Shield Amplification	Schildverstärkung
Carrier Capacity	Trägerkapazität
Advanced Communications Array	Verbesserte Kommunikationsanlage
Surface-to-Air Targeting	Luftziel-Anvisierung
Rapid Fire Launchers	Schnellfeuermechanismus
Research Mag-Field Accelerator	Magnetfeldbeschleuniger erforschen
Shadow Stride	Schattenflucht
Drilling Claws	Bohrkrallen
Enhanced Shockwaves	Verbesserte Schockwellen
Evolve Microbial Shroud	Mikrobischen Schleier entwickeln
Evolve Adaptive Talons	Adaptive Krallen entwickeln
Evolve Grooved Spines	Stachelprofil entwickeln
Evolve Muscular Augments	Muskelfaserverstärkung entwickeln
Evolve Propulsive Peristalsis	Peristaltische Beschleunigung entwickeln
Increased Attack Range	Erhöhte Angriffsreichweite
Increased Movement Speed	Erhöhte Bewegungsgeschwindigkeit
Select Larvae	Larven auswählen
Mag-Field Launchers	Magnetfeldwerfer
Observer Mode	Beobachtermodus
Surveillance Mode	Überwachungsmodus
Mutate Ventral Sacs	Bauchbeutelmetamorphose
Cancel Oversight	Spionage abbrechen
Oversight	Spionage
Strategic Recall	Strategischer Rückruf
Subterranean Scales	Unterirdische Schuppen
Psionic Surge	Psionischer Aufprall
Rapid Reignition System	Schnelldurchzündungssystem
Morph to Ravager	Zu Verheerer morphen
Enhanced Munitions	Verbesserte Munition
Recalibrated Explosives	Verbesserte Sprengladung
Build Repair Drone	Reparaturdrohne bauen
Research Enhanced Munitions	Verbesserte Munition erforschen
Anti-Armor Missile	Panzerabwehrrakete
Research Shield Amplification	Schildverstärkung erforschen
Research Amplified Shielding	Schildamplifikation erforschen
Research Armor Piercing Rockets	Panzerbrechende Raketen erforschen
Research Carrier Capacity	Trägerkapazität erforschen
Research Advanced Communications Array	Verbesserte Kommunikationsanlage erforschen
Research Rapid Fire Launchers	Schnellfeuermechanismus erforschen
Research Shadow Stride	Schattenflucht erforschen
Research Enhanced Shockwaves	Verbesserte Schockwellen erforschen
Research Mag-Field Launchers	Magnetfeldwerfer erforschen
Research Psionic Amplifiers	Psi-Verstärker erforschen
Research Psionic Surge	Psionischen Aufprall erforschen
Research Rapid Reignition System	Schnelldurchzündungssystem erforschen
Research Recalibrated Explosives	Verbesserte Sprengladung erforschen
Research Smart Servos	Intelligente Servos erforschen
Warp In Shield Battery	Schildbatterie heranwarpen
Restore	Wiederherstellen
Recharge	Wiederaufladung
Tectonic Destabilizers	Tektonikdestabilisierung
Research Tectonic Destabilizers	Tektonikdestabilisierung erforschen
Upgrade Neosteel Armor	Upgrade für Neostahlpanzerung
Concealment	Verbergen
Traps nearby enemies in stasis for <d ref="Behavior,OracleStasisTrapTarget,Duration"/> seconds. Trapped units cannot be attacked or affected by abilities.	Versetzt nahe Gegner <d ref="Behavior,OracleStasisTrapTarget,Duration"/> Sek. lang in Stasis. Gefangene Einheiten können weder angegriffen noch von Fähigkeiten getroffen werden.
Increases the attack speed of Adepts by 45%.	Erhöht die Angriffsgeschwindigkeit von Adepten um 45%.
Increases the attack speed of <c val="ffff8a">Adepts</c> by 45%.	Erhöht die Angriffsgeschwindigkeit von <c val="ffff8a">Adepten</c> um 45%.
Creates a shroud that obscures ground units underneath, reducing damage taken from air units by <d ref="Behavior,AmorphousArmorcloud,DamageResponse.ModifyFraction*100" precision="1"/>%. Lasts <d ref="Effect,AmorphousArmorcloudCP,PeriodCount*Effect,AmorphousArmorcloudCP,PeriodicPeriodArray[0]"/> seconds.	Erschafft einen Schleier, der Bodeneinheiten verhüllt und ihren von Lufteinheiten erlittenen Schaden um <d ref="Behavior,AmorphousArmorcloud,DamageResponse.ModifyFraction*100" precision="1"/>% verringert. Hält <d ref="Effect,AmorphousArmorcloudCP,PeriodCount*Effect,AmorphousArmorcloudCP,PeriodicPeriodArray[0]"/> Sek. lang an.
Increases <c val="ffff8a">Phoenix's</c> attack range by <d ref="$UpgradeEffectArrayValue:PhoenixRangeUpgrade:Weapon,IonCannons,Range$"/>.	Erhöht die Angriffsreichweite von <c val="ffff8a">Phönixen</c> um <d ref="$UpgradeEffectArrayValue:PhoenixRangeUpgrade:Weapon,IonCannons,Range$"/>.
Contains weapon and armor upgrades for Factory and Starport units. <n/><n/><c val="ffff8a">Enables:</c><n/>- Hellbat at the Factory<n/>- Thor at the Factory	Bietet Upgrademöglichkeiten für Waffen und Panzerung von Einheiten, die in der Fabrik oder im Raumhafen gebaut werden. <n/><n/><c val="ffff8a">Ermöglicht:</c><n/>- Kampfhellions in der Fabrik<n/>- Thore in der Fabrik
Infantry-production facility.<n/><n/><c val="ffff8a">Enables:</c><n/>- Marines<n/>- Reapers<n/>- Bunkers from SCVs<n/>- Orbital Commands from Command Centers	Ausbildungseinrichtung für Infanterie-Einheiten.<n/><n/><c val="ffff8a">Ermöglicht:</c><n/>- Space-Marines<n/>- Rächer<n/>- Bau von Bunkern durch WBFs<n/>- Satellitenzentralen aus Kommandozentralen
Overcharges a target Shield Battery near a Nexus, increasing its shield restoration rate by 100% and allowing it to restore shields without consuming energy for <d ref="Behavior,BatteryOvercharge,Duration"/> seconds.	Überlädt die anvisierte Schildbatterie in der Nähe eines Nexus, wodurch sie Schilde 100% schneller wiederherstellt und <d ref="Behavior,BatteryOvercharge,Duration"/> Sek. lang keine Energie verbraucht.
Vehicle-research structure. A Tech Lab can fit onto any production structure.<n/><n/><c val="ffff8a">Enables:</c><n/>- Cyclones<n/>- Siege Tanks<n/>- Thor with Armory	Forschungseinrichtung für Fahrzeugverbesserungen. Tech-Labore können an jede Produktionseinrichtung angeschlossen werden.<n/><n/><c val="ffff8a">Ermöglicht:</c><n/>- Zyklone<n/>- Belagerungspanzer<n/>- Thore (mit Waffenlager)
Focuses a beam on enemy units and reduces their armor by 3.<n/>Times out after <d ref="Behavior,BypassArmorDroneTimedLife,Duration"/> seconds.	Richtet einen Strahl auf gegnerische Einheiten und verringert deren Panzerung um 3.<n/>Bleibt <d ref="Behavior,BypassArmorDroneTimedLife,Duration"/> Sek. lang bestehen.
Drops an experimental robotic MULE miner onto the target Mineral Field. MULEs collect minerals more quickly than SCVs.  <n/><n/>MULEs last <d ref="Behavior,MULETimedLife,Duration"/> seconds before their systems fail.	Schickt einen experimentellen, robotischen M.U.L.E.-Schürfer zum angewählten Mineralienfeld. M.U.L.E.s bauen Mineralien schneller ab als WBFs.<n/><n/>Die Systeme der M.U.L.E.s versagen nach <d ref="Behavior,MULETimedLife,Duration"/> Sek.
Increases the maximum number of Interceptors per Carrier from 8 to 10.	Erhöht die maximale Anzahl an Interceptoren pro Träger von 8 auf 10.
Increases the <c val="ffff8a">Interceptor's</c> leash range by <d ref="$UpgradeEffectArrayValue:CarrierLeashRangeUpgrade:Abil,CarrierHangar,Leash$"/>.	Erhöht die Einsatzreichweite von <c val="ffff8a">Interceptoren</c> um <d ref="$UpgradeEffectArrayValue:CarrierLeashRangeUpgrade:Abil,CarrierHangar,Leash$"/>.
Allows Zealots to intercept nearby enemies. Also increases the movement speed of Zealots. Ability can only be used once every <d ref="Abil,Charge,Cost.Cooldown.TimeUse"/> seconds.	Ermöglicht Berserkern, nahe Feinde abzufangen. Erhöht gleichzeitig die Bewegungsgeschwindigkeit von Berserkern. Diese Fähigkeit kann nur einmal alle <d ref="Abil,Charge,Cost.Cooldown.TimeUse"/> Sek. eingesetzt werden.
Places target structure in a Chrono Boost, causing it to operate <d ref="(((Behavior,ChronoBoostEnergyCost,Modification.RateMultiplierArray[Progress])-1)*100)" precision="1"/>% faster for <d ref="Behavior,ChronoBoostEnergyCost,Duration"/> seconds.	Lässt das Zielgebäude in eine Zeitschleife übergehen und somit <d ref="Behavior,ChronoBoostEnergyCost,Duration"/> Sek. lang <d ref="(((Behavior,ChronoBoostEnergyCost,Modification.RateMultiplierArray[Progress])-1)*100)" precision="1"/>% schneller arbeiten.
A barrier that can be destroyed to allow access to new areas.	Eine Barriere, die zerstört werden kann, um Zugriff auf neue Gebiete zu erlangen.
Contains weapon and armor upgrades for Protoss air units and the Warp Gate upgrade.<n/><n/><c val="ffff8a">Enables:</c><n/>- Sentries at the Gateway<n/>- Stalkers at the Gateway<n/>- Adepts at the Gateway<n/>- Shield Batteries from Probes	Bietet Upgrademöglichkeiten für Waffen und Panzerung von Protoss-Lufteinheiten sowie für die Warptor-Technologie.<n/><n/><c val="ffff8a">Ermöglicht:</c><n/>- Protektoren im Warpknoten<n/>- Hetzer im Warpknoten<n/>- Adepten im Warpknoten<n/>- Schildbatterien durch Sonden
Mobile assault vehicle. Can use Lock On to quickly fire while moving.<n/><n/><c val="#ColorAttackInfo">Can attack ground units.</c>	Mobiles Kampffahrzeug. Kann die Fähigkeit "Erfassen" einsetzen, um während der Bewegung schnell zu feuern.<n/><n/><c val="#ColorAttackInfo">Kann Bodeneinheiten angreifen.</c>
Allows the Cyclone's weapon and Lock On ability to target air units.	Ermöglicht dem Zyklon, Lufteinheiten mit seiner Waffe sowie der Fähigkeit "Erfassen" anzuvisieren.
Improves the Lock On ability to fire the first 12 shots quickly.	Verbessert die Fähigkeit "Erfassen", sodass 12 Schüsse schnell hintereinander abgefeuert werden.
Allows the Cyclone's Typhoon Missile Pods and Lock On ability to target air units.	Ermöglicht dem Zyklon, Lufteinheiten mit der Taifunraketenbatterie sowie der Fähigkeit "Erfassen" anzuvisieren.
Increases <c val="ffff8a">Cyclone</c> Lock On damage. Deals 400 damage (+400 vs. Armored) over <d ref="Effect,LockOnCP,PeriodCount * Effect,LockOnCP,PeriodicPeriodArray[0]"/> seconds to ground and flying targets.	Erhöht den Schaden der Fähigkeit "Erfassen" des <c val="ffff8a">Zyklons</c>. Fügt erfassten Boden- und Luftzielen im Verlauf von <d ref="Effect,LockOnCP,PeriodCount * Effect,LockOnCP,PeriodicPeriodArray[0]"/> Sek. 400 (+400 gegen gepanzerte Einheiten) Schaden zu.
Mobile assault vehicle. Can use Lock On to quickly fire while moving.<n/><n/><c val="#ColorAttackInfo">Can attack ground and air units.</c>	Mobiles Kampffahrzeug. Kann die Fähigkeit "Erfassen" einsetzen, um während der Bewegung schnell zu feuern.<n/><n/><c val="#ColorAttackInfo">Kann Boden- und Lufteinheiten angreifen.</c>
Contains an upgrade for Dark Templar.<n/><n/><c val="ffff8a">Enables:</c><n/>- Dark Templar at the Gateway<n/>- Archon Merge from Dark Templar	Bietet Upgrademöglichkeiten für Dunkle Templer.<n/><n/><c val="ffff8a">Ermöglicht:</c><n/>- Dunkle Templer im Warpknoten<n/>- Archons aus Dunklen Templern
Teleports the Dark Templar to a nearby target location. Ability can only be used once every <d ref="Abil,DarkTemplarBlink,Cost[0].Cooldown.TimeUse"/> seconds.	Teleportiert den Dunklen Templer zu einer nahe gelegenen Zielposition. Diese Fähigkeit kann nur einmal alle <d ref="Abil,DarkTemplarBlink,Cost[0].Cooldown.TimeUse"/> Sek. eingesetzt werden.
Robotic disruption unit. Can use Purification Nova to deal heavy area damage.	Robotische Kontereinheit. Kann die Fähigkeit "Psi-Nova" einsetzen, um schweren Flächenschaden zu verursachen.
Highly concentrated solar energy. Explodes after <d ref="Behavior,PurificationNovaTargettedTarget,Duration"/> seconds, dealing area damage.	Hochkonzentrierte Solarenergie. Explodiert nach <d ref="Behavior,PurificationNovaTargettedTarget,Duration"/> Sek. und verursacht Flächenschaden.
This unit burrows faster.	Diese Einheit gräbt sich schneller ein.
Increases the radius of <c val="ffff8a">Ghost's</c> EMP Round by +<d ref="$UpgradeEffectArrayValue:EnhancedShockwaves:Effect,EMPSearch,AreaArray[0].Radius$" precision="1"/>.	Erhöht den Radius der Fähigkeit "EMP-Projektil" von <c val="ffff8a">Ghosts</c> um <d ref="$UpgradeEffectArrayValue:EnhancedShockwaves:Effect,EMPSearch,AreaArray[0].Radius$" precision="1"/>.
Allows <c val="ffff8a">Infestors</c> to use the Microbial Shroud ability.	Ermöglicht <c val="ffff8a">Verseuchern</c> den Einsatz der Fähigkeit "Mikrobischer Schleier".
Increases the movement speed of <c val="ffff8a">Ultralisks</c> off creep.	Erhöht die Bewegungsgeschwindigkeit von <c val="ffff8a">Ultralisken</c> abseits von Kriecher.
<c val="ffff8a">Banelings</c> gain increased movement speed and +5 life.	<c val="ffff8a">Berstlinge</c> erhalten erhöhte Bewegungsgeschwindigkeit und +5 Trefferpunkte.
Gives +<d ref="$UpgradeEffectArrayValue:ChitinousPlating:Unit,Ultralisk,LifeArmor$"/> armor to <c val="ffff8a">Ultralisks</c>.	Erhöht die Panzerung von <c val="ffff8a">Ultralisken</c> um <d ref="$UpgradeEffectArrayValue:ChitinousPlating:Unit,Ultralisk,LifeArmor$"/>.
Reduces the time <c val="ffff8a">Lurkers</c> take to burrow from <d time="2.5" precision="1"/> to <d time="1" precision="1"/> and increases their movement speed.	Verringert die Eingrabezeit von <c val="ffff8a">Schleichern</c> von <d time="2.5" precision="1"/> auf <d time="1" precision="1"/> und erhöht ihre Bewegungsgeschwindigkeit.
Increases <c val="ffff8a">Hydralisk</c> attack range by +<d ref="$UpgradeEffectArrayValue:EvolveGroovedSpines:Weapon,NeedleSpines,Range$"/>.	Erhöht die Angriffsreichweite von <c val="ffff8a">Hydralisken</c> um <d ref="$UpgradeEffectArrayValue:EvolveGroovedSpines:Weapon,NeedleSpines,Range$"/>.
Increases the movement speed of <c val="ffff8a">Hydralisks</c>.	Erhöht die Bewegungsgeschwindigkeit von <c val="ffff8a">Hydralisken</c>.
Increase the <c val="ffff8a">Nydus Network</c> and <c val="ffff8a">Nydus Worm's</c> load and unload speeds.	Erhöht die Geschwindigkeit, mit der das <c val="ffff8a">Nydusnetzwerk</c> und der <c val="ffff8a">Nyduswurm</c> Einheiten ein- und ausladen.
Enables <c val="ffff8a">Roaches</c> to move while burrowed.	Ermöglicht es <c val="ffff8a">Schaben</c>, sich im eingegrabenen Zustand zu bewegen.
Increases the damage of Raven Auto-Turrets and Seeker Missiles by 30%.	Erhöht den Schaden der automatischen Geschütztürme und zielsuchenden Raketen des Raven um 30%.
Vehicle-production facility. <n/><n/><c val="ffff8a">Enables:</c><n/>- Hellions<n/>- Widow Mines<n/>- Cyclones	Produktionseinrichtung für Fahrzeuge.<n/><n/><c val="ffff8a">Ermöglicht:</c><n/>- Hellions<n/>- Arachnominen<n/>- Zyklone
Drains all energy from the target. Deals <d ref="(Effect,Feedback,VitalFractionCurrent[Energy])" Precision="2"/> damage per point of energy.	Entzieht dem Ziel alle Energie. Verursacht pro Energiepunkt <d ref="(Effect,Feedback,VitalFractionCurrent[Energy])" Precision="2"/> Schaden.
Contains upgrades for Phoenixes and Void Rays.<n/><n/><c val="ffff8a">Enables:</c><n/>- Tempests at the Stargate</n>- Carriers at the Stargate<n/>- Mothership from the Nexus	Bietet Upgrademöglichkeiten für Phönixe und Phasengleiter.<n/><n/><c val="ffff8a">Ermöglicht:</c><n/>- Tempests im Raumportal<n/>- Träger im Raumportal<n/>- Mutterschiff im Nexus
Immune to snare, stun, mind control, and movement altering effects.	Immun gegen Verlangsamungs-, Betäubungs-, Kontroll- und bewegungsbeeinflussende Effekte.
Target units take <d ref="(Behavior,FungalGrowth,Duration / Behavior,FungalGrowth,Period) * Effect,FungalGrowthDamage,Amount"/> damage over <d time="4"/> and have movement speed reduced by <d ref="(1-Behavior,FungalGrowthSlowMovement,Modification.MoveSpeedMultiplier)*100"/>%. Reveals cloaked and burrowed units. Affected units cannot Blink or load into transports or buildings.	Anvisierte Einheiten erleiden im Verlauf von <d time="4"/> <d ref="(Behavior,FungalGrowth,Duration / Behavior,FungalGrowth,Period) * Effect,FungalGrowthDamage,Amount"/> Schaden und ihre Bewegungsgeschwindigkeit ist um <d ref="(1-Behavior,FungalGrowthSlowMovement,Modification.MoveSpeedMultiplier)*100"/>% verringert. Deckt getarnte und eingegrabene Einheiten auf. Betroffene Einheiten können Transit nicht einsetzen und auch keine Transporter oder Gebäude betreten.
Contains Medivac, Liberator, and Battlecruiser upgrades. <n/><n/><c val="ffff8a">Enables:</c><n/>- Battlecruisers at the Starport	Bietet Upgrademöglichkeiten für Medivacs, Falken und Schwere Kreuzer.<n/><n/><c val="ffff8a">Ermöglicht:</c><n/>- Schwere Kreuzer im Raumhafen
Sniper. Can use Steady Targeting, EMP Round, and be upgraded to use Cloak. Can call down Tactical Nukes built at the Ghost Academy.<n/><n/><c val="#ColorAttackInfo">Can attack ground and air units.</c>	Scharfschütze. Kann die Fähigkeiten "Sicheres Zielen" und "EMP-Projektil" einsetzen sowie "Tarnen" als Upgrade erhalten. Kann in der Ghost-Akademie gebaute taktische Nuklearraketen anfordern.<n/><n/><c val="#ColorAttackInfo">Kann Boden- und Lufteinheiten angreifen.</c>
Contains upgrades for Ghosts. Can build Nukes for Ghosts.<n/><n/><c val="ffff8a">Enables:</c><n/>- Ghosts at the Barracks	Bietet Upgrademöglichkeiten für Ghosts. Kann Nuklearraketen bauen, die von Ghosts eingesetzt werden. <n/><n/><c val="ffff8a">Ermöglicht:</c><n/>- Ghosts in der Kaserne
Creates a range <d ref="Effect,GuardianShieldSearch,AreaArray[0].Radius" precision="1"/> aura that reduces incoming ranged damage to friendly units by 2. Lasts <d time="15"/>.	Erzeugt eine Aura mit einer Reichweite von <d ref="Effect,GuardianShieldSearch,AreaArray[0].Radius" precision="1"/>, die den eingehenden Schaden befreundeter Einheiten um 2 verringert. Die Aura hält <d time="15"/> lang an.
Heals a friendly biological target.<n/><n/><c val="f078ff">Heals <d ref="Effect,MedivacHeal,RechargeVitalRate*Effect,MedivacHeal,DrainVitalCostFactor"/> life per 1 energy.</c>	Heilt eine befreundete biologische Einheit.<n/><n/><c val="f078ff">Heilt <d ref="Effect,MedivacHeal,RechargeVitalRate*Effect,MedivacHeal,DrainVitalCostFactor"/> Trefferpunkte pro 1 Energie.</c>
Increases the Medivac's fuel reserves, allowing Ignite Afterburners to last 50% longer.	Erhöht die Treibstoffreserven des Medivacs, wodurch die Nachbrenner 50% länger anhalten.
Potent psionic master. Can use Feedback and be upgraded to use Psionic Storm. Can transform into an Archon.<n/><n/><c val="ffff8a">Can attack ground units.</c>	Mächtiger psionischer Meister. Kann die Fähigkeit "Rückkopplung" und nach Upgrade auch "Psi-Sturm" einsetzen. Kann zu einem Archon verschmelzen.<n/><n/><c val="ffff8a">Kann Bodeneinheiten angreifen.</c>
Contains upgrades for Hydralisks.<n/><n/><c val="ffff8a">Enables:</c><n/>- Hydralisks from Larvae	Bietet Upgrademöglichkeiten für Hydralisken.<n/><n/><c val="ffff8a">Ermöglicht:</c><n/>- Hydralisken aus Larven
Absorbs up to <d ref="Behavior,ImmortalOverload,DamageResponse.ModifyLimit"/> damage. Lasts for <d ref="Behavior,ImmortalOverload,Duration"/> seconds. This effect can only occur once every <d ref="Abil,ImmortalOverload,Cost[0].Cooldown.TimeUse"/> seconds.	Absorbiert bis zu <d ref="Behavior,ImmortalOverload,DamageResponse.ModifyLimit"/> Schaden. Bleibt <d ref="Behavior,ImmortalOverload,Duration"/> Sek. lang bestehen. Dieser Effekt kann nur einmal alle <d ref="Abil,ImmortalOverload,Cost[0].Cooldown.TimeUse"/> Sek. auftreten.
Contains upgrades for Infestors.<n/><n/><c val="ffff8a">Enables:</c><n/>- Infestors from Larvae<n/>- Swarm Hosts from Larvae	Bietet Upgrademöglichkeiten für Verseucher.<n/><n/><c val="ffff8a">Ermöglicht:</c><n/>- Verseucher aus Larven <n/>- Schwarmwirte aus Larven
Spawn an Infested Terran. Infested Terrans last <d ref="Behavior,InfestedTerranTimedLife,Duration"/> seconds.<n/><n/><c val="ffff8a">Can cast while burrowed.</c>	Lässt einen verseuchten Terraner entstehen. Verseuchte Terraner bleiben <d ref="Behavior,InfestedTerranTimedLife,Duration"/> Sek. lang bestehen.<n/><n/><c val="ffff8a">Kann im eingegrabenen Zustand eingesetzt werden.</c>
Infestation specialist. Can use the Fungal Growth, Microbial Shroud, and Neural Parasite abilities.	Spezialist für Verseuchung. Kann die Fähigkeiten "Pilzbefall", "Mikrobischer Schleier" und "Neuralparasit" einsetzen.
Brings a target air unit to the ground for <d ref="Behavior,InfestorEnsnare,Duration"/> seconds, rendering it unable to attack, and allowing units to attack it as if it were a ground unit.	Zwingt die ausgewählte Lufteinheit <d ref="Behavior,InfestorEnsnare,Duration"/> Sek. lang auf den Boden, wo sie selbst nicht angreifen, aber wie eine normale Bodeneinheit angegriffen werden kann.
Explodes after a short delay, dealing <d ref="Effect,KD8ChargeExplodeDamage,Amount"/> damage and knocking back nearby units.	Explodiert nach kurzer Verzögerung, verursacht <d ref="Effect,KD8ChargeExplodeDamage,Amount"/> Schaden und stößt Einheiten in der Nähe zurück.
Increases the range of Liberators in Defender Mode by <d ref="$UpgradeEffectArrayValue:LiberatorAGRangeUpgrade:Weapon,LiberatorAGWeapon,Range$"/>.	Erhöht die Reichweite von Falken im Verteidigungsmodus um <d ref="$UpgradeEffectArrayValue:LiberatorAGRangeUpgrade:Weapon,LiberatorAGWeapon,Range$"/>.ref="$UpgradeEffectArrayValue:LiberatorAGRangeUpgrade:Weapon,LiberatorAGWeapon,Range$"/>.
Locks the Cyclone's weapons on the target unit, dealing <d ref="Effect,LockOnCP,PeriodCount*Effect,CycloneWeaponDamage,Amount"/> damage over <d ref="Effect,LockOnCP,PeriodCount * Effect,LockOnCP,PeriodicPeriodArray[0]"/> seconds to ground and flying targets. Can move while firing. Cancels if target moves out of range.	Nimmt eine Boden- oder Lufteinheit ins Visier. Verursacht im Verlauf von <d ref="Effect,LockOnCP,PeriodCount * Effect,LockOnCP,PeriodicPeriodArray[0]"/> Sek. <d ref="Effect,LockOnCP,PeriodCount*Effect,CycloneWeaponDamage,Amount"/> Schaden. Kann sich beim Feuern bewegen. Wird abgebrochen, wenn das Ziel außer Reichweite gelangt.
Locks the Cyclone's weapons on the target flying unit, dealing <d ref="Effect,LockOnAirCP,PeriodCount*Effect,CycloneAirWeaponDamage,Amount"/> damage over <d ref="Effect,LockOnAirCP,PeriodCount * Effect,LockOnAirCP,PeriodicPeriodArray[0]"/> seconds. Can move while firing. Cancels if target moves out of range.	Nimmt eine fliegende Zieleinheit ins Visier. Verursacht im Verlauf von <d ref="Effect,LockOnAirCP,PeriodCount * Effect,LockOnAirCP,PeriodicPeriodArray[0]"/> Sek. <d ref="Effect,LockOnAirCP,PeriodCount*Effect,CycloneAirWeaponDamage,Amount"/> Schaden. Kann sich beim Feuern bewegen. Wird abgebrochen, wenn das Ziel außer Reichweite gelangt.
