Amorphous Armorcloud	Nimboarmadura amorfa
This unit's attack and movement speeds are reduced by 50%.	Las velocidades de ataque y movimiento de esta unidad se reducen un 50%.
This unit is regenerating health.	Esta unidad está regenerando vida.
Stasis Trap	Trampa de estasis
Research Resonating Glaives	Investigar Gladias vibrantes
Shield Amplification	Mejora de escudo
Carrier Capacity	Capacidad del Portanaves
Advanced Communications Array	Matriz de comunicaciones avanzadas
Surface-to-Air Targeting	Objetivos tierra-aire
Rapid Fire Launchers	Lanzadores de disparo rápido
Research Mag-Field Accelerator	Investigar Acelerador de campo magnético
Shadow Stride	Andar sombrío
Drilling Claws	Garras perforadoras
Enhanced Shockwaves	Olas de choque mejoradas
Evolve Microbial Shroud	Evolucionar Velo microbiano
Evolve Adaptive Talons	Evolucionar Garras adaptables
Evolve Grooved Spines	Evolucionar Espinas acanaladas
Evolve Muscular Augments	Evolucionar Incrementos musculares
Evolve Propulsive Peristalsis	Evolucionar Peristalsis propulsora
Increased Attack Range	Radio de ataque aumentado
Increased Movement Speed	Velocidad de movimiento aumentada
Select Larvae	Seleccionar Larvas
Mag-Field Launchers	Lanzadores de campo magnético
Observer Mode	Modo Observador
Surveillance Mode	Modo Vigilancia
Mutate Ventral Sacs	Mutar sacos ventrales
Cancel Oversight	Cancelar Vigilancia
Oversight	Vigilancia
Strategic Recall	Repliegue estratégico
Subterranean Scales	Escamas subterráneas
Psionic Surge	Ráfaga psiónica
Rapid Reignition System	Sistema de Reignición Rápida
Morph to Ravager	Transformar en Devastador
Enhanced Munitions	Municiones mejoradas
Recalibrated Explosives	Explosivos recalibrados
Build Repair Drone	Construir Dron de reparación
Research Enhanced Munitions	Investigar Municiones mejoradas
Anti-Armor Missile	Misil antiblindaje
Research Shield Amplification	Investigar Mejora de escudo
Research Amplified Shielding	Investigar Mejora de escudo
Research Armor Piercing Rockets	Investigar Cohetes antiarmadura
Research Carrier Capacity	Investigar Capacidad del Portanaves
Research Advanced Communications Array	Investigar Matriz de comunicaciones avanzadas
Research Rapid Fire Launchers	Investigar Lanzadores de disparo rápido
Research Shadow Stride	Investigar Andar sombrío
Research Enhanced Shockwaves	Investigar Olas de choque mejoradas
Research Mag-Field Launchers	Investigar Lanzadores de campo magnético
Research Psionic Amplifiers	Investigar Amplificadores psiónicos
Research Psionic Surge	Investigar Ráfaga psiónica
Research Rapid Reignition System	Investigar Sistema de Reignición Rápida
Research Recalibrated Explosives	Investigar Explosivos recalibrados
Research Smart Servos	Investigar Servos inteligentes
Warp In Shield Battery	Transposicionar Batería de escudos
Restore	Restaurar
Recharge	Recargar
Tectonic Destabilizers	Desestabilizadores tectónicos
Research Tectonic Destabilizers	Investigar Desestabilizadores tectónicos
Upgrade Neosteel Armor	Mejorar Armadura de neoacero
Concealment	Ocultamiento
Traps nearby enemies in stasis for <d ref="Behavior,OracleStasisTrapTarget,Duration"/> seconds. Trapped units cannot be attacked or affected by abilities.	Deja a los enemigos cercanos en estasis durante <d ref="Behavior,OracleStasisTrapTarget,Duration"/> segundos. Las unidades que están en estasis no pueden recibir ataques ni ser objetivo de habilidades.
Increases the attack speed of Adepts by 45%.	Aumenta un 45% la velocidad de ataque de las Adeptas.
Increases the attack speed of <c val="ffff8a">Adepts</c> by 45%.	Aumenta la velocidad de ataque de las <c val="ffff8a">Adeptas</c> un 45%.
Creates a shroud that obscures ground units underneath, reducing damage taken from air units by <d ref="Behavior,AmorphousArmorcloud,DamageResponse.ModifyFraction*100" precision="1"/>%. Lasts <d ref="Effect,AmorphousArmorcloudCP,PeriodCount*Effect,AmorphousArmorcloudCP,PeriodicPeriodArray[0]"/> seconds.	Crea un velo que oculta a las unidades terrestres que tiene debajo y reduce un <d ref="Behavior,AmorphousArmorcloud,DamageResponse.ModifyFraction*100" precision="1"/>% el daño que reciben de las unidades aéreas. Dura <d ref="Effect,AmorphousArmorcloudCP,PeriodCount*Effect,AmorphousArmorcloudCP,PeriodicPeriodArray[0]"/> segundos.
Increases <c val="ffff8a">Phoenix's</c> attack range by <d ref="$UpgradeEffectArrayValue:PhoenixRangeUpgrade:Weapon,IonCannons,Range$"/>.	Aumenta el radio de ataque del <c val="ffff8a">Fénix</c> en <d ref="$UpgradeEffectArrayValue:PhoenixRangeUpgrade:Weapon,IonCannons,Range$"/>.
Contains weapon and armor upgrades for Factory and Starport units. <n/><n/><c val="ffff8a">Enables:</c><n/>- Hellbat at the Factory<n/>- Thor at the Factory	Contiene mejoras de armas y armaduras para las unidades de Fábrica y Puerto estelar. <n/><n/><c val="ffff8a">Habilita:</c><n/>- Murciélago infernal en la Fábrica<n/>- Thor en la Fábrica
Infantry-production facility.<n/><n/><c val="ffff8a">Enables:</c><n/>- Marines<n/>- Reapers<n/>- Bunkers from SCVs<n/>- Orbital Commands from Command Centers	Complejo de producción de infantería.<n/><n/><c val="ffff8a">Habilita:</c><n/>- Marines<n/>- Yum-Kimiles<n/>- Construcción de Búnkeres con los VCE<n/>- Transformación de Centro de mando en Centro de mando orbital
Overcharges a target Shield Battery near a Nexus, increasing its shield restoration rate by 100% and allowing it to restore shields without consuming energy for <d ref="Behavior,BatteryOvercharge,Duration"/> seconds.	Sobrecarga una Batería de escudos cerca de un Nexo, lo que aumenta su ritmo de restauración de escudos un 100% y le permite restaurar los escudos sin consumir energía durante <d ref="Behavior,BatteryOvercharge,Duration"/> segundos.
Vehicle-research structure. A Tech Lab can fit onto any production structure.<n/><n/><c val="ffff8a">Enables:</c><n/>- Cyclones<n/>- Siege Tanks<n/>- Thor with Armory	Estructura de investigación vehicular. Cualquier estructura de producción puede albergar un Tecnolab.<n/><n/><c val="ffff8a">Habilita:</c><n/>- Ciclones<n/>- Tanques de Asedio<n/>- Thor con Armería
Focuses a beam on enemy units and reduces their armor by 3.<n/>Times out after <d ref="Behavior,BypassArmorDroneTimedLife,Duration"/> seconds.	Concentra sobre las unidades enemigas un rayo de energía que reduce su armadura en 3.<n/>Pierde efecto después de <d ref="Behavior,BypassArmorDroneTimedLife,Duration"/> segundos.
Drops an experimental robotic MULE miner onto the target Mineral Field. MULEs collect minerals more quickly than SCVs.  <n/><n/>MULEs last <d ref="Behavior,MULETimedLife,Duration"/> seconds before their systems fail.	Lanza un minero EMUL robótico experimental en el campo de minerales objetivo. Los EMUL recogen minerales más rápido que los VCE. <n/><n/>Los EMUL duran <d ref="Behavior,MULETimedLife,Duration"/> segundos hasta que sus sistemas comienzan a fallar.
Increases the maximum number of Interceptors per Carrier from 8 to 10.	Aumenta la cantidad máxima de Interceptores por Portanaves de 8 a 10.
Increases the <c val="ffff8a">Interceptor's</c> leash range by <d ref="$UpgradeEffectArrayValue:CarrierLeashRangeUpgrade:Abil,CarrierHangar,Leash$"/>.	Aumenta el radio de movimiento del <c val="ffff8a">Interceptor</c> en <d ref="$UpgradeEffectArrayValue:CarrierLeashRangeUpgrade:Abil,CarrierHangar,Leash$"/>.
Allows Zealots to intercept nearby enemies. Also increases the movement speed of Zealots. Ability can only be used once every <d ref="Abil,Charge,Cost.Cooldown.TimeUse"/> seconds.	Permite que los Zelots intercepten a los enemigos cercanos.  La habilidad sólo puede usarse una vez cada <d ref="Abil,Charge,Cost.Cooldown.TimeUse"/> segundos.
Places target structure in a Chrono Boost, causing it to operate <d ref="(((Behavior,ChronoBoostEnergyCost,Modification.RateMultiplierArray[Progress])-1)*100)" precision="1"/>% faster for <d ref="Behavior,ChronoBoostEnergyCost,Duration"/> seconds.	La estructura objetivo ingresa en un Cronoimpulso que le permite funcionar un <d ref="(((Behavior,ChronoBoostEnergyCost,Modification.RateMultiplierArray[Progress])-1)*100)" precision="1"/>% más rápido durante <d ref="Behavior,ChronoBoostEnergyCost,Duration"/> segundos.
A barrier that can be destroyed to allow access to new areas.	Una barrera que se puede destruir para acceder a áreas nuevas.
A tower that can be destroyed to prevent access to new areas or resource locations.	Torre que puede destruirse para impedir el acceso a áreas nuevas o lugares con recursos.
Contains weapon and armor upgrades for Protoss air units and the Warp Gate upgrade.<n/><n/><c val="ffff8a">Enables:</c><n/>- Sentries at the Gateway<n/>- Stalkers at the Gateway<n/>- Adepts at the Gateway<n/>- Shield Batteries from Probes	Contiene mejoras de armas y armaduras para las unidades aéreas protoss, y la mejora Portal de transposición.<n/><n/><c val="ffff8a">Habilita:</c><n/>- Centinelas en el Portal<n/>- Persecutores en el portal<n/>- Adeptas en el Portal<n/>- Baterías de escudos de las Sondas
Mobile assault vehicle. Can use Lock On to quickly fire while moving.<n/><n/><c val="#ColorAttackInfo">Can attack ground units.</c>	Vehículo de asalto móvil. Puede usar Fijar objetivo para disparar rápidamente en movimiento.<n/><n/><c val="#ColorAttackInfo">Ataca a unidades terrestres.</c>
Allows the Cyclone's weapon and Lock On ability to target air units.	Permite utilizar las armas y la habilidad Fijar objetivo del Ciclón contra objetivos aéreos.
Improves the Lock On ability to fire the first 12 shots quickly.	Mejora la habilidad Fijar objetivo para que los 12 primeros disparos se lancen rápidamente.
Allows the Cyclone's Typhoon Missile Pods and Lock On ability to target air units.	Permite utilizar las cápsulas de misiles Tifón y la habilidad Fijar objetivo del Ciclón contra objetivos aéreos.
Increases <c val="ffff8a">Cyclone</c> Lock On damage. Deals 400 damage (+400 vs. Armored) over <d ref="Effect,LockOnCP,PeriodCount * Effect,LockOnCP,PeriodicPeriodArray[0]"/> seconds to ground and flying targets.	Aumenta el daño de Fijar objetivo del <c val="ffff8a">Ciclón</c>. Inflige 400 de daño (+400 contra unidades blindadas) durante <d ref="Effect,LockOnCP,PeriodCount * Effect,LockOnCP,PeriodicPeriodArray[0]"/> segundos a los objetivos terrestres y aéreos.
Mobile assault vehicle. Can use Lock On to quickly fire while moving.<n/><n/><c val="#ColorAttackInfo">Can attack ground and air units.</c>	Vehículo de asalto móvil. Puede usar Fijar objetivo para disparar rápidamente en movimiento.<n/><n/><c val="#ColorAttackInfo">Ataca a unidades terrestres y aéreas.</c>
Contains an upgrade for Dark Templar.<n/><n/><c val="ffff8a">Enables:</c><n/>- Dark Templar at the Gateway<n/>- Archon Merge from Dark Templar	Contiene una mejora para el Templario oscuro.<n/><n/><c val="ffff8a">Habilita:</c><n/>- Templarios oscuros en el Portal<n/>- Fusión de Templarios oscuros en Arconte
Teleports the Dark Templar to a nearby target location. Ability can only be used once every <d ref="Abil,DarkTemplarBlink,Cost[0].Cooldown.TimeUse"/> seconds.	Teletransporta al Templario oscuro a una ubicación objetivo cercana. La habilidad solo puede utilizarse una vez cada <d ref="Abil,DarkTemplarBlink,Cost[0].Cooldown.TimeUse"/> segundos.
Robotic disruption unit. Can use Purification Nova to deal heavy area damage.	Unidad de disrupción robótica. Puede usar Nova purificadora para infligir una gran cantidad de daño de área.
Highly concentrated solar energy. Explodes after <d ref="Behavior,PurificationNovaTargettedTarget,Duration"/> seconds, dealing area damage.	Energía solar altamente concentrada. Explota después de <d ref="Behavior,PurificationNovaTargettedTarget,Duration"/> segundos e inflige daño de área.
This unit burrows faster.	Esta unidad se entierra más rápido.
Increases the radius of <c val="ffff8a">Ghost's</c> EMP Round by +<d ref="$UpgradeEffectArrayValue:EnhancedShockwaves:Effect,EMPSearch,AreaArray[0].Radius$" precision="1"/>.	Aumenta <d ref="$UpgradeEffectArrayValue:EnhancedShockwaves:Effect,EMPSearch,AreaArray[0].Radius$" precision="1"/> el radio de la Munición PEM del <c val="ffff8a">Fantasma</c>.
Allows <c val="ffff8a">Infestors</c> to use the Microbial Shroud ability.	Permite que los <c val="ffff8a">Infestadores</c> usen la habilidad Velo microbiano.
Increases the movement speed of <c val="ffff8a">Ultralisks</c> off creep.	Aumenta la velocidad de movimiento de los <c val="ffff8a">Ultraliscos</c> fuera del talo.
<c val="ffff8a">Banelings</c> gain increased movement speed and +5 life.	Los <c val="ffff8a">Uetzis</c> obtienen más velocidad de movimiento y +5 de vida.
Gives +<d ref="$UpgradeEffectArrayValue:ChitinousPlating:Unit,Ultralisk,LifeArmor$"/> armor to <c val="ffff8a">Ultralisks</c>.	Otorga +<d ref="$UpgradeEffectArrayValue:ChitinousPlating:Unit,Ultralisk,LifeArmor$"/> de armadura a los <c val="ffff8a">Ultraliscos</c>.
Reduces the time <c val="ffff8a">Lurkers</c> take to burrow from <d time="2.5" precision="1"/> to <d time="1" precision="1"/> and increases their movement speed.	Reduce el tiempo que necesitan los <c val="ffff8a">Acechadores</c> para enterrarse de <d time="2.5" precision="1"/> a <d time="1" precision="1"/> y aumenta su velocidad de movimiento.
Increases <c val="ffff8a">Hydralisk</c> attack range by +<d ref="$UpgradeEffectArrayValue:EvolveGroovedSpines:Weapon,NeedleSpines,Range$"/>.	Aumenta el radio de ataque del <c val="ffff8a">Hidralisco</c> en +<d ref="$UpgradeEffectArrayValue:EvolveGroovedSpines:Weapon,NeedleSpines,Range$"/>.
Increases the movement speed of <c val="ffff8a">Hydralisks</c>.	Aumenta la velocidad de movimiento de los<c val="ffff8a">Hidraliscos</c>.
Increase the <c val="ffff8a">Nydus Network</c> and <c val="ffff8a">Nydus Worm's</c> load and unload speeds.	Aumenta la <c val="ffff8a">red Nydus</c> y la velocidad de carga y descarga del <c val="ffff8a">Gusano Nydus</c>.
Enables <c val="ffff8a">Roaches</c> to move while burrowed.	Permite que las <c val="ffff8a">Cucarachas</c> se desplacen bajo tierra.
Increases the damage of Raven Auto-Turrets and Seeker Missiles by 30%.	Aumenta un 30% el daño de las Torretas automáticas y los Misiles buscadores del Cuervo.
Vehicle-production facility. <n/><n/><c val="ffff8a">Enables:</c><n/>- Hellions<n/>- Widow Mines<n/>- Cyclones	Complejo de producción vehicular. <n/><n/><c val="ffff8a">Habilita:</c><n/>- Demonios<n/>- Minas viudas<n/>- Ciclones
Drains all energy from the target. Deals <d ref="(Effect,Feedback,VitalFractionCurrent[Energy])" Precision="2"/> damage per point of energy.	Drena toda la energía del objetivo. Inflige <d ref="(Effect,Feedback,VitalFractionCurrent[Energy])" Precision="2"/> de daño por punto de energía.
Contains upgrades for Phoenixes and Void Rays.<n/><n/><c val="ffff8a">Enables:</c><n/>- Tempests at the Stargate</n>- Carriers at the Stargate<n/>- Mothership from the Nexus	Contiene mejoras para los Fénix y Mantarrayas del Vacío.<n/><n/><c val="ffff8a">Habilita:</c><n/>- Tempestades en el Portal estelar</n>- Portanaves en el Portal estelar<n/>- Nave nodriza en el Nexo
Immune to snare, stun, mind control, and movement altering effects.	Inmune a la inmovilización, el aturdimiento, el control mental y los efectos que dificultan el movimiento.
Target units take <d ref="(Behavior,FungalGrowth,Duration / Behavior,FungalGrowth,Period) * Effect,FungalGrowthDamage,Amount"/> damage over <d time="4"/> and have movement speed reduced by <d ref="(1-Behavior,FungalGrowthSlowMovement,Modification.MoveSpeedMultiplier)*100"/>%. Reveals cloaked and burrowed units. Affected units cannot Blink or load into transports or buildings.	Las unidades objetivo reciben <d ref="(Behavior,FungalGrowth,Duration / Behavior,FungalGrowth,Period) * Effect,FungalGrowthDamage,Amount"/> de daño durante <d time="4"/> y su velocidad de movimiento se reduce un <d ref="(1-Behavior,FungalGrowthSlowMovement,Modification.MoveSpeedMultiplier)*100"/>%. Revela a las unidades camufladas y enterradas. Las unidades afectadas no pueden usar Parpadeo ni entrar a transportes o edificaciones.
Contains Medivac, Liberator, and Battlecruiser upgrades. <n/><n/><c val="ffff8a">Enables:</c><n/>- Battlecruisers at the Starport	Contiene mejoras para el Evamed, Libertador y Crucero de batalla. <n/><n/><c val="ffff8a">Habilita:</c><n/>- Cruceros de batalla en el Puerto estelar
Sniper. Can use Steady Targeting, EMP Round, and be upgraded to use Cloak. Can call down Tactical Nukes built at the Ghost Academy.<n/><n/><c val="#ColorAttackInfo">Can attack ground and air units.</c>	Francotirador. Puede usar Puntería firme, Munición PEM y mejorarse para usar Camuflaje. Puede lanzar Misiles nucleares tácticos construidos en la Academia de Fantasmas.<n/><n/><c val="#ColorAttackInfo">Ataca a unidades terrestres y aéreas.</c>
Contains upgrades for Ghosts. Can build Nukes for Ghosts.<n/><n/><c val="ffff8a">Enables:</c><n/>- Ghosts at the Barracks	Contiene mejoras para los Fantasmas. Puede construir Misiles nucleares para estos.<n/><n/><c val="ffff8a">Activa:</c><n/>- Fantasmas en el Cuartel
Creates a range <d ref="Effect,GuardianShieldSearch,AreaArray[0].Radius" precision="1"/> aura that reduces incoming ranged damage to friendly units by 2. Lasts <d time="15"/>.	Crea un aura con un radio de <d ref="Effect,GuardianShieldSearch,AreaArray[0].Radius" precision="1"/> que reduce en 2 el daño a distancia recibido por las unidades aliadas. Dura <d time="15"/>.
Heals a friendly biological target.<n/><n/><c val="f078ff">Heals <d ref="Effect,MedivacHeal,RechargeVitalRate*Effect,MedivacHeal,DrainVitalCostFactor"/> life per 1 energy.</c>	Cura a un objetivo biológico aliado.<n/><n/><c val="f078ff">Cura <d ref="Effect,MedivacHeal,RechargeVitalRate*Effect,MedivacHeal,DrainVitalCostFactor"/> de vida por cada 1 de energía.</c>
Increases the Medivac's fuel reserves, allowing Ignite Afterburners to last 50% longer.	Aumenta las reservas de combustible de los Evamed y permite que los Postquemadores encendidos duren un 50% más.
Potent psionic master. Can use Feedback and be upgraded to use Psionic Storm. Can transform into an Archon.<n/><n/><c val="ffff8a">Can attack ground units.</c>	Potente maestro psiónico. Usa Retroalimentación y puede mejorarse para usar Tormenta psiónica. Se transforma en un Arconte.<n/><n/><c val="ffff8a">Ataca a unidades terrestres.</c>
Contains upgrades for Hydralisks.<n/><n/><c val="ffff8a">Enables:</c><n/>- Hydralisks from Larvae	Contiene mejoras para los Hidraliscos.<n/><n/><c val="ffff8a">Activa:</c><n/>- Hidraliscos a partir de Larvas
Absorbs up to <d ref="Behavior,ImmortalOverload,DamageResponse.ModifyLimit"/> damage. Lasts for <d ref="Behavior,ImmortalOverload,Duration"/> seconds. This effect can only occur once every <d ref="Abil,ImmortalOverload,Cost[0].Cooldown.TimeUse"/> seconds.	Absorbe hasta <d ref="Behavior,ImmortalOverload,DamageResponse.ModifyLimit"/> de daño. Dura <d ref="Behavior,ImmortalOverload,Duration"/> segundos. Este efecto se produce solo una vez cada <d ref="Abil,ImmortalOverload,Cost[0].Cooldown.TimeUse"/> segundos.
Contains upgrades for Infestors.<n/><n/><c val="ffff8a">Enables:</c><n/>- Infestors from Larvae<n/>- Swarm Hosts from Larvae	Contiene mejoras para los Infestadores.<n/><n/><c val="ffff8a">Habilita:</c><n/>- Transformación de Larvas en Infestadores<n/>- Transformación de Larvas en Huéspedes del Enjambre
Spawn an Infested Terran. Infested Terrans last <d ref="Behavior,InfestedTerranTimedLife,Duration"/> seconds.<n/><n/><c val="ffff8a">Can cast while burrowed.</c>	Engendra un Terran infestado. Los Terran infestados duran <d ref="Behavior,InfestedTerranTimedLife,Duration"/> segundos. <n/><n/><c val="ffff8a">Se puede lanzar estando enterrado.</c>
Infestation specialist. Can use the Fungal Growth, Microbial Shroud, and Neural Parasite abilities.	Especialista en infestación. Puede utilizar las habilidades Crecimiento fungoideo, Velo microbiano y Parásito neural.
Brings a target air unit to the ground for <d ref="Behavior,InfestorEnsnare,Duration"/> seconds, rendering it unable to attack, and allowing units to attack it as if it were a ground unit.	Derriba a una unidad aérea por <d ref="Behavior,InfestorEnsnare,Duration"/> segundos, le impide atacar y permite que las unidades la ataquen como si fuera una unidad terrestre.
Explodes after a short delay, dealing <d ref="Effect,KD8ChargeExplodeDamage,Amount"/> damage and knocking back nearby units.	Explota después de un período breve, inflige <d ref="Effect,KD8ChargeExplodeDamage,Amount"/> de daño y expulsa a las unidades cercanas.
Increases the range of Liberators in Defender Mode by <d ref="$UpgradeEffectArrayValue:LiberatorAGRangeUpgrade:Weapon,LiberatorAGWeapon,Range$"/>.	Aumenta el alcance de los Libertadores en modo Defensivo en <d ref="$UpgradeEffectArrayValue:LiberatorAGRangeUpgrade:Weapon,LiberatorAGWeapon,Range$"/>.ref="$UpgradeEffectArrayValue:LiberatorAGRangeUpgrade:Weapon,LiberatorAGWeapon,Range$"/>.
Locks the Cyclone's weapons on the target unit, dealing <d ref="Effect,LockOnCP,PeriodCount*Effect,CycloneWeaponDamage,Amount"/> damage over <d ref="Effect,LockOnCP,PeriodCount * Effect,LockOnCP,PeriodicPeriodArray[0]"/> seconds to ground and flying targets. Can move while firing. Cancels if target moves out of range.	Fija las armas del Ciclón a la unidad objetivo e inflige <d ref="Effect,LockOnCP,PeriodCount*Effect,CycloneWeaponDamage,Amount"/> de daño durante <d ref="Effect,LockOnCP,PeriodCount * Effect,LockOnCP,PeriodicPeriodArray[0]"/> segundos a unidades terrestres y voladoras. Puede moverse mientras dispara. La habilidad se cancela si el objetivo está fuera de alcance.
Locks the Cyclone's weapons on the target flying unit, dealing <d ref="Effect,LockOnAirCP,PeriodCount*Effect,CycloneAirWeaponDamage,Amount"/> damage over <d ref="Effect,LockOnAirCP,PeriodCount * Effect,LockOnAirCP,PeriodicPeriodArray[0]"/> seconds. Can move while firing. Cancels if target moves out of range.	Fija las armas del Ciclón sobre la unidad aérea objetivo e inflige <d ref="Effect,LockOnAirCP,PeriodCount*Effect,CycloneAirWeaponDamage,Amount"/> de daño durante <d ref="Effect,LockOnAirCP,PeriodCount * Effect,LockOnAirCP,PeriodicPeriodArray[0]"/> segundos. Puede moverse mientras dispara. Si el objetivo sale del alcance, se cancela.
