Amorphous Armorcloud	Zasłona amorficzna
Increases <c val="ffff8a">Phoenix's</c> attack range by <d ref="$UpgradeEffectArrayValue:PhoenixRangeUpgrade:Weapon,IonCannons,Range$"/>.	Zwiększa zasięg ataku <c val="ffff8a">feniksów</c> o <d ref="$UpgradeEffectArrayValue:PhoenixRangeUpgrade:Weapon,IonCannons,Range$"/>.
Contains weapon and armor upgrades for Factory and Starport units. <n/><n/><c val="ffff8a">Enables:</c><n/>- Hellbat at the Factory<n/>- Thor at the Factory	Umożliwia ulepszanie uzbrojenia i opancerzenia jednostek tworzonych w fabrykach i portach gwiezdnych. <n/><n/><c val="ffff8a">Udostępnia:</c><n/> – helbaty w fabryce,<n/> – thory w fabryce.
Infantry-production facility.<n/><n/><c val="ffff8a">Enables:</c><n/>- Marines<n/>- Reapers<n/>- Bunkers from SCVs<n/>- Orbital Commands from Command Centers	Placówka szkoleniowa piechoty.<n/><n/><c val="ffff8a">Udostępnia:</c><n/> – marines,<n/> – żniwiarzy,<n/> – bunkry (poprzez ERK),<n/> – dowództwa orbitalne z centrów dowodzenia.
Overcharges a target Shield Battery near a Nexus, increasing its shield restoration rate by 100% and allowing it to restore shields without consuming energy for <d ref="Behavior,BatteryOvercharge,Duration"/> seconds.	Przeciąża wskazany generator osłon, znajdujący się w pobliżu nexusa, zwiększając tempo przywracania osłon o 100% bez zużycia energii na <d ref="Behavior,BatteryOvercharge,Duration"/> sek.
Vehicle-research structure. A Tech Lab can fit onto any production structure.<n/><n/><c val="ffff8a">Enables:</c><n/>- Cyclones<n/>- Siege Tanks<n/>- Thor with Armory	Dobudówka umożliwiająca ulepszanie pojazdów. Laboratorium technologiczne można dołączyć do dowolnego budynku produkcyjnego.<n/><n/><c val="ffff8a">Udostępnia:</c><n/> – cyklony,<n/> – czołgi oblężnicze,<n/> – thory (ze zbrojownią).
Focuses a beam on enemy units and reduces their armor by 3.<n/>Times out after <d ref="Behavior,BypassArmorDroneTimedLife,Duration"/> seconds.	Skupia wiązkę na wrogich jednostkach i zmniejsza wartość ich pancerza o 3 pkt.<n/>Przestaje działać po <d ref="Behavior,BypassArmorDroneTimedLife,Duration"/> sek.
Drops an experimental robotic MULE miner onto the target Mineral Field. MULEs collect minerals more quickly than SCVs.  <n/><n/>MULEs last <d ref="Behavior,MULETimedLife,Duration"/> seconds before their systems fail.	Zrzuca na wskazane pole minerałów eksperymentalnego robota wydobywczego MUŁ, który zbiera minerały szybciej niż ERK.<n/><n/>MUŁ-y pracują przez <d ref="Behavior,MULETimedLife,Duration"/> sek., potem ich systemy przestają działać.
Increases the maximum number of Interceptors per Carrier from 8 to 10.	Zwiększa maksymalną liczbę przechwytywaczy w lotniskowcu z 8 do 10.
Increases the <c val="ffff8a">Interceptor's</c> leash range by <d ref="$UpgradeEffectArrayValue:CarrierLeashRangeUpgrade:Abil,CarrierHangar,Leash$"/>.	Zwiększa zasięg <c val="ffff8a">przechwytywaczy</c> o <d ref="$UpgradeEffectArrayValue:CarrierLeashRangeUpgrade:Abil,CarrierHangar,Leash$"/>.
Allows Zealots to intercept nearby enemies. Also increases the movement speed of Zealots. Ability can only be used once every <d ref="Abil,Charge,Cost.Cooldown.TimeUse"/> seconds.	Pozwala zelotom przechwytywać pobliskich wrogów. Zwiększa również szybkość ruchu zelotów. Umiejętności można użyć co <d ref="Abil,Charge,Cost.Cooldown.TimeUse"/> sek.
Places target structure in a Chrono Boost, causing it to operate <d ref="(((Behavior,ChronoBoostEnergyCost,Modification.RateMultiplierArray[Progress])-1)*100)" precision="1"/>% faster for <d ref="Behavior,ChronoBoostEnergyCost,Duration"/> seconds.	Zagina czasoprzestrzeń wokół wskazanej budowli dzięki czemu działa ona <d ref="(((Behavior,ChronoBoostEnergyCost,Modification.RateMultiplierArray[Progress])-1)*100)" precision="1"/>% szybciej przez <d ref="Behavior,ChronoBoostEnergyCost,Duration"/> sek.
A barrier that can be destroyed to allow access to new areas.	Bariera, którą można zniszczyć w celu uzyskania dostępu do nowych obszarów.
Contains weapon and armor upgrades for Protoss air units and the Warp Gate upgrade.<n/><n/><c val="ffff8a">Enables:</c><n/>- Sentries at the Gateway<n/>- Stalkers at the Gateway<n/>- Adepts at the Gateway<n/>- Shield Batteries from Probes	Umożliwia ulepszanie uzbrojenia i opancerzenia wszystkich powietrznych jednostek protosów i opracowanie technologii wrót przesyłowych.<n/><n/><c val="ffff8a">Udostępnia:</c><n/> – wartowników w bramie,<n/> – tropicieli w bramie,<n/> – adeptów w bramie,<n/> – generatory osłon przez próbniki.
Mobile assault vehicle. Can use Lock On to quickly fire while moving.<n/><n/><c val="#ColorAttackInfo">Can attack ground units.</c>	Mobilny pojazd szturmowy. Może korzystać z namierzania, aby prowadzić szybki ostrzał w ruchu.<n/><n/><c val="#ColorAttackInfo">Może atakować jednostki naziemne.</c>
Allows the Cyclone's weapon and Lock On ability to target air units.	Pozwala cyklonowi namierzać i atakować jednostki powietrzne.
Improves the Lock On ability to fire the first 12 shots quickly.	Poprawia zdolność Namierzanie, aby pierwsze 12 strzałów zostało oddanych szybko.
Allows the Cyclone's Typhoon Missile Pods and Lock On ability to target air units.	Pozwala pociskom Tajfun cyklonu namierzać i atakować jednostki powietrzne.
Increases <c val="ffff8a">Cyclone</c> Lock On damage. Deals 400 damage (+400 vs. Armored) over <d ref="Effect,LockOnCP,PeriodCount * Effect,LockOnCP,PeriodicPeriodArray[0]"/> seconds to ground and flying targets.	Zwiększa obrażenia zadawane podczas korzystania przez <c val="ffff8a">cyklon</c> podczas namierzania. Zadaje 400 pkt. obrażeń w ciągu <d ref="Effect,LockOnCP,PeriodCount * Effect,LockOnCP,PeriodicPeriodArray[0]"/> sek. celom naziemnym i latającym (+400 celom opancerzonym).
Mobile assault vehicle. Can use Lock On to quickly fire while moving.<n/><n/><c val="#ColorAttackInfo">Can attack ground and air units.</c>	Mobilny pojazd szturmowy. Może korzystać z namierzania, aby prowadzić szybki ostrzał w ruchu.<n/><n/><c val="#ColorAttackInfo">Może atakować jednostki naziemne i powietrzne.</c>
Contains an upgrade for Dark Templar.<n/><n/><c val="ffff8a">Enables:</c><n/>- Dark Templar at the Gateway<n/>- Archon Merge from Dark Templar	Umożliwia ulepszanie mrocznych templariuszy.<n/><n/><c val="ffff8a">Udostępnia:</c><n/>– mrocznych templariuszy (w bramie),<n/>– Scalenie w archonta (u mrocznych templariuszy).
Teleports the Dark Templar to a nearby target location. Ability can only be used once every <d ref="Abil,DarkTemplarBlink,Cost[0].Cooldown.TimeUse"/> seconds.	Teleportuje mrocznego templariusza do pobliskiego, wskazanego miejsca. Zdolności można użyć raz na <d ref="Abil,DarkTemplarBlink,Cost[0].Cooldown.TimeUse"/> sek.
Robotic disruption unit. Can use Purification Nova to deal heavy area damage.	Robot do działań dywersyjnych. Może korzystać z oczyszczającego rozbłysku, aby zadawać poważne obrażenia obszarowe.
Highly concentrated solar energy. Explodes after <d ref="Behavior,PurificationNovaTargettedTarget,Duration"/> seconds, dealing area damage.	Wysoce skoncentrowana energia solarna. Eksploduje po <d ref="Behavior,PurificationNovaTargettedTarget,Duration"/> sek. zadając obrażenia na obszarze.
This unit burrows faster.	Ta jednostka zagrzebuje się szybciej.
Increases the radius of <c val="ffff8a">Ghost's</c> EMP Round by +<d ref="$UpgradeEffectArrayValue:EnhancedShockwaves:Effect,EMPSearch,AreaArray[0].Radius$" precision="1"/>.	Zwiększa promień pocisku EMP <c val="ffff8a">ducha</c> o <d ref="$UpgradeEffectArrayValue:EnhancedShockwaves:Effect,EMPSearch,AreaArray[0].Radius$" precision="1"/>.
Allows <c val="ffff8a">Infestors</c> to use the Microbial Shroud ability.	Udostępnia <c val="ffff8a">infektorom</c> zdolność kłębowiska mikrobów.
Increases the movement speed of <c val="ffff8a">Ultralisks</c> off creep.	Zwiększa szybkość ruchu <c val="ffff8a">ultralisków</c> poza biomasą.
<c val="ffff8a">Banelings</c> gain increased movement speed and +5 life.	<c val="ffff8a">Tępiciele</c> zyskują większą szybkość ruchu oraz +5 pkt. życia.
Gives +<d ref="$UpgradeEffectArrayValue:ChitinousPlating:Unit,Ultralisk,LifeArmor$"/> armor to <c val="ffff8a">Ultralisks</c>.	<c val="ffff8a">Ultraliski</c> otrzymują +<d ref="$UpgradeEffectArrayValue:ChitinousPlating:Unit,Ultralisk,LifeArmor$"/> do pancerza.
Reduces the time <c val="ffff8a">Lurkers</c> take to burrow from <d time="2.5" precision="1"/> to <d time="1" precision="1"/> and increases their movement speed.	Skraca czas zagrzebywania się <c val="ffff8a">czyhaczy</c> z <d time="2.5" precision="1"/> do <d time="1" precision="1"/> i zwiększa ich szybkość ruchu.
Increases <c val="ffff8a">Hydralisk</c> attack range by +<d ref="$UpgradeEffectArrayValue:EvolveGroovedSpines:Weapon,NeedleSpines,Range$"/>.	Zwiększa zasięg ataku <c val="ffff8a">hydralisków</c> o <d ref="$UpgradeEffectArrayValue:EvolveGroovedSpines:Weapon,NeedleSpines,Range$"/>.
Increases the movement speed of <c val="ffff8a">Hydralisks</c>.	Zwiększa szybkość ruchu <c val="ffff8a">hydralisków</c>.
Increase the <c val="ffff8a">Nydus Network</c> and <c val="ffff8a">Nydus Worm's</c> load and unload speeds.	Zwiększa szybkość załadunku i wyładunku <c val="ffff8a">sieci nydusowej</c> i <c val="ffff8a">czerwi nydusowych</c>.
Enables <c val="ffff8a">Roaches</c> to move while burrowed.	Pozwala zagrzebanym <c val="ffff8a">karakanom</c> poruszać się.
Increases the damage of Raven Auto-Turrets and Seeker Missiles by 30%.	Zwiększa o 30% obrażenia zadawane przez wieżyczki automatyczne i pociski Łowca kruków.
Vehicle-production facility. <n/><n/><c val="ffff8a">Enables:</c><n/>- Hellions<n/>- Widow Mines<n/>- Cyclones	Zakład produkujący pojazdy.<n/><n/><c val="ffff8a">Udostępnia:</c><n/> – heliony,<n/> – wdowie miny,<n/>– cyklony.
Drains all energy from the target. Deals <d ref="(Effect,Feedback,VitalFractionCurrent[Energy])" Precision="2"/> damage per point of energy.	Pozbawia cel całej energii. Zadaje <d ref="(Effect,Feedback,VitalFractionCurrent[Energy])" Precision="2"/> pkt. obrażeń za każdy odebrany punkt energii.
Contains upgrades for Phoenixes and Void Rays.<n/><n/><c val="ffff8a">Enables:</c><n/>- Tempests at the Stargate</n>- Carriers at the Stargate<n/>- Mothership from the Nexus	Umożliwia ulepszanie feniksów i promieni otchłani.<n/><n/><c val="ffff8a">Udostępnia:</c><n/> – orkany w gwiezdnych wrotach,</n> – promienie otchłani w gwiezdnych wrotach,<n/> – statek-matkę w nexusie.
Immune to snare, stun, mind control, and movement altering effects.	Jednostka odporna na usidlenie, ogłuszenie, kontrolę umysłu i ograniczenie ruchu.
Target units take <d ref="(Behavior,FungalGrowth,Duration / Behavior,FungalGrowth,Period) * Effect,FungalGrowthDamage,Amount"/> damage over <d time="4"/> and have movement speed reduced by <d ref="(1-Behavior,FungalGrowthSlowMovement,Modification.MoveSpeedMultiplier)*100"/>%. Reveals cloaked and burrowed units. Affected units cannot Blink or load into transports or buildings.	Wskazane jednostki otrzymują <d ref="(Behavior,FungalGrowth,Duration / Behavior,FungalGrowth,Period) * Effect,FungalGrowthDamage,Amount"/> pkt. obrażeń w ciągu <d time="4"/>, a ich szybkość ruchu spada o <d ref="(1-Behavior,FungalGrowthSlowMovement,Modification.MoveSpeedMultiplier)*100"/>%. Ujawnia zamaskowane i zagrzebane jednostki. Trafione jednostki nie mogą używać Mignięcia ani wchodzić do transportowców i budowli.
Contains Medivac, Liberator, and Battlecruiser upgrades. <n/><n/><c val="ffff8a">Enables:</c><n/>- Battlecruisers at the Starport	Umożliwia ulepszanie promów medycznych, liberatorów i krążowników. <n/><n/><c val="ffff8a">Udostępnia:</c><n/>– krążowniki w porcie gwiezdnym.
Sniper. Can use Steady Targeting, EMP Round, and be upgraded to use Cloak. Can call down Tactical Nukes built at the Ghost Academy.<n/><n/><c val="#ColorAttackInfo">Can attack ground and air units.</c>	Snajper. Może korzystać ze zdolności wycelowania, pocisków EMP i maskowania (po ulepszeniu). Naprowadza bomby jądrowe tworzone w akademii duchów.<n/><n/><c val="#ColorAttackInfo">Może atakować jednostki naziemne i powietrzne.</c>
Contains upgrades for Ghosts. Can build Nukes for Ghosts.<n/><n/><c val="ffff8a">Enables:</c><n/>- Ghosts at the Barracks	Pozwala konstruować bomby jądrowe wykorzystywane przez duchy. Umożliwia ulepszanie duchów.<n/><n/><c val="ffff8a">Udostępnia:</c><n/> - duchy w koszarach.
Creates a range <d ref="Effect,GuardianShieldSearch,AreaArray[0].Radius" precision="1"/> aura that reduces incoming ranged damage to friendly units by 2. Lasts <d time="15"/>.	Tworzy aurę o zasięgu <d ref="Effect,GuardianShieldSearch,AreaArray[0].Radius" precision="1"/>, która redukuje o 2 pkt. obrażenia zadawane z dystansu jednostkom sojuszniczym. Działa <d time="15"/>
Heals a friendly biological target.<n/><n/><c val="f078ff">Heals <d ref="Effect,MedivacHeal,RechargeVitalRate*Effect,MedivacHeal,DrainVitalCostFactor"/> life per 1 energy.</c>	Leczy sojuszniczy cel biologiczny.<n/><n/><c val="f078ff">Przywraca <d ref="Effect,MedivacHeal,RechargeVitalRate*Effect,MedivacHeal,DrainVitalCostFactor"/> pkt. życia na 1 pkt. energii.</c>
Increases the Medivac's fuel reserves, allowing Ignite Afterburners to last 50% longer.	Zwiększa rezerwy paliwa promu medycznego i pozwala dopalaczom działać 50% dłużej.
Potent psionic master. Can use Feedback and be upgraded to use Psionic Storm. Can transform into an Archon.<n/><n/><c val="ffff8a">Can attack ground units.</c>	Potężna jednostka psioniczna. Wykorzystuje sprzężenie zwrotne. Można ją ulepszyć, aby rozpętywała burzę psioniczną. Potrafi zmienić się w archonta.<n/><n/><c val="ffff8a">Może atakować jednostki naziemne.</c>
Contains upgrades for Hydralisks.<n/><n/><c val="ffff8a">Enables:</c><n/>- Hydralisks from Larvae	Umożliwia ulepszanie hydralisków.<n/><n/><c val="ffff8a">Udostępnia:</c><n/> - hydraliski z larw.
Absorbs up to <d ref="Behavior,ImmortalOverload,DamageResponse.ModifyLimit"/> damage. Lasts for <d ref="Behavior,ImmortalOverload,Duration"/> seconds. This effect can only occur once every <d ref="Abil,ImmortalOverload,Cost[0].Cooldown.TimeUse"/> seconds.	Absorbuje maksymalnie <d ref="Behavior,ImmortalOverload,DamageResponse.ModifyLimit"/> pkt. obrażeń. Działa przez <d ref="Behavior,ImmortalOverload,Duration"/> sek. Ten efekt może nastąpić tylko raz na <d ref="Abil,ImmortalOverload,Cost[0].Cooldown.TimeUse"/> sek.
Contains upgrades for Infestors.<n/><n/><c val="ffff8a">Enables:</c><n/>- Infestors from Larvae<n/>- Swarm Hosts from Larvae	Umożliwia ulepszanie infektorów.<n/><n/><c val="ffff8a">Udostępnia:</c><n/>– infektory z larw,<n/>– nosicieli roju z larw.
Spawn an Infested Terran. Infested Terrans last <d ref="Behavior,InfestedTerranTimedLife,Duration"/> seconds.<n/><n/><c val="ffff8a">Can cast while burrowed.</c>	Powija zainfekowanego terranina. Jednostka ta żyje <d ref="Behavior,InfestedTerranTimedLife,Duration"/> sek.<n/><n/><c val="ffff8a">Ze zdolności można korzystać podczas zagrzebania.</c>
Infestation specialist. Can use the Fungal Growth, Microbial Shroud, and Neural Parasite abilities.	Jednostka wyspecjalizowana w infekowaniu. Może wykorzystywać przyrost grzybni, kłębowisko mikrobów i pasożyta neuronalnego.
Brings a target air unit to the ground for <d ref="Behavior,InfestorEnsnare,Duration"/> seconds, rendering it unable to attack, and allowing units to attack it as if it were a ground unit.	Ściąga wskazaną jednostkę powietrzną wroga na ziemię na <d ref="Behavior,InfestorEnsnare,Duration"/> sek., wyłącza jej uzbrojenie i pozwala ją atakować tak, jakby była jednostką naziemną.
Explodes after a short delay, dealing <d ref="Effect,KD8ChargeExplodeDamage,Amount"/> damage and knocking back nearby units.	Materiały wybuchowe z zapalnikiem czasowym, które zadają <d ref="Effect,KD8ChargeExplodeDamage,Amount"/> pkt. obrażeń i odrzucają pobliskie jednostki.
Increases the range of Liberators in Defender Mode by <d ref="$UpgradeEffectArrayValue:LiberatorAGRangeUpgrade:Weapon,LiberatorAGWeapon,Range$"/>.	Zwiększa zasięg liberatora w trybie obrońcy o <d ref="$UpgradeEffectArrayValue:LiberatorAGRangeUpgrade:Weapon,LiberatorAGWeapon,Range$"/>.ref="$UpgradeEffectArrayValue:LiberatorAGRangeUpgrade:Weapon,LiberatorAGWeapon,Range$"/>.
Locks the Cyclone's weapons on the target unit, dealing <d ref="Effect,LockOnCP,PeriodCount*Effect,CycloneWeaponDamage,Amount"/> damage over <d ref="Effect,LockOnCP,PeriodCount * Effect,LockOnCP,PeriodicPeriodArray[0]"/> seconds to ground and flying targets. Can move while firing. Cancels if target moves out of range.	Powoduje, że cyklon namierza wskazaną jednostkę i zadaje <d ref="Effect,LockOnCP,PeriodCount*Effect,CycloneWeaponDamage,Amount"/> pkt. obrażeń przez <d ref="Effect,LockOnCP,PeriodCount * Effect,LockOnCP,PeriodicPeriodArray[0]"/> sek. celom naziemnym i latającym. Pozwala poruszać się i atakować jednocześnie. Zdolność zostaje anulowana, gdy cel znajdzie się poza zasięgiem.
Locks the Cyclone's weapons on the target flying unit, dealing <d ref="Effect,LockOnAirCP,PeriodCount*Effect,CycloneAirWeaponDamage,Amount"/> damage over <d ref="Effect,LockOnAirCP,PeriodCount * Effect,LockOnAirCP,PeriodicPeriodArray[0]"/> seconds. Can move while firing. Cancels if target moves out of range.	Wymierza z broni cyklonu do wskazanego celu i zadaje <d ref="Effect,LockOnAirCP,PeriodCount*Effect,CycloneAirWeaponDamage,Amount"/> pkt. obrażeń przez <d ref="Effect,LockOnAirCP,PeriodCount * Effect,LockOnAirCP,PeriodicPeriodArray[0]"/> sek. Pozwala poruszać się i atakować jednocześnie. Zdolność zostaje anulowana, gdy cel znajdzie się poza zasięgiem.
