Amorphous Armorcloud	Blindagem Nebulosa Amorfa
This unit is invulnerable and is able to move through other units.	Essa unidade está invulnerável e consegue atravessar outras unidades.
This Pylon has a powerful long-ranged attack.	Este Pilar Energético tem um poderoso ataque de longa distância.
Weapons and abilities are disabled.	Armas e habilidades estão desativadas.
This unit is being targeted by an Anti-Armor Missile.	Esta unidade está na mira de um Míssil Antiblindagem.
Adept's attack speed increased by <d ref="(Behavior,ResonatingGlaivesPhaseShift,Modification.AttackSpeedMultiplier-1)*100"/>%.	Velocidade de ataque da Adepta aumentada em <d ref="(Behavior,ResonatingGlaivesPhaseShift,Modification.AttackSpeedMultiplier-1)*100"/>%.
This unit is stunned.	Esta unidade está atordoada.
This unit's attack and movement speeds are reduced by 50%.	As velocidades de ataque e movimento desta unidade são reduzidas em 50%.
This unit is regenerating health.	Esta unidade está regenerando vida.
Stasis Trap	Armadilha de Estase
Research Resonating Glaives	Pesquisar Glaives Ressonantes
Shield Amplification	Amplificação de Escudo
Carrier Capacity	Capacidade da Transportadora
Advanced Communications Array	Matriz de Comunicação Avançada
Surface-to-Air Targeting	Mira Terra-Ar
Rapid Fire Launchers	Lançadores de Fogo Rápido
Research Mag-Field Accelerator	Pesquisar Acelerador de Campo Magnético
Shadow Stride	Passada Sombria
Drilling Claws	Garras Perfuradoras
Enhanced Shockwaves	Ondas de Choque Aprimoradas
Evolve Microbial Shroud	Evoluir Mortalha Microbiana
Evolve Adaptive Talons	Evoluir Garras Adaptáveis
Evolve Grooved Spines	Evoluir Ferrões
Evolve Muscular Augments	Evoluir Desenvolvimento Muscular
Evolve Propulsive Peristalsis	Evoluir Movimentos Peristálticos Propulsivos
Increased Attack Range	Alcance de Ataque Aumentado
Increased Movement Speed	Velocidade de Movimento Aumentada
Select Larvae	Selecionar Larva
Mag-Field Launchers	Lançadores de Campo Magnético
Observer Mode	Modo Vigia
Surveillance Mode	Modo de Observação
Mutate Ventral Sacs	Transmutar Bolsas Ventrais
Cancel Oversight	Cancelar Vigilância
Oversight	Vigilância
Strategic Recall	Chamado Estratégico
Subterranean Scales	Escamas Subterrâneas
Psionic Surge	Surto Psiônico
Purification Nova	Nova de Purificação
Rapid Reignition System	Sistema de Reignição Rápida
Morph to Ravager	Transmutar para Devastador
Enhanced Munitions	Munições Aprimoradas
Recalibrated Explosives	Explosivos Recalibrados
Build Repair Drone	Construir Drone de Conserto
Research Enhanced Munitions	Pesquisar Munições Aprimoradas
Anti-Armor Missile	Míssil Antiblindagem
Research Shield Amplification	Pesquisar Amplificação de Escudo
Research Amplified Shielding	Pesquisar Escudo Amplificado
Research Armor Piercing Rockets	Pesquisar Foguetes Antiblindagem
Research Carrier Capacity	Pesquisar Capacidade da Transportadora
Research Advanced Communications Array	Pesquisar Matriz de Comunicação Avançada
Research Rapid Fire Launchers	Pesquisar Lançadores de Fogo Rápido
Research Shadow Stride	Pesquisar Passada Sombria
Research Enhanced Shockwaves	Pesquisar Ondas de Choque Aprimoradas
Research Mag-Field Launchers	Pesquisar Lançadores de Campo Magnético
Research Psionic Amplifiers	Pesquisar Amplificadores Psiônicos
Research Psionic Surge	Pesquisar Surto Psiônico
Research Rapid Reignition System	Pesquisar Sistema de Reignição Rápida
Research Recalibrated Explosives	Pesquisar Explosivos Recalibrados
Research Smart Servos	Pesquisar Servomecanismos Inteligentes
Warp In Shield Battery	Transdobrar Bateria de Escudo
Restore	Restaurar
Recharge	Recarregar
Tectonic Destabilizers	Desestabilizadores Tectônicos
Research Tectonic Destabilizers	Pesquisar Desestabilizadores Tectônicos
Upgrade Neosteel Armor	Aprimorar Armadura de Novoaço
Concealment	Encobrimento
Traps nearby enemies in stasis for <d ref="Behavior,OracleStasisTrapTarget,Duration"/> seconds. Trapped units cannot be attacked or affected by abilities.	Prende inimigos próximos em estase por <d ref="Behavior,OracleStasisTrapTarget,Duration"/> segundos. Unidades presas não podem ser atacadas nem afetadas por habilidades.
Increases the attack speed of Adepts by 45%.	Aumenta a velocidade de ataque das Adeptas em 45%.
Increases the attack speed of <c val="ffff8a">Adepts</c> by 45%.	Aumenta a velocidade de ataque das <c val="ffff8a">Adeptas</c> em 45%.
Creates a shroud that obscures ground units underneath, reducing damage taken from air units by <d ref="Behavior,AmorphousArmorcloud,DamageResponse.ModifyFraction*100" precision="1"/>%. Lasts <d ref="Effect,AmorphousArmorcloudCP,PeriodCount*Effect,AmorphousArmorcloudCP,PeriodicPeriodArray[0]"/> seconds.	Cria uma mortalha que encobre as unidades terrestres sob ela, reduzindo o dano recebido de unidades aéreas em <d ref="Behavior,AmorphousArmorcloud,DamageResponse.ModifyFraction*100" precision="1"/>%. Dura <d ref="Effect,AmorphousArmorcloudCP,PeriodCount*Effect,AmorphousArmorcloudCP,PeriodicPeriodArray[0]"/> s.
Increases <c val="ffff8a">Phoenix's</c> attack range by <d ref="$UpgradeEffectArrayValue:PhoenixRangeUpgrade:Weapon,IonCannons,Range$"/>.	Aumenta em <d ref="$UpgradeEffectArrayValue:PhoenixRangeUpgrade:Weapon,IonCannons,Range$"/> o alcance de ataque da <c val="ffff8a">Fênix</c>.
Contains weapon and armor upgrades for Factory and Starport units. <n/><n/><c val="ffff8a">Enables:</c><n/>- Hellbat at the Factory<n/>- Thor at the Factory	Contém aprimoramentos de armas e blindagem para unidades da Fábrica e do Estaleiro Sideral. <n/><n/><c val="ffff8a">Ativa:</c><n/>- Morcego Infernal na Fábrica<n/>- Thor na Fábrica
Infantry-production facility.<n/><n/><c val="ffff8a">Enables:</c><n/>- Marines<n/>- Reapers<n/>- Bunkers from SCVs<n/>- Orbital Commands from Command Centers	Instalação de produção de infantaria. <n/><n/><c val="ffff8a">Ativa:</c><n/>- Soldados<n/>- Exterminadores<n/>- Casamatas a partir de VCEs<n/>- Comandos Orbitais a partir de Centrais de Comando
Overcharges a target Shield Battery near a Nexus, increasing its shield restoration rate by 100% and allowing it to restore shields without consuming energy for <d ref="Behavior,BatteryOvercharge,Duration"/> seconds.	Sobrecarrega uma Bateria de Escudo próxima a um Nexus, aumentando sua taxa de restauração de escudo em 100% e permitindo restaurar escudos sem consumir energia por <d ref="Behavior,BatteryOvercharge,Duration"/> s.
Focuses a beam on enemy units and reduces their armor by 3.<n/>Times out after <d ref="Behavior,BypassArmorDroneTimedLife,Duration"/> seconds.	Concentra um feixe nas unidades inimigas e reduz a armadura em 3.<n/>Expira depois de <d ref="Behavior,BypassArmorDroneTimedLife,Duration"/> segundos.
Drops an experimental robotic MULE miner onto the target Mineral Field. MULEs collect minerals more quickly than SCVs.  <n/><n/>MULEs last <d ref="Behavior,MULETimedLife,Duration"/> seconds before their systems fail.	Solta um mineiro robótico experimental MULE na jazida de minérios alvejada. MULEs extraem minérios mais rápido do que VCEs.  <n/><n/>MULEs duram <d ref="Behavior,MULETimedLife,Duration"/> s até os sistemas falharem.
Increases the maximum number of Interceptors per Carrier from 8 to 10.	Aumenta de 8 para 10 o máximo de Interceptores por Transportadora.
Increases the <c val="ffff8a">Interceptor's</c> leash range by <d ref="$UpgradeEffectArrayValue:CarrierLeashRangeUpgrade:Abil,CarrierHangar,Leash$"/>.	Aumenta em <d ref="$UpgradeEffectArrayValue:CarrierLeashRangeUpgrade:Abil,CarrierHangar,Leash$"/> o alcance da rédea do <c val="ffff8a">Interceptor</c>.
Allows Zealots to intercept nearby enemies. Also increases the movement speed of Zealots. Ability can only be used once every <d ref="Abil,Charge,Cost.Cooldown.TimeUse"/> seconds.	Permite que Fanáticus interceptem inimigos próximos. Também aumenta a velocidade de movimento dos Fanáticus. A habilidade só pode ser usada a cada <d ref="Abil,Charge,Cost.Cooldown.TimeUse"/> segundos.
Places target structure in a Chrono Boost, causing it to operate <d ref="(((Behavior,ChronoBoostEnergyCost,Modification.RateMultiplierArray[Progress])-1)*100)" precision="1"/>% faster for <d ref="Behavior,ChronoBoostEnergyCost,Duration"/> seconds.	Coloca a estrutura alvejada em um Reforço Temporal, fazendo com que ela opere <d ref="(((Behavior,ChronoBoostEnergyCost,Modification.RateMultiplierArray[Progress])-1)*100)" precision="1"/>% mais rápido por <d ref="Behavior,ChronoBoostEnergyCost,Duration"/> s.
A barrier that can be destroyed to allow access to new areas.	Uma barreira que quando destruída dá acesso a novas áreas.
A tower that can be destroyed to prevent access to new areas or resource locations.	Uma torre que pode ser destruída para impedir o acesso a novas áreas e recursos.
Contains weapon and armor upgrades for Protoss air units and the Warp Gate upgrade.<n/><n/><c val="ffff8a">Enables:</c><n/>- Sentries at the Gateway<n/>- Stalkers at the Gateway<n/>- Adepts at the Gateway<n/>- Shield Batteries from Probes	Contém aprimoramentos de armas e blindagem para unidades aéreas protoss.<n/><n/><c val="ffff8a">Habilita:</c><n/>- Sentinelas no Portal<n/>- Tormentos no Portal<n/>- Adeptos no Portal<n/>- Baterias de Escudo nas Sondas
Mobile assault vehicle. Can use Lock On to quickly fire while moving.<n/><n/><c val="#ColorAttackInfo">Can attack ground units.</c>	Veículo de ataque móvel. Usa Trava para disparar rapidamente em movimento.<n/><n/><c val="#ColorAttackInfo">Ataca unidades terrestres.</c>
Allows the Cyclone's weapon and Lock On ability to target air units.	Permite que a arma do Ciclone e a habilidade Travar alvejem unidades aéreas.
Improves the Lock On ability to fire the first 12 shots quickly.	Aprimora a habilidade Travar para disparar os 12 primeiros tiros mais rápido.
Allows the Cyclone's Typhoon Missile Pods and Lock On ability to target air units.	Permite que os Lança-mísseis Tufão do Ciclone e a habilidade Travar alvejem unidades aéreas.
Increases <c val="ffff8a">Cyclone</c> Lock On damage. Deals 400 damage (+400 vs. Armored) over <d ref="Effect,LockOnCP,PeriodCount * Effect,LockOnCP,PeriodicPeriodArray[0]"/> seconds to ground and flying targets.	Aumenta o dano de Travar do <c val="ffff8a">Ciclone</c>. Causa 400 de dano (+400 contra Blindados) ao longo de <d ref="Effect,LockOnCP,PeriodCount * Effect,LockOnCP,PeriodicPeriodArray[0]"/> s aos alvos terrestres e voadores.
Mobile assault vehicle. Can use Lock On to quickly fire while moving.<n/><n/><c val="#ColorAttackInfo">Can attack ground and air units.</c>	Veículo de ataque móvel. Usa Trava para disparar rapidamente em movimento.<n/><n/><c val="#ColorAttackInfo">Ataca unidades aéreas e terrestres.</c>
Contains an upgrade for Dark Templar.<n/><n/><c val="ffff8a">Enables:</c><n/>- Dark Templar at the Gateway<n/>- Archon Merge from Dark Templar	Contém aprimoramentos para o Templário das Trevas.<n/><n/><c val="ffff8a">Habilita:</c><n/>- Templário das Trevas no Portal<n/>- Fusão em Arconte a partir de Templário das Trevas
Teleports the Dark Templar to a nearby target location. Ability can only be used once every <d ref="Abil,DarkTemplarBlink,Cost[0].Cooldown.TimeUse"/> seconds.	Teleporta o Templário das Trevas até um local selecionado próximo. A habilidade só pode ser usada uma vez a cada <d ref="Abil,DarkTemplarBlink,Cost[0].Cooldown.TimeUse"/> segundos.
Robotic disruption unit. Can use Purification Nova to deal heavy area damage.	Unidade robótica de disrupção. Usa Nova de Purificação, que causa dano de área pesado.
Highly concentrated solar energy. Explodes after <d ref="Behavior,PurificationNovaTargettedTarget,Duration"/> seconds, dealing area damage.	Energia solar altamente concentrada. Explode depois de <d ref="Behavior,PurificationNovaTargettedTarget,Duration"/> segundos, causando dano de área.
This unit burrows faster.	Esta unidade se entoca mais rápido.
Increases the radius of <c val="ffff8a">Ghost's</c> EMP Round by +<d ref="$UpgradeEffectArrayValue:EnhancedShockwaves:Effect,EMPSearch,AreaArray[0].Radius$" precision="1"/>.	Aumenta o raio da Munição PEM do <c val="ffff8a">Fantasma</c> em +<d ref="$UpgradeEffectArrayValue:EnhancedShockwaves:Effect,EMPSearch,AreaArray[0].Radius$" precision="1"/>.
Allows <c val="ffff8a">Infestors</c> to use the Microbial Shroud ability.	Permite que <c val="ffff8a">Infestadores</c> usem a habilidade Mortalha Microbiana.
Increases the movement speed of <c val="ffff8a">Ultralisks</c> off creep.	Aumenta a velocidade de movimento do <c val="ffff8a">Mammuthus</c> fora da gosma.
<c val="ffff8a">Banelings</c> gain increased movement speed and +5 life.	<c val="ffff8a">Tatus-bomba</c> ganham aumento de velocidade de movimento e +5 de vida.
Gives +<d ref="$UpgradeEffectArrayValue:ChitinousPlating:Unit,Ultralisk,LifeArmor$"/> armor to <c val="ffff8a">Ultralisks</c>.	Dá +<d ref="$UpgradeEffectArrayValue:ChitinousPlating:Unit,Ultralisk,LifeArmor$"/> de blindagem ao <c val="ffff8a">Mammuthus</c>.
Reduces the time <c val="ffff8a">Lurkers</c> take to burrow from <d time="2.5" precision="1"/> to <d time="1" precision="1"/> and increases their movement speed.	Reduz o tempo que os <c val="ffff8a">Furtivos</c> levam para se entocar de <d time="2.5" precision="1"/> para <d time="1" precision="1"/> e aumenta sua velocidade de movimento.
Increases <c val="ffff8a">Hydralisk</c> attack range by +<d ref="$UpgradeEffectArrayValue:EvolveGroovedSpines:Weapon,NeedleSpines,Range$"/>.	Aumenta o alcance de ataque da <c val="ffff8a">Hidralisca</c> em +<d ref="$UpgradeEffectArrayValue:EvolveGroovedSpines:Weapon,NeedleSpines,Range$"/>.
Increases the movement speed of <c val="ffff8a">Hydralisks</c>.	Aumenta a velocidade de movimento das <c val="ffff8a">Hidraliscas</c>.
Increase the <c val="ffff8a">Nydus Network</c> and <c val="ffff8a">Nydus Worm's</c> load and unload speeds.	Aumenta as velocidades de carregamento e descarregamento da <c val="ffff8a">Rede Nydus</c> e do <c val="ffff8a">Verme Nydus</c>.
Enables <c val="ffff8a">Roaches</c> to move while burrowed.	Possibilita que as <c val="ffff8a">Baratas</c> se movam enquanto estiverem entocadas.
Increases the damage of Raven Auto-Turrets and Seeker Missiles by 30%.	Aumenta o dano da Torre de Artilharia Automatizada e dos Mísseis Teleguiados do Corvo em 30%.
Vehicle-production facility. <n/><n/><c val="ffff8a">Enables:</c><n/>- Hellions<n/>- Widow Mines<n/>- Cyclones	Instalação de produção veicular. <n/><n/><c val="ffff8a">Ativa:</c><n/>- Endiabrados<n/>- Minas Viúvas<n/>- Ciclones
Drains all energy from the target. Deals <d ref="(Effect,Feedback,VitalFractionCurrent[Energy])" Precision="2"/> damage per point of energy.	Drena toda a energia do alvo. Causa <d ref="(Effect,Feedback,VitalFractionCurrent[Energy])" Precision="2"/> de dano por ponto de energia.
Contains upgrades for Phoenixes and Void Rays.<n/><n/><c val="ffff8a">Enables:</c><n/>- Tempests at the Stargate</n>- Carriers at the Stargate<n/>- Mothership from the Nexus	Contém aprimoramentos para Fênix e Destruidoras.<n/><n/><c val="ffff8a">Habilita:</c><n/>- Tempestos no Portal Intergaláctico</n>- Transportadoras no Portal Intergaláctico<n/>- Nave-mãe no Nexus
Immune to snare, stun, mind control, and movement altering effects.	Imune a efeitos de armadilha, paralisação, controle mental e a habilidades que alteram movimento.
Target units take <d ref="(Behavior,FungalGrowth,Duration / Behavior,FungalGrowth,Period) * Effect,FungalGrowthDamage,Amount"/> damage over <d time="4"/> and have movement speed reduced by <d ref="(1-Behavior,FungalGrowthSlowMovement,Modification.MoveSpeedMultiplier)*100"/>%. Reveals cloaked and burrowed units. Affected units cannot Blink or load into transports or buildings.	As unidades alvejadas recebem <d ref="(Behavior,FungalGrowth,Duration / Behavior,FungalGrowth,Period) * Effect,FungalGrowthDamage,Amount"/> de dano ao longo de <d time="4"/> e têm a velocidade de movimento reduzida em <d ref="(1-Behavior,FungalGrowthSlowMovement,Modification.MoveSpeedMultiplier)*100"/>%. Revela unidades camufladas e entocadas. Unidades afetadas não podem usar Translação ou se abrigar em estruturas nem embarcar em transportes.
Contains Medivac, Liberator, and Battlecruiser upgrades. <n/><n/><c val="ffff8a">Enables:</c><n/>- Battlecruisers at the Starport	Contém aprimoramentos para Ambunave, Libertador e Cruzador de Batalha. <n/><n/><c val="ffff8a">Ativa:</c><n/>- Cruzadores de Batalha no Estaleiro Sideral
Sniper. Can use Steady Targeting, EMP Round, and be upgraded to use Cloak. Can call down Tactical Nukes built at the Ghost Academy.<n/><n/><c val="#ColorAttackInfo">Can attack ground and air units.</c>	Atirador de elite. Usa Mira Estável, Munição PEM e pode ser aprimorado para usar Camuflagem. Convoca Armas Nucleares Táticas construídas na Academia Fantasma.<n/><n/><c val="#ColorAttackInfo">Ataca unidades terrestres e aéreas.</c>
Contains upgrades for Ghosts. Can build Nukes for Ghosts.<n/><n/><c val="ffff8a">Enables:</c><n/>- Ghosts at the Barracks	Contém um aprimoramento para Fantasmas. Constrói Armas nucleares para Fantasmas.<n/><n/><c val="ffff8a">Ativa:</c><n/>- Fantasmas no Quartel
Creates a range <d ref="Effect,GuardianShieldSearch,AreaArray[0].Radius" precision="1"/> aura that reduces incoming ranged damage to friendly units by 2. Lasts <d time="15"/>.	Cria uma aura de alcance <d ref="Effect,GuardianShieldSearch,AreaArray[0].Radius" precision="1"/> que reduz em 2 o dano de ataques a distância recebidos por unidades aliadas. Dura <d time="15"/>.
Heals a friendly biological target.<n/><n/><c val="f078ff">Heals <d ref="Effect,MedivacHeal,RechargeVitalRate*Effect,MedivacHeal,DrainVitalCostFactor"/> life per 1 energy.</c>	Cura um alvo biológico aliado.<c val="f078ff"> Cura <d ref="Effect,MedivacHeal,RechargeVitalRate*Effect,MedivacHeal,DrainVitalCostFactor"/> de vida por ponto de energia.</c>
Increases the Medivac's fuel reserves, allowing Ignite Afterburners to last 50% longer.	Aumenta as reservas de combustível da Ambunave, permitindo que Ignição Pós-combustão dure 50% mais.
Potent psionic master. Can use Feedback and be upgraded to use Psionic Storm. Can transform into an Archon.<n/><n/><c val="ffff8a">Can attack ground units.</c>	Mestre psiônico potente. Pode utilizar Feedback e ser aprimorado para utilizar Tempestade Psiônica. Pode se transformar em um Arconte.<n/><n/><c val="ffff8a">Ataca unidades terrestres.</c>
Contains upgrades for Hydralisks.<n/><n/><c val="ffff8a">Enables:</c><n/>- Hydralisks from Larvae	Contém aprimoramentos para Hidraliscas.<n/><n/><c val="ffff8a">Ativa:</c><n/>- Hidraliscas a partir de Larvas
Absorbs up to <d ref="Behavior,ImmortalOverload,DamageResponse.ModifyLimit"/> damage. Lasts for <d ref="Behavior,ImmortalOverload,Duration"/> seconds. This effect can only occur once every <d ref="Abil,ImmortalOverload,Cost[0].Cooldown.TimeUse"/> seconds.	Absorve até <d ref="Behavior,ImmortalOverload,DamageResponse.ModifyLimit"/> de dano. Dura <d ref="Behavior,ImmortalOverload,Duration"/> segundos. Este efeito só pode ocorrer uma vez a cada <d ref="Abil,ImmortalOverload,Cost[0].Cooldown.TimeUse"/> segundos.
Contains upgrades for Infestors.<n/><n/><c val="ffff8a">Enables:</c><n/>- Infestors from Larvae<n/>- Swarm Hosts from Larvae	Contém aprimoramentos para Infestadores.<n/><n/><c val="ffff8a">Ativa:</c><n/>- Infestadores a partir de Larvas<n/>- Hospedeiros do Enxame a partir de Larvas
Spawn an Infested Terran. Infested Terrans last <d ref="Behavior,InfestedTerranTimedLife,Duration"/> seconds.<n/><n/><c val="ffff8a">Can cast while burrowed.</c>	Gera um Terrano Infestado. Terranos Infestados duram <d ref="Behavior,InfestedTerranTimedLife,Duration"/> s. Sobre a gosma, Ovos de Terrano Infestado chocam <n/><n/><c val="ffff8a">Pode ser lançada enquanto está entocado.</c>
Infestation specialist. Can use the Fungal Growth, Microbial Shroud, and Neural Parasite abilities.	Especialista em infestação. Pode usar as habilidades Crescimento Fúngico, Mortalha Microbiana e Parasita Neural.
Brings a target air unit to the ground for <d ref="Behavior,InfestorEnsnare,Duration"/> seconds, rendering it unable to attack, and allowing units to attack it as if it were a ground unit.	Traz uma unidade aérea ao solo por <d ref="Behavior,InfestorEnsnare,Duration"/> segundos, impedindo que ela ataque e permitindo que unidades a ataquem como se fosse uma unidade terrestre.
Explodes after a short delay, dealing <d ref="Effect,KD8ChargeExplodeDamage,Amount"/> damage and knocking back nearby units.	Explode após algum tempo, causando <d ref="Effect,KD8ChargeExplodeDamage,Amount"/> de dano e repelindo unidades próximas.
Increases the range of Liberators in Defender Mode by <d ref="$UpgradeEffectArrayValue:LiberatorAGRangeUpgrade:Weapon,LiberatorAGWeapon,Range$"/>.	Aumenta em <d ref="$UpgradeEffectArrayValue:LiberatorAGRangeUpgrade:Weapon,LiberatorAGWeapon,Range$"/>.ref="$UpgradeEffectArrayValue:LiberatorAGRangeUpgrade:Weapon,LiberatorAGWeapon,Range$"/> o alcance dos Libertadores no Modo de Defesa.
Locks the Cyclone's weapons on the target unit, dealing <d ref="Effect,LockOnCP,PeriodCount*Effect,CycloneWeaponDamage,Amount"/> damage over <d ref="Effect,LockOnCP,PeriodCount * Effect,LockOnCP,PeriodicPeriodArray[0]"/> seconds to ground and flying targets. Can move while firing. Cancels if target moves out of range.	Trava as armas do Ciclone na unidade selecionada, causando <d ref="Effect,LockOnCP,PeriodCount*Effect,CycloneWeaponDamage,Amount"/> de dano ao longo de <d ref="Effect,LockOnCP,PeriodCount * Effect,LockOnCP,PeriodicPeriodArray[0]"/> s a alvos terrestres e voadores. Pode se mover enquanto dispara. A trava é cancelada quando o alvo sai do alcance.
Locks the Cyclone's weapons on the target flying unit, dealing <d ref="Effect,LockOnAirCP,PeriodCount*Effect,CycloneAirWeaponDamage,Amount"/> damage over <d ref="Effect,LockOnAirCP,PeriodCount * Effect,LockOnAirCP,PeriodicPeriodArray[0]"/> seconds. Can move while firing. Cancels if target moves out of range.	Trava as armas do Ciclone na unidade aérea alvejada, causando <d ref="Effect,LockOnAirCP,PeriodCount*Effect,CycloneAirWeaponDamage,Amount"/> de dano ao longo de <d ref="Effect,LockOnAirCP,PeriodCount * Effect,LockOnAirCP,PeriodicPeriodArray[0]"/> segundos. Pode se mover enquanto dispara. É cancelado se o alvo sair do alcance.
