Amorphous Armorcloud	Protezione informe
This unit is carefully aiming.	Questa unità sta prendendo la mira.
This structure is in an accelerated state.	Questa struttura è in stato di accelerazione.
Target is affected by Fungal Growth. Target is detected and has restricted movement.	Il bersaglio è soggetto a Crescita fungina, è individuato e i suoi movimenti sono limitati.
This unit is grounded and weapons are disabled.	Questa unità è bloccata al suolo e le sue armi sono disabilitate.
This unit's movement speed is increased.	La velocità di movimento di questa unità è aumentata.
This unit is being controlled by an Infestor.	Questa unità è sotto il controllo di un Infestatore.
This Pylon restores shields of friendly units nearby.	Questo Pilone ripristina gli scudi delle unità alleate vicine.
Unit's shields are being restored.	Gli scudi dell'unità bersaglio vengono ripristinati.
This unit is invulnerable and is able to move through other units.	Questa unità è invulnerabile e può oltrepassare altre unità.
This Pylon has a powerful long-ranged attack.	Questo Pilone dispone di un potente attacco a lungo raggio.
Weapons and abilities are disabled.	Armi e abilità sono disattivate.
This unit has reduced armor.	La corazza di questa unità è ridotta.
This unit is being targeted by an Anti-Armor Missile.	Questa unità è stata presa di mira da un Missile perforante.
Adept's attack speed increased by <d ref="(Behavior,ResonatingGlaivesPhaseShift,Modification.AttackSpeedMultiplier-1)*100"/>%.	Velocità d'attacco delle Adepte aumentata del <d ref="(Behavior,ResonatingGlaivesPhaseShift,Modification.AttackSpeedMultiplier-1)*100"/>%.
This unit is stunned.	Questa unità è stordita.
This unit's attack and movement speeds are reduced by 50%.	La velocità d'attacco e di movimento di questa unità è ridotta del 50%.
This unit is regenerating health.	Questa unità sta rigenerando punti vita.
Stasis Trap	Trappola di stasi
Research Resonating Glaives	Ricerca Balestra risonante
Shield Amplification	Scudo amplificato
Carrier Capacity	Portastormo ampliata
Advanced Communications Array	Sistema di comunicazioni avanzate
Surface-to-Air Targeting	Puntamento terra-aria
Rapid Fire Launchers	Lanciamissili dinamico
Research Mag-Field Accelerator	Ricerca Acceleratore di campo magnetico
Shadow Stride	Passo dell'ombra
Drilling Claws	Artigli meccanici
Enhanced Shockwaves	Onda d'urto migliorata
Evolve Microbial Shroud	Evolvi Manto microbico
Evolve Adaptive Talons	Evolvi Artigli adattivi
Evolve Grooved Spines	Evolvi Aculei scanalati
Evolve Muscular Augments	Evolvi Potenziamento muscolare
Evolve Propulsive Peristalsis	Evolvi Peristalsi propulsiva
Increased Attack Range	Portata d'attacco estesa
Increased Movement Speed	Velocità di movimento aumentata
KD8 Charge	KD8 Charge
Select Larvae	Seleziona Larve
Mag-Field Launchers	Lanciamissili a campo magnetico
Observer Mode	Assetto Osservatore
Surveillance Mode	Assetto di sorveglianza
Mutate Ventral Sacs	Evolvi Sacche ventrali
Cancel Oversight	Annulla Supervisione
Oversight	Supervisione
Strategic Recall	Richiamo strategico
Subterranean Scales	Scaglie sotterranee
Psionic Surge	Picco psionico
Rapid Reignition System	Sistema d'iniezione rapido
Morph to Ravager	Trasforma in Laceratore
Enhanced Munitions	Munizioni potenziate
Recalibrated Explosives	Esplosivi ricalibrati
Build Repair Drone	Costruisci Drone riparatore
Research Enhanced Munitions	Ricerca Munizioni potenziate
Anti-Armor Missile	Missile anti-blindatura
Research Shield Amplification	Ricerca Scudo amplificato
Research Amplified Shielding	Ricerca Scudi amplificati
Research Armor Piercing Rockets	Ricerca Razzi perforanti
Research Carrier Capacity	Ricerca Portastormo ampliata
Research Advanced Communications Array	Ricerca Sistema di comunicazioni avanzate
Research Rapid Fire Launchers	Ricerca Lanciamissili dinamico
Research Shadow Stride	Ricerca Passo dell'ombra
Research Enhanced Shockwaves	Ricerca Onda d'urto migliorata
Research Mag-Field Launchers	Ricerca Lanciamissili a campo magnetico
Research Psionic Amplifiers	Ricerca Amplificatori psionici
Research Psionic Surge	Ricerca Picco psionico
Research Rapid Reignition System	Ricerca Sistema d'iniezione rapido
Research Recalibrated Explosives	Ricerca Esplosivi ricalibrati
Research Smart Servos	Ricerca Servocomponenti ottimizzati
Warp In Shield Battery	Evoca Batteria di scudi
Restore	Ripristina
Recharge	Ricarica
Tectonic Destabilizers	Destabilizzatori tettonici
Research Tectonic Destabilizers	Ricerca Destabilizzatori tettonici
Upgrade Neosteel Armor	Potenzia Corazza in neo-acciaio
Concealment	Occultamento
Traps nearby enemies in stasis for <d ref="Behavior,OracleStasisTrapTarget,Duration"/> seconds. Trapped units cannot be attacked or affected by abilities.	Mette in stasi i nemici circostanti per <d ref="Behavior,OracleStasisTrapTarget,Duration"/> secondi. Le unità in stasi non possono essere attaccate né colpite dalle abilità.
Increases the attack speed of Adepts by 45%.	Aumenta del 45% la velocità di attacco delle Adepte.
Increases the attack speed of <c val="ffff8a">Adepts</c> by 45%.	Aumenta del 45% la velocità di attacco delle <c val="ffff8a">Adepte</c>.
Creates a shroud that obscures ground units underneath, reducing damage taken from air units by <d ref="Behavior,AmorphousArmorcloud,DamageResponse.ModifyFraction*100" precision="1"/>%. Lasts <d ref="Effect,AmorphousArmorcloudCP,PeriodCount*Effect,AmorphousArmorcloudCP,PeriodicPeriodArray[0]"/> seconds.	Crea un manto che protegge le unità terrestri sottostanti, riducendo del <d ref="Behavior,AmorphousArmorcloud,DamageResponse.ModifyFraction*100" precision="1"/>% i danni che subiscono dalle unità aeree. Dura <d ref="Effect,AmorphousArmorcloudCP,PeriodCount*Effect,AmorphousArmorcloudCP,PeriodicPeriodArray[0]"/> secondi.
Increases <c val="ffff8a">Phoenix's</c> attack range by <d ref="$UpgradeEffectArrayValue:PhoenixRangeUpgrade:Weapon,IonCannons,Range$"/>.	Estende di <d ref="$UpgradeEffectArrayValue:PhoenixRangeUpgrade:Weapon,IonCannons,Range$"/> la portata d'attacco delle <c val="ffff8a">Fenici</c>.
Contains weapon and armor upgrades for Factory and Starport units. <n/><n/><c val="ffff8a">Enables:</c><n/>- Hellbat at the Factory<n/>- Thor at the Factory	Contiene potenziamenti per armi e corazze per le unità prodotte da Fabbrica e Spazioporto.<n/><n/><c val="ffff8a">Consente:</c><n/>- Hellbat nella Fabbrica<n/>- Thor nella Fabbrica
Infantry-production facility.<n/><n/><c val="ffff8a">Enables:</c><n/>- Marines<n/>- Reapers<n/>- Bunkers from SCVs<n/>- Orbital Commands from Command Centers	Struttura per la produzione di fanteria.<n/><n/><c val="ffff8a">Consente:</c><n/>- Marine<n/>- Mietitori<n/>- Bunker dagli SCV<n/>- Comandi orbitali dai Centri di comando
Overcharges a target Shield Battery near a Nexus, increasing its shield restoration rate by 100% and allowing it to restore shields without consuming energy for <d ref="Behavior,BatteryOvercharge,Duration"/> seconds.	Sovraccarica una Batteria di scudi bersaglio vicino a un Nexus, aumentandone la velocità di ripristino degli scudi del 100% e permettendole di ripristinare scudi senza consumare energia per <d ref="Behavior,BatteryOvercharge,Duration"/> secondi.
Vehicle-research structure. A Tech Lab can fit onto any production structure.<n/><n/><c val="ffff8a">Enables:</c><n/>- Cyclones<n/>- Siege Tanks<n/>- Thor with Armory	Struttura di ricerca per veicoli. Il Modulo tecnologico è adattabile a qualunque struttura di produzione.<n/><n/><c val="ffff8a">Consente:</c><n/>- Cyclone<n/>- Carri d'assedio<n/>- Thor con Armeria
Focuses a beam on enemy units and reduces their armor by 3.<n/>Times out after <d ref="Behavior,BypassArmorDroneTimedLife,Duration"/> seconds.	Concentra contro le unità nemiche un raggio che riduce la loro corazza di 3.<n/>Si disattiva dopo <d ref="Behavior,BypassArmorDroneTimedLife,Duration"/> secondi.
Drops an experimental robotic MULE miner onto the target Mineral Field. MULEs collect minerals more quickly than SCVs.  <n/><n/>MULEs last <d ref="Behavior,MULETimedLife,Duration"/> seconds before their systems fail.	Sgancia un minatore robotico sperimentale MULE sul giacimento minerario selezionato. I MULE raccolgono minerali più velocemente degli SCV. <n/><n/>I MULE rimangono in campo <d ref="Behavior,MULETimedLife,Duration"/> secondi prima che il loro sistema vada in avaria.
Increases the maximum number of Interceptors per Carrier from 8 to 10.	Aumenta da 8 a 10 il numero massimo di Intercettori per ogni Portastormo.
Increases the <c val="ffff8a">Interceptor's</c> leash range by <d ref="$UpgradeEffectArrayValue:CarrierLeashRangeUpgrade:Abil,CarrierHangar,Leash$"/>.	Estende di <d ref="$UpgradeEffectArrayValue:CarrierLeashRangeUpgrade:Abil,CarrierHangar,Leash$"/> la portata di trascinamento degli <c val="ffff8a">Intercettori</c>.
Allows Zealots to intercept nearby enemies. Also increases the movement speed of Zealots. Ability can only be used once every <d ref="Abil,Charge,Cost.Cooldown.TimeUse"/> seconds.	Aumenta la velocità degli Zeloti e consente loro di intercettare i nemici nelle vicinanze. L'abilità può essere usata solo una volta ogni <d ref="Abil,Charge,Cost.Cooldown.TimeUse"/> secondi.
Places target structure in a Chrono Boost, causing it to operate <d ref="(((Behavior,ChronoBoostEnergyCost,Modification.RateMultiplierArray[Progress])-1)*100)" precision="1"/>% faster for <d ref="Behavior,ChronoBoostEnergyCost,Duration"/> seconds.	Assoggetta la struttura bersaglio ad Accelerazione temporale, facendola operare più velocemente del <d ref="(((Behavior,ChronoBoostEnergyCost,Modification.RateMultiplierArray[Progress])-1)*100)" precision="1"/>% per <d ref="Behavior,ChronoBoostEnergyCost,Duration"/> secondi.
A barrier that can be destroyed to allow access to new areas.	Una barriera che può essere distrutta per ottenere accesso a nuove zone.
A tower that can be destroyed to prevent access to new areas or resource locations.	Torre che si può distruggere per impedire l'accesso a nuove zone o a concentrazioni di risorse.
Contains weapon and armor upgrades for Protoss air units and the Warp Gate upgrade.<n/><n/><c val="ffff8a">Enables:</c><n/>- Sentries at the Gateway<n/>- Stalkers at the Gateway<n/>- Adepts at the Gateway<n/>- Shield Batteries from Probes	Contiene potenziamenti di armi e corazze per le unità aeree protoss e il potenziamento Portale dimensionale.<n/><n/><c val="ffff8a">Consente:</c><n/>- Sentinelle al Portale<n/>- Persecutori al Portale<n/>- Adepte al Portale<n/>- Batterie di scudi dalle Sonde
Mobile assault vehicle. Can use Lock On to quickly fire while moving.<n/><n/><c val="#ColorAttackInfo">Can attack ground units.</c>	Unità da assalto mobile. Può usare Aggancio per sparare rapidamente in movimento.<n/><n/><c val="#ColorAttackInfo">Può attaccare unità terrestri.</c>
Allows the Cyclone's weapon and Lock On ability to target air units.	Consente al Cyclone di puntare su unità aeree con l'arma e l'abilità Aggancio.
Improves the Lock On ability to fire the first 12 shots quickly.	Potenzia Aggancio, consentendo di emettere i primi 12 colpi in rapida successione.
Allows the Cyclone's Typhoon Missile Pods and Lock On ability to target air units.	Consente al Cyclone di puntare su unità aeree con la batteria di missili Typhoon e l'abilità Aggancio.
Increases <c val="ffff8a">Cyclone</c> Lock On damage. Deals 400 damage (+400 vs. Armored) over <d ref="Effect,LockOnCP,PeriodCount * Effect,LockOnCP,PeriodicPeriodArray[0]"/> seconds to ground and flying targets.	Aumenta i danni di Aggancio del <c val="ffff8a">Cyclone</c>. Infligge 400 danni (+400 contro corazzate) in <d ref="Effect,LockOnCP,PeriodCount * Effect,LockOnCP,PeriodicPeriodArray[0]"/> secondi ai bersagli terrestri.
Mobile assault vehicle. Can use Lock On to quickly fire while moving.<n/><n/><c val="#ColorAttackInfo">Can attack ground and air units.</c>	Unità da assalto mobile. Può usare Aggancio per sparare rapidamente in movimento.<n/><n/><c val="#ColorAttackInfo">Può attaccare unità aeree e terrestri.</c>
Contains an upgrade for Dark Templar.<n/><n/><c val="ffff8a">Enables:</c><n/>- Dark Templar at the Gateway<n/>- Archon Merge from Dark Templar	Contiene un potenziamento per il Templare oscuro.<n/><n/><c val="ffff8a">Consente:</c><n/>- Templare oscuro al Portale<n/>- Fusione Arconte da Templare oscuro
Teleports the Dark Templar to a nearby target location. Ability can only be used once every <d ref="Abil,DarkTemplarBlink,Cost[0].Cooldown.TimeUse"/> seconds.	Teletrasporta il Templare oscuro in una zona vicina. L'abilità può essere usata solo una volta ogni <d ref="Abil,DarkTemplarBlink,Cost[0].Cooldown.TimeUse"/> secondi.
Robotic disruption unit. Can use Purification Nova to deal heavy area damage.	Unità robotica di disturbo. Può usare Supernova purificante per infliggere ingenti danni ad area.
Highly concentrated solar energy. Explodes after <d ref="Behavior,PurificationNovaTargettedTarget,Duration"/> seconds, dealing area damage.	Energia solare altamente concentrata. Esplode dopo <d ref="Behavior,PurificationNovaTargettedTarget,Duration"/> s, infliggendo danni ad area.
This unit burrows faster.	L'unità si rintana più velocemente.
Increases the radius of <c val="ffff8a">Ghost's</c> EMP Round by +<d ref="$UpgradeEffectArrayValue:EnhancedShockwaves:Effect,EMPSearch,AreaArray[0].Radius$" precision="1"/>.	Estende il raggio di Proiettile elettromagnetico dei <c val="ffff8a">Fantasmi</c> di <d ref="$UpgradeEffectArrayValue:EnhancedShockwaves:Effect,EMPSearch,AreaArray[0].Radius$" precision="1"/>.
Allows <c val="ffff8a">Infestors</c> to use the Microbial Shroud ability.	Consente agli <c val="ffff8a">Infestatori</c> di usare l'abilità Manto microbico.
Increases the movement speed of <c val="ffff8a">Ultralisks</c> off creep.	Aumenta la velocità di movimento delle <c val="ffff8a">Ultralische</c> fuori dal biostrato.
<c val="ffff8a">Banelings</c> gain increased movement speed and +5 life.	Aumenta la velocità di movimento dei <c val="ffff8a">Baneling</c> e aumenta di 5 la loro vita.
Gives +<d ref="$UpgradeEffectArrayValue:ChitinousPlating:Unit,Ultralisk,LifeArmor$"/> armor to <c val="ffff8a">Ultralisks</c>.	Aumenta di <d ref="$UpgradeEffectArrayValue:ChitinousPlating:Unit,Ultralisk,LifeArmor$"/> la corazza delle <c val="ffff8a">Ultralische</c>.
Reduces the time <c val="ffff8a">Lurkers</c> take to burrow from <d time="2.5" precision="1"/> to <d time="1" precision="1"/> and increases their movement speed.	Riduce il tempo necessario al rintanamento delle <c val="ffff8a">Criptolische</c> da <d time="2.5" precision="1"/> a <d time="1" precision="1"/> e aumenta la loro velocità di movimento.
Increases <c val="ffff8a">Hydralisk</c> attack range by +<d ref="$UpgradeEffectArrayValue:EvolveGroovedSpines:Weapon,NeedleSpines,Range$"/>.	Estende la portata d'attacco delle <c val="ffff8a">Idralische</c> di <d ref="$UpgradeEffectArrayValue:EvolveGroovedSpines:Weapon,NeedleSpines,Range$"/>.
Increases the movement speed of <c val="ffff8a">Hydralisks</c>.	Aumenta la velocità di movimento delle <c val="ffff8a">Idralische</c>.
Increase the <c val="ffff8a">Nydus Network</c> and <c val="ffff8a">Nydus Worm's</c> load and unload speeds.	Estende la <c val="ffff8a">Rete Nydus</c> e aumenta la velocità di carico e scarico dei <c val="ffff8a">Vermi Nydus</c>.
Enables <c val="ffff8a">Roaches</c> to move while burrowed.	Consente alle <c val="ffff8a">Blatte</c> di spostarsi mentre sono rintanate.
Increases the damage of Raven Auto-Turrets and Seeker Missiles by 30%.	Aumenta del 30% i danni delle Torrette automatiche dei Raven e dei Missili a ricerca.
Vehicle-production facility. <n/><n/><c val="ffff8a">Enables:</c><n/>- Hellions<n/>- Widow Mines<n/>- Cyclones	Struttura per la produzione di veicoli.<n/><n/><c val="ffff8a">Consente:</c><n/>- Hellion<n/>- Mine Widow<n/>- Cyclone
Drains all energy from the target. Deals <d ref="(Effect,Feedback,VitalFractionCurrent[Energy])" Precision="2"/> damage per point of energy.	Prosciuga tutta l'energia del bersaglio. Infligge <d ref="(Effect,Feedback,VitalFractionCurrent[Energy])" Precision="2"/> punto danno per punto energia.
Contains upgrades for Phoenixes and Void Rays.<n/><n/><c val="ffff8a">Enables:</c><n/>- Tempests at the Stargate</n>- Carriers at the Stargate<n/>- Mothership from the Nexus	Contiene potenziamenti per Fenici e Lance del Vuoto.<n/><n/><c val="ffff8a">Consente:</c><n/>- Tempeste al Portale stellare<n/>- Portastormo al Portale stellare</n>- Nave madre al Nexus
Immune to snare, stun, mind control, and movement altering effects.	Immune agli effetti di rallentamento, stordimento, controllo mentale e del movimento.
Target units take <d ref="(Behavior,FungalGrowth,Duration / Behavior,FungalGrowth,Period) * Effect,FungalGrowthDamage,Amount"/> damage over <d time="4"/> and have movement speed reduced by <d ref="(1-Behavior,FungalGrowthSlowMovement,Modification.MoveSpeedMultiplier)*100"/>%. Reveals cloaked and burrowed units. Affected units cannot Blink or load into transports or buildings.	I bersagli subiscono <d ref="(Behavior,FungalGrowth,Duration / Behavior,FungalGrowth,Period) * Effect,FungalGrowthDamage,Amount"/> danni in <d time="4"/> secondi e la loro velocità di movimento è ridotta del <d ref="(1-Behavior,FungalGrowthSlowMovement,Modification.MoveSpeedMultiplier)*100"/>%. Rivela le unità occultate e rintanate. Le unità colpite non possono usare Traslazione né accedere a trasporti o strutture.
Contains Medivac, Liberator, and Battlecruiser upgrades. <n/><n/><c val="ffff8a">Enables:</c><n/>- Battlecruisers at the Starport	Contiene potenziamenti per Navette mediche, Liberatori e Incrociatori.<n/><n/><c val="ffff8a">Consente:</c><n/>- Incrociatori allo Spazioporto
Sniper. Can use Steady Targeting, EMP Round, and be upgraded to use Cloak. Can call down Tactical Nukes built at the Ghost Academy.<n/><n/><c val="#ColorAttackInfo">Can attack ground and air units.</c>	Cecchino. Può usare Mira salda, Proiettile elettromagnetico e si può potenziare per usare Occultamento. Può richiedere un Attacco nucleare tattico all'Accademia dei Fantasmi.<n/><n/><c val="#ColorAttackInfo">Può attaccare unità terrestri e aeree.</c>
Contains upgrades for Ghosts. Can build Nukes for Ghosts.<n/><n/><c val="ffff8a">Enables:</c><n/>- Ghosts at the Barracks	Contiene potenziamenti per i Fantasmi.<n/><n/><c val="ffff8a">Consente:</c><n/>- Fantasmi alla Caserma
Creates a range <d ref="Effect,GuardianShieldSearch,AreaArray[0].Radius" precision="1"/> aura that reduces incoming ranged damage to friendly units by 2. Lasts <d time="15"/>.	Crea un'aura di ampiezza <d ref="Effect,GuardianShieldSearch,AreaArray[0].Radius" precision="1"/> che riduce di 2 i danni inflitti alle unità amiche dai colpi a distanza. Dura <d time="15"/>.
Heals a friendly biological target.<n/><n/><c val="f078ff">Heals <d ref="Effect,MedivacHeal,RechargeVitalRate*Effect,MedivacHeal,DrainVitalCostFactor"/> life per 1 energy.</c>	Cura un bersaglio biologico alleato.<n/><n/><c val="f078ff">Rigenera <d ref="Effect,MedivacHeal,RechargeVitalRate*Effect,MedivacHeal,DrainVitalCostFactor"/> punti vita per ogni punto energia.</c>
Increases the Medivac's fuel reserves, allowing Ignite Afterburners to last 50% longer.	Aumenta le riserve di carburante della Navetta medica, prolungando del 50% la durata di Postbruciatori.
Potent psionic master. Can use Feedback and be upgraded to use Psionic Storm. Can transform into an Archon.<n/><n/><c val="ffff8a">Can attack ground units.</c>	Potente maestro psionico. Può usare Contrappasso e si può potenziare per usare Tempesta psionica. Può fondersi in un Arconte.<n/><n/><c val="ffff8a">Può attaccare unità terrestri.</c>
Contains upgrades for Hydralisks.<n/><n/><c val="ffff8a">Enables:</c><n/>- Hydralisks from Larvae	Contiene potenziamenti per le Idralische.<n/><n/><c val="ffff8a">Consente:</c><n/>- Idralische dalle Larve
Absorbs up to <d ref="Behavior,ImmortalOverload,DamageResponse.ModifyLimit"/> damage. Lasts for <d ref="Behavior,ImmortalOverload,Duration"/> seconds. This effect can only occur once every <d ref="Abil,ImmortalOverload,Cost[0].Cooldown.TimeUse"/> seconds.	Assorbe fino a <d ref="Behavior,ImmortalOverload,DamageResponse.ModifyLimit"/> danni. Dura <d ref="Behavior,ImmortalOverload,Duration"/> secondi. Questo effetto non può verificarsi più di una volta ogni <d ref="Abil,ImmortalOverload,Cost[0].Cooldown.TimeUse"/> secondi.
Contains upgrades for Infestors.<n/><n/><c val="ffff8a">Enables:</c><n/>- Infestors from Larvae<n/>- Swarm Hosts from Larvae	Contiene potenziamenti per gli Infestatori.<n/><n/><c val="ffff8a">Consente:</c><n/>- Infestatori dalle Larve<n/>- Ospiti dello Sciame dalle Larve
Spawn an Infested Terran. Infested Terrans last <d ref="Behavior,InfestedTerranTimedLife,Duration"/> seconds.<n/><n/><c val="ffff8a">Can cast while burrowed.</c>	Genera un Terran infestato. I Terran infestati durano <d ref="Behavior,InfestedTerranTimedLife,Duration"/> secondi.<n/><n/><c val="ffff8a">Può essere usata da rintanati.</c>
Infestation specialist. Can use the Fungal Growth, Microbial Shroud, and Neural Parasite abilities.	Specialista di infestazioni. Può usare le abilità Crescita fungina, Manto microbico e Parassita neurale.
Brings a target air unit to the ground for <d ref="Behavior,InfestorEnsnare,Duration"/> seconds, rendering it unable to attack, and allowing units to attack it as if it were a ground unit.	Porta al suolo un'unità aerea nemica per <d ref="Behavior,InfestorEnsnare,Duration"/> secondi, disabilitandone le armi e consentendo di attaccarla come se fosse un'unità terrestre.
Explodes after a short delay, dealing <d ref="Effect,KD8ChargeExplodeDamage,Amount"/> damage and knocking back nearby units.	Esplode dopo un breve ritardo, infliggendo <d ref="Effect,KD8ChargeExplodeDamage,Amount"/> danni e respingendo le unità circostanti.
Increases the range of Liberators in Defender Mode by <d ref="$UpgradeEffectArrayValue:LiberatorAGRangeUpgrade:Weapon,LiberatorAGWeapon,Range$"/>.	Estende di <d ref="$UpgradeEffectArrayValue:LiberatorAGRangeUpgrade:Weapon,LiberatorAGWeapon,Range$"/>.ref="$UpgradeEffectArrayValue:LiberatorAGRangeUpgrade:Weapon,LiberatorAGWeapon,Range$"/> la portata dei Liberatori in Assetto difensore.
Locks the Cyclone's weapons on the target unit, dealing <d ref="Effect,LockOnCP,PeriodCount*Effect,CycloneWeaponDamage,Amount"/> damage over <d ref="Effect,LockOnCP,PeriodCount * Effect,LockOnCP,PeriodicPeriodArray[0]"/> seconds to ground and flying targets. Can move while firing. Cancels if target moves out of range.	Le armi del Cyclone si agganciano all'unità bersaglio, infliggendo <d ref="Effect,LockOnCP,PeriodCount*Effect,CycloneWeaponDamage,Amount"/> danni in <d ref="Effect,LockOnCP,PeriodCount * Effect,LockOnCP,PeriodicPeriodArray[0]"/> secondi a bersagli aerei e terrestri. Permette di sparare in movimento. Si annulla se il bersaglio si sposta fuori portata.
Locks the Cyclone's weapons on the target flying unit, dealing <d ref="Effect,LockOnAirCP,PeriodCount*Effect,CycloneAirWeaponDamage,Amount"/> damage over <d ref="Effect,LockOnAirCP,PeriodCount * Effect,LockOnAirCP,PeriodicPeriodArray[0]"/> seconds. Can move while firing. Cancels if target moves out of range.	Le armi del Cyclone si agganciano all'unità aerea bersaglio, infliggendo <d ref="Effect,LockOnAirCP,PeriodCount*Effect,CycloneAirWeaponDamage,Amount"/> danni in <d ref="Effect,LockOnAirCP,PeriodCount * Effect,LockOnAirCP,PeriodicPeriodArray[0]"/> secondi. Permette di sparare in movimento. Si annulla se il bersaglio si sposta fuori portata.
