Amorphous Armorcloud	Armure de brume
Target units take <d ref="(Behavior,FungalGrowth,Duration / Behavior,FungalGrowth,Period) * Effect,FungalGrowthDamage,Amount"/> damage over <d time="4"/> and have movement speed reduced by <d ref="(1-Behavior,FungalGrowthSlowMovement,Modification.MoveSpeedMultiplier)*100"/>%. Reveals cloaked and burrowed units. Affected units cannot Blink or load into transports or buildings.	Inflige <d ref="(Behavior,FungalGrowth,Duration / Behavior,FungalGrowth,Period) * Effect,FungalGrowthDamage,Amount"/> points de dégâts en <d time="4"/> aux unités ciblées et réduit leur vitesse de déplacement de <d ref="(1-Behavior,FungalGrowthSlowMovement,Modification.MoveSpeedMultiplier)*100"/>%. Révèle les unités camouflées et enfouies. Les unités affectées ne peuvent pas utiliser Transfert ni monter à bord des transports ou entrer dans les bâtiments.
Contains Medivac, Liberator, and Battlecruiser upgrades. <n/><n/><c val="ffff8a">Enables:</c><n/>- Battlecruisers at the Starport	Permet des améliorations pour le Médivac, le croiseur et les cuirassés. <n/><n/><c val="ffff8a">Débloque :</c><n/>- Cuirassés au spatioport
Sniper. Can use Steady Targeting, EMP Round, and be upgraded to use Cloak. Can call down Tactical Nukes built at the Ghost Academy.<n/><n/><c val="#ColorAttackInfo">Can attack ground and air units.</c>	Tireur embusqué. Peut utiliser Visée stabilisée, Balles IEM et peut être amélioré pour utiliser Camouflage. Peut ordonner le lancement d’une bombe nucléaire tactique par l’Académie fantôme.<n/><n/><c val="#ColorAttackInfo">Peut attaquer les unités terrestres et aériennes.</c>
Contains upgrades for Ghosts. Can build Nukes for Ghosts.<n/><n/><c val="ffff8a">Enables:</c><n/>- Ghosts at the Barracks	Permet des améliorations pour les fantômes. Permet de construire des bombes nucléaires utilisables par les fantômes.<n/><n/><c val="ffff8a">Débloque :</c><n/>- Fantôme à la caserne
Creates a range <d ref="Effect,GuardianShieldSearch,AreaArray[0].Radius" precision="1"/> aura that reduces incoming ranged damage to friendly units by 2. Lasts <d time="15"/>.	Crée une aura de portée <d ref="Effect,GuardianShieldSearch,AreaArray[0].Radius" precision="1"/> qui réduit les dégâts à distance infligés aux unités de 2. Dure <d time="15"/>.
Heals a friendly biological target.<n/><n/><c val="f078ff">Heals <d ref="Effect,MedivacHeal,RechargeVitalRate*Effect,MedivacHeal,DrainVitalCostFactor"/> life per 1 energy.</c>	Soigne une cible biologique alliée.<n/><n/><c val="f078ff">Rend <d ref="Effect,MedivacHeal,RechargeVitalRate*Effect,MedivacHeal,DrainVitalCostFactor"/> points de vie pour 1 point d’énergie.</c>
Increases the Medivac's fuel reserves, allowing Ignite Afterburners to last 50% longer.	Augmente les réserves de carburant du Médivac, ce qui permet de prolonger la durée d’Allumage de la post-combustion de 50%.
Potent psionic master. Can use Feedback and be upgraded to use Psionic Storm. Can transform into an Archon.<n/><n/><c val="ffff8a">Can attack ground units.</c>	Puissant maître psionique. Peut utiliser Répercussion et être amélioré pour utiliser Tempête psionique. Peut fusionner en archonte.<n/><n/><c val="ffff8a">Peut attaquer les unités terrestres.</c>
Contains upgrades for Hydralisks.<n/><n/><c val="ffff8a">Enables:</c><n/>- Hydralisks from Larvae	Permet des améliorations pour les hydralisks.<n/><n/><c val="ffff8a">Débloque :</c><n/>- Hydralisk à partir d’une larve
Absorbs up to <d ref="Behavior,ImmortalOverload,DamageResponse.ModifyLimit"/> damage. Lasts for <d ref="Behavior,ImmortalOverload,Duration"/> seconds. This effect can only occur once every <d ref="Abil,ImmortalOverload,Cost[0].Cooldown.TimeUse"/> seconds.	Absorbe jusqu’à <d ref="Behavior,ImmortalOverload,DamageResponse.ModifyLimit"/> points de dégâts. Dure <d ref="Behavior,ImmortalOverload,Duration"/> secondes. Cet effet ne peut se produire qu’une fois toutes les <d ref="Abil,ImmortalOverload,Cost[0].Cooldown.TimeUse"/> secondes.
Contains upgrades for Infestors.<n/><n/><c val="ffff8a">Enables:</c><n/>- Infestors from Larvae<n/>- Swarm Hosts from Larvae	Permet des améliorations pour les infestateurs.<n/><n/><c val="ffff8a">Débloque :</c><n/>- Infestateur à partir d’une larve<n/>- Essaimeur à partir d’une larve
Spawn an Infested Terran. Infested Terrans last <d ref="Behavior,InfestedTerranTimedLife,Duration"/> seconds.<n/><n/><c val="ffff8a">Can cast while burrowed.</c>	Crée un Terran contaminé. Les Terrans contaminés survivent <d ref="Behavior,InfestedTerranTimedLife,Duration"/> secondes.<n/><n/><c val="ffff8a">Peut être utilisé en étant enfoui.</c>
Infestation specialist. Can use the Fungal Growth, Microbial Shroud, and Neural Parasite abilities.	Spécialiste en contamination. Peut utiliser les capacités Croissance fongique, Voile microbien et Parasite neural.
Brings a target air unit to the ground for <d ref="Behavior,InfestorEnsnare,Duration"/> seconds, rendering it unable to attack, and allowing units to attack it as if it were a ground unit.	Cloue l’unité aérienne ciblée au sol pendant <d ref="Behavior,InfestorEnsnare,Duration"/> secondes, ce qui l’empêche d’attaquer et permet aux unités de l’attaquer comme s’il s’agissait d’une unité terrestre.
Explodes after a short delay, dealing <d ref="Effect,KD8ChargeExplodeDamage,Amount"/> damage and knocking back nearby units.	Explose après un court délai, infligeant <d ref="Effect,KD8ChargeExplodeDamage,Amount"/> points de dégâts aux unités proches en plus de les repousser et de les étourdir.
Increases the range of Liberators in Defender Mode by <d ref="$UpgradeEffectArrayValue:LiberatorAGRangeUpgrade:Weapon,LiberatorAGWeapon,Range$"/>.	Augmente de <d ref="$UpgradeEffectArrayValue:LiberatorAGRangeUpgrade:Weapon,LiberatorAGWeapon,Range$"/>.ref="$UpgradeEffectArrayValue:LiberatorAGRangeUpgrade:Weapon,LiberatorAGWeapon,Range$"/> la portée des croiseurs en mode Défenseur.
Locks the Cyclone's weapons on the target unit, dealing <d ref="Effect,LockOnCP,PeriodCount*Effect,CycloneWeaponDamage,Amount"/> damage over <d ref="Effect,LockOnCP,PeriodCount * Effect,LockOnCP,PeriodicPeriodArray[0]"/> seconds to ground and flying targets. Can move while firing. Cancels if target moves out of range.	Verrouille les armes du Cyclone sur l’unité ciblée et inflige <d ref="Effect,LockOnCP,PeriodCount*Effect,CycloneWeaponDamage,Amount"/> points de dégâts en <d ref="Effect,LockOnCP,PeriodCount * Effect,LockOnCP,PeriodicPeriodArray[0]"/> secondes aux cibles terrestres et aériennes. Fonctionne en mouvement. S’interrompt si la cible s’éloigne hors de portée.
Locks the Cyclone's weapons on the target flying unit, dealing <d ref="Effect,LockOnAirCP,PeriodCount*Effect,CycloneAirWeaponDamage,Amount"/> damage over <d ref="Effect,LockOnAirCP,PeriodCount * Effect,LockOnAirCP,PeriodicPeriodArray[0]"/> seconds. Can move while firing. Cancels if target moves out of range.	Verrouille les armes du cyclone sur l’unité aérienne ciblée pour lui infliger <d ref="Effect,LockOnAirCP,PeriodCount*Effect,CycloneAirWeaponDamage,Amount"/> points de dégâts en <d ref="Effect,LockOnAirCP,PeriodCount * Effect,LockOnAirCP,PeriodicPeriodArray[0]"/> secondes. N’empêche pas de se déplacer. S’interrompt si la cible s’éloigne hors de portée.
